;CODMUNRES;ano;homicidios;idade_media;negro_proporcao
53995;1100000;1996;13;35,38461538461539;
53996;1100015;1996;5;24,8;
53997;1100023;1996;51;33,254901960784316;
53998;1100031;1996;1;47,0;
53999;1100049;1996;11;33,63636363636363;
54000;1100056;1996;2;32,5;
54001;1100064;1996;1;39,0;
54002;1100072;1996;1;27,0;
54003;1100080;1996;5;45,2;
54004;1100098;1996;1;34,0;
54005;1100106;1996;8;40,0;
54006;1100114;1996;9;33,0;
54007;1100122;1996;16;34,75;
54008;1100130;1996;7;30,285714285714285;
54009;1100155;1996;7;35,57142857142857;
54010;1100189;1996;11;29,636363636363637;
54011;1100205;1996;86;30,848837209302324;
54012;1100254;1996;3;34,0;
54013;1100262;1996;3;48,333333333333336;
54014;1100288;1996;3;34,333333333333336;
54015;1100296;1996;2;34,0;
54016;1100304;1996;9;32,0;
54017;1100338;1996;2;23,0;
54018;1100346;1996;3;39,333333333333336;
54019;1100403;1996;3;33,666666666666664;
54020;1100502;1996;2;26,0;
54021;1100601;1996;2;32,5;
54022;1100700;1996;4;38,25;
54023;1100809;1996;3;33,333333333333336;
54024;1100908;1996;1;31,0;
54025;1101104;1996;1;19,0;
54026;1101203;1996;1;41,0;
54027;1101302;1996;1;26,0;
54028;1101401;1996;3;36,666666666666664;
54029;1101500;1996;1;31,0;
54030;1101609;1996;1;25,0;
54031;1101807;1996;3;34,0;
54032;1200013;1996;2;39,0;
54033;1200104;1996;1;32,0;
54034;1200179;1996;1;58,0;
54035;1200203;1996;3;39,666666666666664;
54036;1200252;1996;1;18,0;
54037;1200302;1996;3;32,333333333333336;
54038;1200385;1996;6;27,166666666666668;
54039;1200401;1996;75;29,053333333333335;
54040;1200450;1996;1;35,0;
54041;1200500;1996;1;52,0;
54042;1200708;1996;2;16,0;
54043;1300000;1996;5;32,4;
54044;1300300;1996;2;25,5;
54045;1300409;1996;1;28,0;
54046;1300706;1996;2;43,5;
54047;1300904;1996;1;24,0;
54048;1301001;1996;1;18,0;
54049;1301159;1996;1;42,0;
54050;1301308;1996;1;28,0;
54051;1301407;1996;1;27,0;
54052;1301506;1996;2;24,5;
54053;1301852;1996;6;31,166666666666668;
54054;1301902;1996;1;19,0;
54055;1302405;1996;1;27,0;
54056;1302504;1996;3;42,0;
54057;1302603;1996;393;27,852417302798983;
54058;1303205;1996;2;48,0;
54059;1303536;1996;1;39,0;
54060;1303569;1996;1;48,0;
54061;1303809;1996;1;62,0;
54062;1304005;1996;1;57,0;
54063;1304062;1996;7;33,0;
54064;1304203;1996;2;30,5;
54065;1304302;1996;2;36,5;
54066;1400000;1996;2;33,5;
54067;1400050;1996;2;40,0;
54068;1400100;1996;87;30,011494252873565;
54069;1400159;1996;4;39,0;
54070;1400209;1996;4;34,0;
54071;1400308;1996;2;36,5;
54072;1400407;1996;1;66,0;
54073;1400506;1996;2;23,5;
54074;1400605;1996;3;34,0;
54075;1500000;1996;1;34,0;
54076;1500107;1996;9;22,11111111111111;
54077;1500305;1996;1;28,0;
54078;1500347;1996;2;28,5;
54079;1500404;1996;4;28,25;
54080;1500602;1996;11;40,45454545454545;
54081;1500800;1996;80;29,1625;
54082;1501105;1996;1;5,0;
54083;1501303;1996;1;12,0;
54084;1501402;1996;212;28,32547169811321;0,0
54085;1501501;1996;4;25,0;
54086;1501576;1996;2;40,0;
54087;1501709;1996;5;40,0;
54088;1501782;1996;3;32,333333333333336;
54089;1501808;1996;1;19,0;
54090;1501907;1996;1;68,0;
54091;1502004;1996;2;31,0;
54092;1502202;1996;9;40,666666666666664;
54093;1502400;1996;36;31,11111111111111;
54094;1502707;1996;8;30,0;
54095;1502756;1996;1;51,0;
54096;1502772;1996;2;32,5;
54097;1502905;1996;2;36,5;
54098;1502939;1996;1;40,0;
54099;1502954;1996;13;39,38461538461539;
54100;1503093;1996;3;28,333333333333332;
54101;1503200;1996;1;28,0;
54102;1503309;1996;1;42,0;
54103;1503408;1996;1;45,0;
54104;1503457;1996;1;35,0;
54105;1503606;1996;2;20,5;
54106;1503705;1996;1;53,0;
54107;1503804;1996;3;43,666666666666664;
54108;1504208;1996;44;34,90909090909091;
54109;1504307;1996;1;29,0;
54110;1504505;1996;1;14,0;
54111;1504604;1996;1;38,0;
54112;1504703;1996;6;37,666666666666664;
54113;1504802;1996;2;29,0;
54114;1504901;1996;1;41,0;
54115;1505064;1996;5;40,4;
54116;1505304;1996;5;28,6;
54117;1505403;1996;2;33,5;
54118;1505437;1996;1;24,0;
54119;1505486;1996;2;38,5;
