idade,renda_hat,renda_modelo,participacao_hat,participacao_modelo,renda_ajustado,NPV
13,8643.271799438477,[ -0.47725358  52.02774152  69.16227589],0.0,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]",0.0,493966.95356095536
14,9152.116434353602,[ -0.47725358  52.02774152  69.16227589],0.08267922905900305,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]",756.6899310505877,498809.7668311605
15,9648.55247631249,[ -0.47725358  52.02774152  69.16227589],0.16621917960199714,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]",1603.7744769594801,502935.9502030523
16,10132.579925315144,[ -0.47725358  52.02774152  69.16227589],0.244410277197634,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]",2476.506668273456,508147.36552283826
17,10604.198781361558,[ -0.47725358  52.02774152  69.16227589],0.31742174427365644,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]",3366.003273804368,510628.4162943153
18,11063.409044451735,[ -0.47725358  52.02774152  69.16227589],0.3854202987646729,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]",4264.062419268372,512235.5739324766
19,11510.210714585672,[ -0.47725358  52.02774152  69.16227589],0.4485701541121605,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]",5163.136994105136,512951.62437118107
20,11944.603791763378,[ -0.47725358  52.02774152  69.16227589],0.5070330192644628,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]",6056.308524455536,512766.8058807727
21,12366.588275984846,[ -0.47725358  52.02774152  69.16227589],0.5609680986767902,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]",6937.261512297904,511678.2473303986
22,12776.164167250075,[ -0.47725358  52.02774152  69.16227589],0.6105320923112214,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]",7800.258240742843,509689.42685553303
