;remuneracao_media;numero_empregados;estado;ano
0;2.5336968576709786;541;AC;1995
0;2.958874773139745;551;AC;1996
0;2.9682743362831836;226;AC;1997
0;9.195;4;AC;1998
0;3.089394856278364;661;AC;1999
0;3.4078661087866133;717;AC;2000
0;3.170940054495914;734;AC;2001
0;2.7127190721649512;776;AC;2002
0;2.5946108490565947;848;AC;2003
0;2.479732868757257;861;AC;2004
0;2.2307862903225755;992;AC;2005
0;1.9754882154882178;1188;AC;2006
0;1.8840709459459455;1184;AC;2007
0;1.7688480222068033;1441;AC;2008
0;1.785987149532703;1712;AC;2009
0;1.8561062300319462;2504;AC;2010
0;1.782809351068115;2481;AC;2011
0;1.728092725216733;2653;AC;2012
0;1.9868480725623523;2646;AC;2013
0;2.0619910979228533;3370;AC;2014
0;1.9339153439153447;2646;AC;2015
0;2.7182854757929866;5990;AL;1995
0;;0;AL;1996
0;4.678671328671328;143;AL;1997
0;3.097805374592831;2456;AL;1998
0;2.9694305307096083;3354;AL;1999
0;2.7773250791822752;3473;AL;2000
0;2.610180901542109;3372;AL;2001
0;2.493647540983605;3416;AL;2002
0;2.146493705864296;3257;AL;2003
0;2.0671739130434905;3588;AL;2004
0;1.93020480225989;4248;AL;2005
0;1.8870522313387874;4997;AL;2006
0;1.8577466666666556;5250;AL;2007
0;1.6661793906196514;5842;AL;2008
0;1.702187271397216;6835;AL;2009
0;1.6875516102394865;7266;AL;2010
0;1.7282709113608097;8010;AL;2011
0;1.7384239733629505;10812;AL;2012
0;1.7206837830757196;11451;AL;2013
0;1.7345362014690533;9530;AL;2014
0;1.860989048596856;8766;AL;2015
0;3.708576835730499;5284;AM;1995
0;3.462403876707962;6294;AM;1996
0;8.115;4;AM;1997
0;3.219870354364735;1157;AM;1998
0;3.9164711477489016;6308;AM;1999
0;3.6385476306000264;6183;AM;2000
0;3.2633134369794385;7204;AM;2001
0;2.93619759642259;7156;AM;2002
0;2.7676977597773385;7901;AM;2003
0;2.7682383188018203;8946;AM;2004
0;2.7138606116021635;9843;AM;2005
0;2.4495498035195573;11706;AM;2006
0;2.282235212675955;13001;AM;2007
0;2.2313555058692125;14312;AM;2008
0;2.07251116686043;16343;AM;2009
0;2.07017173051518;18168;AM;2010
0;2.0687783478707003;19490;AM;2011
0;2.0431048994648355;19247;AM;2012
0;2.0401484284051237;3436;AM;2013
0;2.242737945252543;17462;AM;2014
0;2.215254624069186;16652;AM;2015
0;3.4200244798041677;1634;AP;1995
0;3.3002962962962976;1755;AP;1996
0;2.9919519519519584;1665;AP;1997
0;4.388553719008268;484;AP;1998
0;3.2149368029739906;2690;AP;1999
0;3.372718936267767;2181;AP;2000
