;idade;NPV;homicidios;homicidios_negros;homicidios_raca_consta;homicidios_homens;homicidios_sexo_consta;ano;custos_idade;custos_total
0;13;493966,9535609554;107;1;7;79;107;1996;52854464,03102223;15216845720,052652
1;14;498809,76683116046;267;2;22;197;267;1996;133182207,74391985;15216845720,052652
2;15;502935,95020305226;460;2;26;386;460;1996;231350537,09340402;15216845720,052652
3;16;508147,36552283826;777;5;51;698;777;1996;394830503,0112453;15216845720,052652
4;17;510628,4162943153;1114;13;63;1010;1114;1996;568840055,7518673;15216845720,052652
5;18;512235,5739324766;1362;16;70;1252;1362;1996;697664851,6960331;15216845720,052652
6;19;512951,624371181;1456;16;95;1355;1456;1996;746857565,0844395;15216845720,052652
7;20;512766,8058807727;1606;13;92;1483;1605;1996;823503490,244521;15216845720,052652
8;21;511678,2473303986;1561;10;94;1466;1560;1996;798729744,0827522;15216845720,052652
9;22;509689,426855533;1478;16;90;1361;1477;1996;753320972,8924778;15216845720,052652
10;23;506809,6506600335;1516;16;97;1403;1515;1996;768323430,4006108;15216845720,052652
11;24;503053,5516793953;1408;18;97;1293;1405;1996;708299400,7645886;15216845720,052652
12;25;498440,60782919795;1514;20;109;1404;1512;1996;754639080,2534057;15216845720,052652
13;26;494794,47184813506;1279;11;75;1171;1279;1996;632842129,4937648;15216845720,052652
14;27;488561,0037479197;1241;9;69;1142;1241;1996;606304205,6511683;15216845720,052652
15;28;481553,83778585156;1173;19;75;1088;1173;1996;564862651,7228038;15216845720,052652
16;29;473807,39786937;1144;13;69;1035;1142;1996;542035663,1625593;15216845720,052652
17;30;465358,8280713737;1310;18;78;1191;1307;1996;609620064,7734995;15216845720,052652
18;31;456247,6224403192;1014;18;62;936;1014;1996;462635089,1544837;15216845720,052652
19;32;446515,27238616045;968;13;61;889;967;1996;432226783,6698033;15216845720,052652
20;33;436204,9313437133;972;4;50;869;971;1996;423991193,2660893;15216845720,052652
21;34;427004,4997959808;870;9;51;789;870;1996;371493914,8225033;15216845720,052652
22;35;415688,82184774784;929;15;58;837;929;1996;386174915,4965577;15216845720,052652
23;36;403931,64276975533;766;6;44;701;765;1996;309411638,3616326;15216845720,052652
24;37;391779,74721778615;659;5;30;598;659;1996;258182853,41652107;15216845720,052652
25;38;379280,1537148629;700;4;42;629;699;1996;265496107,60040402;15216845720,052652
26;39;366479,8765466993;632;5;29;581;632;1996;231615281,97751397;15216845720,052652
27;40;353425,7027621159;673;9;34;593;671;1996;237855497,95890403;15216845720,052652
28;41;340163,9839557826;535;0;33;482;535;1996;181987731,4163437;15216845720,052652
29;42;328208,3222974054;475;4;27;426;475;1996;155898953,09126756;15216845720,052652
30;43;314682,26271714264;470;6;19;417;470;1996;147900663,47705704;15216845720,052652
31;44;301083,37396026537;458;5;31;392;458;1996;137896185,27380154;15216845720,052652
32;45;287454,4691915277;416;4;13;376;416;1996;119581059,18367553;15216845720,052652
33;46;273837,095268076;355;4;16;322;355;1996;97212168,82016698;15216845720,052652
34;47;260271,4062614929;321;1;10;293;321;1996;83547121,40993921;15216845720,052652
35;48;248044,2012998252;328;2;11;307;328;1996;81358498,02634266;15216845720,052652
36;49;234708,4518451272;269;1;11;243;269;1996;63136573,546339214;15216845720,052652
37;50;221535,5324038357;254;2;14;234;254;1996;56270025,23057427;15216845720,052652
38;51;208559,0057191064;233;0;3;214;233;1996;48594248,33255179;15216845720,052652
39;52;195810,58884485046;207;0;7;185;207;1996;40532791,89088404;15216845720,052652
40;53;183320,09596759762;182;0;2;163;182;1996;33364257,466102768;15216845720,052652
41;54;172132,53879426816;176;1;9;152;176;1996;30295326,827791195;15216845720,052652
42;55;160249,47250398295;177;0;6;162;177;1996;28364156,63320498;15216845720,052652
43;56;148702,03365514407;180;0;4;155;179;1996;26766366,057925932;15216845720,052652
44;57;137512,05434320614;148;0;4;132;148;1996;20351784,042794507;15216845720,052652
45;58;127459,85280836592;128;1;3;112;128;1996;16314861,159470838;15216845720,052652
46;59;117049,57645710008;125;2;5;106;125;1996;14631197,05713751;15216845720,052652
47;60;107050,0815389282;135;5;9;120;135;1996;14451761,007755307;15216845720,052652
48;61;97475,05863592033;109;1;6;97;109;1996;10624781,391315317;15216845720,052652
49;62;88840,14860982393;84;0;0;74;84;1996;7462572,48322521;15216845720,052652
50;63;80152,11229877657;67;1;3;55;67;1996;5370191,524018031;15216845720,052652
51;64;71917,79135762827;83;0;1;71;82;1996;5969176,682683147;15216845720,052652
52;65;64389,17251900568;76;0;5;67;76;1996;4893577,111444432;15216845720,052652
53;66;57080,515525034505;68;0;5;61;67;1996;3881475,0557023464;15216845720,052652
54;67;50237,773425499814;66;1;3;61;66;1996;3315693,046082988;15216845720,052652
55;68;43861,45163717005;55;0;1;46;54;1996;2412379,8400443527;15216845720,052652
56;69;37950,37676772366;51;1;1;47;51;1996;1935469,2151539067;15216845720,052652
57;70;32501,761489657485;54;1;1;48;54;1996;1755095,1204415043;15216845720,052652
58;71;27511,272896947507;38;1;2;30;38;1996;1045428,3700840053;15216845720,052652
59;72;22973,10390787773;38;1;2;33;38;1996;872977,9484993537;15216845720,052652
60;73;18880,047273173062;23;0;0;21;23;1996;434241,08728298044;15216845720,052652
61;74;15223,571744249599;29;0;0;28;29;1996;441483,5805832384;15216845720,052652
62;75;11993,899952030788;26;0;0;23;26;1996;311841,3987528005;15216845720,052652
63;76;9180,087542371964;20;0;1;14;20;1996;183601,75084743928;15216845720,052652
64;77;6770,10310968328;21;0;0;16;21;1996;142172,16530334888;15216845720,052652
65;78;4750,9084658481925;16;0;0;13;16;1996;76014,53545357108;15216845720,052652
66;79;3108,5387769961208;21;0;0;16;21;1996;65279,314316918535;15216845720,052652
67;80;1828,1820961046076;18;0;0;13;18;1996;32907,27772988294;15216845720,052652
68;81;894,2578147795606;20;0;0;15;20;1996;17885,156295591212;15216845720,052652
69;82;290,4935528880167;5;0;0;4;5;1996;1452,4677644400836;15216845720,052652
70;83;0,0;11;0;0;8;11;1996;0,0;15216845720,052652
71;84;0,0;18;0;0;14;18;1996;0,0;15216845720,052652
72;85;0,0;11;0;0;8;11;1996;0,0;15216845720,052652
73;86;0,0;8;0;0;6;8;1996;0,0;15216845720,052652
74;87;0,0;6;0;0;4;6;1996;0,0;15216845720,052652
75;88;0,0;5;0;0;3;5;1996;0,0;15216845720,052652
76;89;0,0;3;0;0;3;3;1996;0,0;15216845720,052652
77;90;0,0;6;0;0;4;6;1996;0,0;15216845720,052652
0;13;493966,9535609554;113;32;56;74;113;1997;55818265,75238796;16146258680,18165
1;14;498809,76683116046;250;74;122;195;250;1997;124702441,70779012;16146258680,18165
2;15;502935,95020305226;489;170;247;414;489;1997;245935679,64929256;16146258680,18165
3;16;508147,36552283826;843;288;436;758;843;1997;428368229,1357527;16146258680,18165
4;17;510628,4162943153;1261;427;650;1160;1261;1997;643902432,9471316;16146258680,18165
5;18;512235,5739324766;1488;457;752;1370;1488;1997;762206534,0115252;16146258680,18165
6;19;512951,624371181;1649;527;817;1551;1649;1997;845857228,5880774;16146258680,18165
7;20;512766,8058807727;1772;510;866;1644;1772;1997;908622780,0207292;16146258680,18165
8;21;511678,2473303986;1687;475;815;1576;1687;1997;863201203,2463825;16146258680,18165
9;22;509689,426855533;1605;497;789;1493;1605;1997;818051530,1031305;16146258680,18165
10;23;506809,6506600335;1610;477;767;1501;1610;1997;815963537,5626539;16146258680,18165
11;24;503053,5516793953;1529;431;748;1426;1529;1997;769168880,5177954;16146258680,18165
12;25;498440,60782919795;1506;394;702;1406;1506;1997;750651555,3907721;16146258680,18165
13;26;494794,47184813506;1345;365;626;1250;1344;1997;665498564,6357417;16146258680,18165
14;27;488561,0037479197;1325;359;641;1241;1325;1997;647343329,9659936;16146258680,18165
15;28;481553,83778585156;1281;347;593;1194;1281;1997;616870466,2036759;16146258680,18165
16;29;473807,39786937;1189;321;581;1091;1189;1997;563356996,0666809;16146258680,18165
17;30;465358,8280713737;1251;331;559;1146;1250;1997;582163893,9172885;16146258680,18165
18;31;456247,6224403192;1085;264;479;983;1085;1997;495028670,3477464;16146258680,18165
19;32;446515,27238616045;1054;253;493;970;1054;1997;470627097,0950131;16146258680,18165
20;33;436204,9313437133;993;244;472;902;992;1997;433151496,8243073;16146258680,18165
21;34;427004,4997959808;884;224;420;809;884;1997;377471977,819647;16146258680,18165
22;35;415688,82184774784;981;233;445;908;981;1997;407790734,2326406;16146258680,18165
23;36;403931,64276975533;755;188;364;668;754;1997;304968390,2911653;16146258680,18165
24;37;391779,74721778615;750;180;359;677;750;1997;293834810,4133396;16146258680,18165
25;38;379280,1537148629;678;162;311;621;677;1997;257151944,21867704;16146258680,18165
26;39;366479,8765466993;677;144;317;607;677;1997;248106876,42211545;16146258680,18165
27;40;353425,7027621159;663;151;304;598;663;1997;234321240,93128285;16146258680,18165
28;41;340163,9839557826;580;144;293;525;580;1997;197295110,6943539;16146258680,18165
29;42;328208,3222974054;517;116;241;475;517;1997;169683702,6277586;16146258680,18165
30;43;314682,26271714264;475;107;221;444;475;1997;149474074,79064277;16146258680,18165
31;44;301083,37396026537;450;103;229;396;450;1997;135487518,28211942;16146258680,18165
32;45;287454,4691915277;436;100;197;392;436;1997;125330148,56750607;16146258680,18165
33;46;273837,095268076;386;80;177;337;386;1997;105701118,77347733;16146258680,18165
34;47;260271,4062614929;352;86;184;315;352;1997;91615535,0040455;16146258680,18165
35;48;248044,2012998252;324;59;147;283;324;1997;80366321,22114336;16146258680,18165
36;49;234708,4518451272;292;55;129;256;292;1997;68534867,93877713;16146258680,18165
37;50;221535,5324038357;274;53;131;253;274;1997;60700735,878650986;16146258680,18165
38;51;208559,0057191064;225;51;113;203;225;1997;46925776,28679894;16146258680,18165
39;52;195810,58884485046;224;48;108;208;224;1997;43861571,9012465;16146258680,18165
40;53;183320,09596759762;200;34;88;176;200;1997;36664019,193519525;16146258680,18165
41;54;172132,53879426816;198;38;96;181;198;1997;34082242,68126509;16146258680,18165
42;55;160249,47250398295;169;35;85;149;169;1997;27082160,853173118;16146258680,18165
43;56;148702,03365514407;155;28;73;143;155;1997;23048815,216547333;16146258680,18165
44;57;137512,05434320614;138;26;73;123;138;1997;18976663,499362446;16146258680,18165
45;58;127459,85280836592;174;42;86;154;174;1997;22178014,38865567;16146258680,18165
46;59;117049,57645710008;132;16;53;122;132;1997;15450544,09233721;16146258680,18165
47;60;107050,0815389282;102;18;54;93;102;1997;10919108,316970676;16146258680,18165
48;61;97475,05863592033;114;14;55;99;114;1997;11112156,684494918;16146258680,18165
49;62;88840,14860982393;77;16;34;70;77;1997;6840691,442956442;16146258680,18165
50;63;80152,11229877657;85;19;33;72;85;1997;6812929,5453960085;16146258680,18165
51;64;71917,79135762827;73;11;38;66;73;1997;5249998,769106864;16146258680,18165
52;65;64389,17251900568;80;17;33;73;80;1997;5151133,801520455;16146258680,18165
53;66;57080,515525034505;77;12;36;70;77;1997;4395199,695427657;16146258680,18165
54;67;50237,773425499814;56;9;26;42;56;1997;2813315,3118279898;16146258680,18165
55;68;43861,45163717005;57;4;24;47;57;1997;2500102,743318693;16146258680,18165
56;69;37950,37676772366;51;5;16;43;50;1997;1935469,2151539067;16146258680,18165
