;UF;ano;homicidios;idade_media;negro_proporcao
432;11;1996;286;32,96153846153846;
433;12;1996;96;29,822916666666668;
434;13;1996;438;28,511415525114156;
435;14;1996;107;31,19626168224299;
436;15;1996;666;31,594594594594593;0,0
437;16;1996;149;27,516778523489933;
438;17;1996;117;35,0;
439;21;1996;350;31,67142857142857;
440;22;1996;113;34,849557522123895;
441;23;1996;866;31,912240184757504;
442;24;1996;232;31,92241379310345;
443;25;1996;623;32,12841091492777;
444;26;1996;2994;31,67869071476286;0,0
445;27;1996;703;32,071123755334284;
446;28;1996;233;32,05150214592275;
447;29;1996;1765;29,89518413597734;
448;31;1996;1233;32,5117599351176;0,0
449;32;1996;1159;31,41932700603969;
450;33;1996;5891;29,456628755729078;0,0
451;35;1996;12039;29,535509593820084;0,1749502982107356
452;41;1996;1348;32,0919881305638;
453;42;1996;401;33,099750623441395;0,0
454;43;1996;1472;32,89877717391305;
455;50;1996;688;33,020348837209305;
456;51;1996;620;32,903225806451616;
457;52;1996;760;33,165789473684214;
458;53;1996;593;29,33389544688027;
459;11;1997;332;32,61144578313253;0,5617977528089888
460;12;1997;100;29,5;0,46153846153846156
461;13;1997;450;28,07111111111111;0,9075425790754258
462;14;1997;82;32,13414634146341;0,625
463;15;1997;737;30,654002713704205;0,8954703832752613
464;16;1997;138;27,108695652173914;0,851063829787234
465;17;1997;105;34,95238095238095;0,5714285714285714
466;21;1997;322;33,41304347826087;0,8214285714285714
467;22;1997;140;31,9;0,8367346938775511
468;23;1997;1004;31,953187250996017;0,8252148997134671
469;24;1997;231;31,883116883116884;0,6631578947368421
470;25;1997;487;32,41067761806981;0,7326732673267327
471;26;1997;3682;30,250407387289517;0,6418219461697723
472;27;1997;635;33,560629921259846;0,7374301675977654
473;28;1997;189;29,116402116402117;0,7424242424242424
474;29;1997;1884;29,99575371549894;0,8767123287671232
475;31;1997;1286;32,52954898911353;0,6524822695035462
476;32;1997;1397;30,91696492483894;0,7007481296758105
477;33;1997;6382;29,53776245691006;0,6178744830066535
478;35;1997;12075;29,39296066252588;0,4282005192730178
479;41;1997;1553;32,38184159690921;0,16009280742459397
480;42;1997;414;33,22463768115942;0,08270676691729323
481;43;1997;1633;32,81322718922229;0,17246080436264485
482;50;1997;686;33,10204081632653;0,25
483;51;1997;715;33,05594405594405;0,6778115501519757
484;52;1997;719;32,94297635605007;0,627906976744186
485;53;1997;591;28,94585448392555;0,8343313373253493
486;11;1998;472;32,938559322033896;0,5736842105263158
487;12;1998;109;30,357798165137616;0,65625
488;13;1998;521;27,644913627639156;0,9410526315789474
489;14;1998;127;31,881889763779526;0,8135593220338984
490;15;1998;758;29,449868073878626;0,8854166666666666
491;16;1998;148;28,16891891891892;0,9251700680272109
492;17;1998;126;34,43650793650794;0,64
493;21;1998;269;32,01115241635688;0,852017937219731
494;22;1998;136;32,529411764705884;0,8148148148148148
495;23;1998;934;31,9796573875803;0,7446808510638298
496;24;1998;218;31,03211009174312;0,7368421052631579
497;25;1998;408;32,28431372549019;0,7070707070707071
498;26;1998;4379;29,71523178807947;0,6832261835184102
499;27;1998;580;32,75689655172414;0,8096885813148789
500;28;1998;171;31,444444444444443;0,875
501;29;1998;1059;30,606232294617563;0,8622047244094488
502;31;1998;1487;32,34028244788164;0,6558061821219716
503;32;1998;1645;30,47841945288754;0,664783427495292
504;33;1998;6568;29,234470158343484;0,603240261978628
505;35;1998;13525;29,028317929759705;0,45493771879833916
506;41;1998;1566;32,045338441890166;0,2128205128205128
507;42;1998;403;34,72456575682382;0,14173228346456693
508;43;1998;1516;32,52968337730871;0,18310858765081617
509;50;1998;629;32,81558028616852;0,43478260869565216
510;51;1998;798;33,1077694235589;0,6762225969645869
511;52;1998;683;32,31478770131772;0,6934306569343066
512;53;1998;612;27,80718954248366;0,8405253283302064
513;11;1999;416;33,01682692307692;0,6119402985074627
514;12;1999;48;33,3125;0,5666666666666667
515;13;1999;526;28,712927756653993;0,9246031746031746
516;14;1999;140;29,12857142857143;0,6666666666666666
517;15;1999;629;31,66931637519873;0,8804347826086957
518;16;1999;191;27,18324607329843;0,9417989417989417
519;17;1999;137;32,54744525547445;0,6
520;21;1999;252;32,726190476190474;0,7795698924731183
521;22;1999;133;32,766917293233085;0,8348623853211009
522;23;1999;1098;33,56193078324226;0,7706293706293706
523;24;1999;222;33,486486486486484;0,7052631578947368
524;25;1999;402;32,830845771144276;0,7134146341463414
525;26;1999;4204;29,897716460513795;0,8005502063273727
526;27;1999;779;32,646983311938385;0,8862815884476535
527;28;1999;328;32,49390243902439;0,7450980392156863
528;29;1999;806;30,779156327543426;0,7788461538461539
529;31;1999;1557;32,33782915863841;0,6590189873417721
530;32;1999;1521;30,39119000657462;0,7243047158403869
531;33;1999;6645;29,623325808878857;0,6178700956149027
532;35;1999;15355;29,16046890263758;0,4392229290649155
533;41;1999;1651;32,414294367050275;0,20184135977337112
534;42;1999;371;35,15902964959569;0,14527027027027026
535;43;1999;1524;31,998687664041995;0,18688981868898186
536;50;1999;556;33,27158273381295;0,46735395189003437
537;51;1999;795;33,84276729559748;0,651017214397496
538;52;1999;832;31,537259615384617;0,5916114790286976
539;53;1999;643;28,171073094867808;0,8342059336823735
405;11;2000;457;32,203501094091905;0,667574931880109
406;12;2000;106;28,556603773584907;0,51
407;13;2000;552;28,418478260869566;0,909433962264151
408;14;2000;129;30,26356589147287;0,7890625
409;15;2000;796;31,037688442211056;0,873485868102288
410;16;2000;155;26,8;0,9142857142857143
411;17;2000;174;32,71264367816092;0,6666666666666666
412;21;2000;348;30,620689655172413;0,8070739549839229
413;22;2000;229;30,724890829694324;0,8032786885245902
414;23;2000;1224;31,919117647058822;0,7715846994535519
415;24;2000;253;32,687747035573125;0,7336244541484717
416;25;2000;504;29,422619047619047;0,8678815489749431
417;26;2000;4268;29,67244611059044;0,8539657020364416
418;27;2000;724;30,39917127071823;0,8404423380726699
419;28;2000;409;30,3080684596577;0,7351778656126482
420;29;2000;555;30,592792792792793;0,913232104121475
421;31;2000;2087;30,765213224724484;0,6615302869287991
422;32;2000;1428;31,13795518207283;0,7230603448275862
423;33;2000;6779;29,67930373211388;0,6064730792498487
424;35;2000;15229;28,787641998818046;0,41754785169321373
425;41;2000;1732;31,51270207852194;0,20567375886524822
426;42;2000;420;34,17619047619048;0,14361702127659576
427;43;2000;1652;31,93825665859564;0,16635859519408502
428;50;2000;632;32,21360759493671;0,5085324232081911
429;51;2000;951;33,392218717139855;0,6377607025246982
430;52;2000;1058;31,126654064272213;0,6221419975932612
431;53;2000;674;28,14688427299703;0,8429003021148036
54;11;2001;564;32,86524822695036;0,6083499005964215
55;12;2001;121;29,570247933884296;0,6666666666666666
56;13;2001;485;29,158762886597938;0,8776371308016878
57;14;2001;107;31,57943925233645;0,7864077669902912
58;15;2001;944;30,93114406779661;0,8756998880179171
59;16;2001;182;27,65934065934066;0,9162011173184358
60;17;2001;207;33,38647342995169;0,6682926829268293
61;21;2001;559;30,597495527728086;0,8180112570356473
62;22;2001;259;31,644787644787645;0,8127853881278538
