date	y	u	deltapi	i	pistar
1980	686.65997	.064999998	.92141998	.47332001	.07
1981	656.45001	.081	1.00529	.89736003	.07
1982	660.35999	.064000003	1.01034	1.2066	.07
1983	637.90997	.067000002	1.31484	2.03231	.07
1984	671.77002	.071000002	2.0174	2.5732	.07
1985	724.84003	.053000003	2.48544	2.81654	.07
1986	779.53003	.035999998	1.4917901	1.05206	.07
1987	807.59003	.037	2.0620899	4.2431202	.07
1988	809.72998	.0385	6.27951	11.92869	.07
1989	835.64001	.033500001	13.04424	64.04174	.07
1990	800.81	.042800002	27.369711	157.80386	.07
1991	809.07001	.048299998	4.16682	8.4758596	.07
1992	805.28998	.058000002	9.6818399	15.74159	.07
1993	842.85999	.054299999	20.013479	32.842049	.07
1994	887.82001	.046409998	22.51688	48.164108	.07
1995	927.03003	.046500001	.93523002	.53378999	.07
1996	946.96997	.054330003	.17084999	.27456999	.07
1997	978.92999	.056839999	.076449998	.25023001	.07
1998	979.28003	.075970002	.04236	.2899	.07
1999	981.76001	.075999998	.08478	.25854	.07
2000	1024.04	.071000002	.06177	.17441	.07
2001	1037.4871	.11265001	.089680001	.17337	.07
2002	1065.0649	.11668	.10554	.19188	.07
2003	1077.277	.123	.13727	.23385	.07
2004	1138.814	.11465999	.08038	.16254	.07
2005	1174.797	.098240003	.072099999	.19059999	.07
2006	1221.2841	.099680007	.061500002	.15093	.07
2007	1295.678	.092889994	.05869	.11882	.07
2008	1362.6851	.079000004	.083329998	.12492	.07
2009	1358.192	.08083	.071869999	.099430002	.07
2010	1460.514	.067419998	.082280003	.097649999	.07
2011	1500.427	.059699997	.069689997	.11624	.07
			.053459998	.085019998	.07
