date	f3	f5	f10	t10	cds	imvol	mexembig	embig	spread	policy	vix	mxnspot	mxn1m	mxn3m	mxn1yr	move	fedeffect
1/1/2000				6.592		8.8	362	648	-286		24.21	9.505	9.6075	9.795	10.74	102.95	5.43
1/4/2000				6.497		10	386	669	-283	17.07	27.01	9.5713	9.6738	9.87005	10.8213	101.3	5.38
1/5/2000				6.594		10.5	379	667	-288	17.13	26.41	9.571	9.672	9.871	10.836	106.69	5.41
1/6/2000				6.524			393	677	-284	17.07	25.73	9.58	9.682	9.8855	10.8425	105.21	5.54
1/7/2000				6.515		10.7	393	670	-277	17.23	21.72	9.565	9.667	9.861	10.795	97.81	5.61
1/10/2000				6.552		10.3	388	665	-277	16.69	21.71	9.47	9.572	9.755	10.67	97.13	5.74
1/11/2000				6.657		10.3	397	676	-279	16.77	22.5	9.5125	9.6125	9.8025	10.72	101.03	5.63
1/12/2000				6.703		11.7	407	681	-274	16.52	22.84	9.522	9.6215	9.81825	10.742	104.11	5.59
1/13/2000				6.63		10.7	406	679	-273	16.63	21.71	9.4875	9.5855	9.7795	10.7025	100.44	5.58
1/14/2000				6.679		10	404	673	-269	17.13	19.66	9.4503	9.5523	9.7403	10.6478	94.61	5.56
1/17/2000				6.681		9.5				17.03		9.4215	9.5235		10.6165		5.56
1/18/2000				6.748		9	402	670	-268	17.96	21.5	9.3993	9.5058	9.7123	10.6193	95.91	5.83
1/19/2000				6.732		9.1	391	670	-279	17.74	21.72	9.4153	9.5223	9.7328	10.6628	96.67	5.47
1/20/2000				6.788			389	669	-280	18.52	21.75	9.435	9.544	9.7605	10.694	95.25	5.44
1/21/2000				6.765		9	381	666	-285	19.07	20.82	9.4668	9.5763	9.7888	10.7368	96.6	5.36
1/24/2000				6.685		10	389	668	-279	18.44	24.07	9.5315	9.6495	9.85275	10.7965	94.16	5.53
1/25/2000				6.692		10.3	391	672	-281	18.39	23.02	9.534	9.647	9.853	10.814	96.28	5.46
1/26/2000				6.664		9.5	396	675	-279	18.39	23.03	9.5085	9.613	9.814	10.7435	95.45	5.52
1/27/2000				6.692		10	399	680	-281	18.37	23.54	9.5425	9.6415	9.84	10.7875	95.03	5.61
1/28/2000				6.658		11.5	423	699	-276	19.19	26.14	9.5878	9.6933	9.9103	10.8528	102.58	5.58
1/31/2000				6.665			433	707	-274	19.25	24.95	9.5925	9.698	9.9175	10.855	106.26	5.87
2/1/2000				6.619		10.7	433	706	-273	19.32	23.45	9.5925	9.696	9.9055	10.8575	104.72	5.79
2/2/2000				6.573		9.3	442	708	-266	19.12	23.12	9.541	9.6515	9.8585	10.8065	109.22	5.64
2/3/2000				6.489		8.8	420	710	-290	18.14	22.01	9.49	9.5865	9.7875	10.655	119.13	5.71
2/4/2000				6.549		8.5	366	684	-318	17.77	21.54	9.445	9.5405	9.74	10.59	118.86	5.7
2/7/2000				6.639		8.3	351	669	-318	17.45	22.79	9.4225	9.5155	9.7075	10.5225	120.42	5.76
2/8/2000				6.613			355	664	-309	17.12	21.25	9.401	9.487	9.668	10.4785	112.84	5.67
2/9/2000				6.66			338	663	-325	16.83	22.9	9.425	9.51875	9.694	10.4875	109.04	5.76
2/10/2000				6.671			335	656	-321	16.79	23.07	9.4225	9.512	9.698	10.473	106.33	5.79
2/11/2000				6.604			353	664	-311	17	24.42	9.422	9.5095	9.6895	10.467	106.07	5.71
2/14/2000				6.554		8.25	365	665	-300	17.14	24.38	9.3963	9.4833	9.6663	10.4263	102.76	5.79
2/15/2000				6.552		7.8	363	656	-293	17.17	22.92	9.37	9.4615	9.645	10.42	104.86	5.85
2/16/2000				6.545		8.075	374	661	-287	17.56	23.51	9.3675	9.4635	9.6375	10.4125	104.31	5.67
2/17/2000				6.567		7.8	369	660	-291	16.88	23.17	9.3788	9.4678	9.65255	10.4288	100.77	5.66
2/18/2000				6.489		8	386	669	-283	16.86	26	9.3925	9.482	9.6745	10.4525	101.13	5.7
2/21/2000				6.493						16.92		9.407					5.7
2/22/2000				6.361		8.25	405	685	-280	16.87	25.86	9.4536	9.5451	9.7361	10.5311	106.35	5.81
2/23/2000				6.422		8	381	671	-290	17	23.89	9.3755	9.4705	9.65025	10.4325	106.18	5.77
2/24/2000				6.365		8	394	677	-283	16.67	24.38	9.393	9.4815	9.673	10.4405	111.35	5.76
2/25/2000				6.326		7.8	375	670	-295	16.99	25.2	9.375	9.4705	9.6555	10.435	111.68	5.73
2/28/2000				6.422		7.75	367	663	-296	17.21	24.68	9.388	9.4905	9.66825	10.433	108.61	5.81
2/29/2000				6.409		7.75	353	658	-305	17.38	23.37	9.369	9.467	9.6485	10.40775	106.64	5.85
3/1/2000				6.386		8.05	346	655	-309	16.49	21.64	9.3515	9.443	9.6265	10.3665	104.14	5.78
3/2/2000				6.384		8.4	319	639	-320	16.19	21.06	9.3175	9.4015	9.5675	10.3325	99.68	5.76
3/3/2000				6.388		7	329	635	-306	16.14	19.21	9.309	9.395	9.56025	10.299	94.85	5.72
3/6/2000				6.411		7.875	325	632	-307	15.88	21.5	9.3248	9.4173	9.5813	10.3133	92.06	5.73
3/7/2000				6.373		7.5	301	626	-325	15.52	24.31	9.2675	9.3515	9.50375	10.2075	97.13	5.68
3/8/2000				6.379		8	283	621	-338	15.27	23.82	9.269	9.349	9.51	10.219	103.67	5.77
3/9/2000				6.343		7.375	285	620	-335	15.05	22.21	9.2953	9.3768	9.5278	10.2328	103.49	5.79
3/10/2000				6.383		8	286	618	-332	15.45	21.24	9.33	9.4105	9.56625	10.2725	100.52	5.75
3/13/2000				6.37		8.3	288	629	-341	15.61	22.85	9.32		9.5615	10.255	101.36	5.81
3/14/2000				6.292		8.5	305	635	-330	15.02	24.41	9.3283	9.4063	9.5558	10.25205	104.39	5.8
3/15/2000				6.291		8.8	318	647	-329	14.42	22.34	9.32	9.3945	9.5515	10.245	105.54	5.9
3/16/2000				6.245		8.4	316	643	-327	14.48	20.77	9.3325	9.412	9.555	10.2425	103.72	5.77
3/17/2000				6.194		8.3	315	639	-324	15.12	22.37	9.309	9.385	9.5315	10.219	101.67	5.76
3/20/2000				6.183		8	316	640	-324	14.83	22.96	9.3201	9.3931	9.54135	10.2301	97.1	5.82
3/21/2000				6.135		7.6	324	638	-314		21.7	9.298	9.371	9.518	10.2305	95.1	5.81
3/22/2000				6.112		7.5	322	631	-309	14.34	21.49	9.27	9.3395	9.4885	10.1625	93.95	6.02
3/23/2000				6.078		7.5	330	641	-311	14.06	22.26	9.227	9.2935	9.438	10.0995	101.83	6.04
3/24/2000				6.191		8	317	628	-311	13.63	23.31	9.22	9.286	9.4235	10.075	102.31	5.98
3/27/2000				6.185		8.1	323			13.95	24.53	9.1723				101.49	6.07
3/28/2000				6.151		8.5	328	635	-307	14.08	24.86	9.2275	9.289	9.43	10.055	104.08	6.02
3/29/2000				6.147		8.8	330	639	-309	14.32	24.1	9.2625	9.3365	9.4685	10.1035	106.47	5.98
3/30/2000				6.055		9.8	362	669	-307	13.79	25.47	9.2955	9.3595	9.5025	10.1605	109.42	6.11
3/31/2000				6.004		9.5	345	667	-322	13.87	24.11	9.253	9.3155	9.457	10.089	106.45	6.17
4/3/2000				5.965		10	358	674	-316	13.88	24.03	9.293	9.3625	9.493	10.1305	102.95	6.15
4/4/2000				5.895		11.5	388	700	-312	13.89	27.12	9.3355	9.404	9.5415	10.1915	110.61	5.98
4/5/2000				5.872		11.1	384	706	-322	14.39	28.41	9.3775	9.4445	9.588	10.2625	114.76	6.08
4/6/2000				5.934		11.2	379	698	-319	13.84	27.15	9.355	9.42325	9.5675	10.235	109.66	6.05
4/7/2000				5.853		10.25	392	700	-308	13.62	24.39	9.3	9.364	9.5025	10.1625	106.93	5.95
4/10/2000				5.771		9.3	398	706	-308	13.4	25.99	9.347	9.41075	9.5495	10.21825	103.57	6.05
4/11/2000				5.882		10.5	391	708	-317	14.02	27.25	9.383	9.454	9.59	10.2765	108.52	5.97
4/12/2000				5.935		11	379	698	-319	14.24	28.98	9.3918	9.4588	9.5968	10.2693	111.73	5.93
4/13/2000				5.906		10.75	390	702	-312	13.48	29.4	9.44	9.505	9.6475	10.3325	109.46	5.97
4/14/2000				5.85		12	411	653	-242	14.34	33.49	9.513	9.5855	9.745	10.459	123.75	6.08
4/17/2000				6.038		10.75	412	658	-246	14.66	28.95	9.426	9.502	9.6595	10.391	120.51	6.18
4/18/2000				6.059		10.75	398	648	-250	14.23	26.12	9.403	9.4755	9.63175	10.3455	114.7	5.93
4/19/2000				5.992		10.7	399	656	-257	14.56	27.02	9.4225	9.494	9.6465	10.3575	107.49	5.93
