,IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
0,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,036,Australia,548,Vanuatu,HS,Harmonized System,392020,Of polymers of propylene,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,FORUM ISLANDS,0.0
1,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,036,Australia,242,Fiji,HS,Harmonized System,392062,Of poly(ethylene terephthalate),A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,FORUM ISLANDS,0.0
2,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,036,Australia,776,Tonga,HS,Harmonized System,392069,Of other polyesters,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,FORUM ISLANDS,0.0
3,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,036,Australia,882,Samoa,HS,Harmonized System,392069,Of other polyesters,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,FORUM ISLANDS,0.0
4,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,036,Australia,548,Vanuatu,HS,Harmonized System,392092,Of polyamides,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,FORUM ISLANDS,0.0
5,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,036,Australia,554,New Zealand,HS,Harmonized System,392092,Of polyamides,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,NEW ZEALAND (ANCZERT),0.0
6,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,036,Australia,598,Papua New Guinea,HS,Harmonized System,392092,Of polyamides,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,PAPUA NEW GUINEA (PATCRA),0.0
7,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,036,Australia,548,Vanuatu,HS,Harmonized System,392290,Other,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,FORUM ISLANDS,0.0
8,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,036,Australia,554,New Zealand,HS,Harmonized System,392290,Other,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,NEW ZEALAND (ANCZERT),0.0
9,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,036,Australia,598,Papua New Guinea,HS,Harmonized System,392290,Other,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,PAPUA NEW GUINEA (PATCRA),0.0
