,IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
0,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,072,Botswana,426,Lesotho,HS,Harmonized System,020312,"Hams, shoulders and cuts thereof, with bone in",A,Annual,A,Annual,PCT,Percent,2000,PREF,Preferential scheme,South Africa Customs Union duty rate,0.0
1,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,072,Botswana,480,Mauritius,HS,Harmonized System,020312,"Hams, shoulders and cuts thereof, with bone in",A,Annual,A,Annual,PCT,Percent,2000,PREF,Preferential scheme,Southern Africa Development Community duty rate,0.0
2,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,072,Botswana,516,Namibia,HS,Harmonized System,020312,"Hams, shoulders and cuts thereof, with bone in",A,Annual,A,Annual,PCT,Percent,2000,PREF,Preferential scheme,South Africa Customs Union duty rate,0.0
3,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,072,Botswana,710,South Africa,HS,Harmonized System,020312,"Hams, shoulders and cuts thereof, with bone in",A,Annual,A,Annual,PCT,Percent,2000,PREF,Preferential scheme,South Africa Customs Union duty rate,0.0
4,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,072,Botswana,748,Eswatini,HS,Harmonized System,020312,"Hams, shoulders and cuts thereof, with bone in",A,Annual,A,Annual,PCT,Percent,2000,PREF,Preferential scheme,South Africa Customs Union duty rate,0.0
5,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,072,Botswana,426,Lesotho,HS,Harmonized System,020319,Other,A,Annual,A,Annual,PCT,Percent,2000,PREF,Preferential scheme,South Africa Customs Union duty rate,0.0
6,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,072,Botswana,480,Mauritius,HS,Harmonized System,020319,Other,A,Annual,A,Annual,PCT,Percent,2000,PREF,Preferential scheme,Southern Africa Development Community duty rate,0.0
7,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,072,Botswana,516,Namibia,HS,Harmonized System,020319,Other,A,Annual,A,Annual,PCT,Percent,2000,PREF,Preferential scheme,South Africa Customs Union duty rate,0.0
8,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,072,Botswana,426,Lesotho,HS,Harmonized System,030551,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",A,Annual,A,Annual,PCT,Percent,2000,PREF,Preferential scheme,South Africa Customs Union duty rate,0.0
9,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,072,Botswana,480,Mauritius,HS,Harmonized System,030551,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",A,Annual,A,Annual,PCT,Percent,2000,PREF,Preferential scheme,Southern Africa Development Community duty rate,0.0
10,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,072,Botswana,516,Namibia,HS,Harmonized System,030551,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",A,Annual,A,Annual,PCT,Percent,2000,PREF,Preferential scheme,South Africa Customs Union duty rate,0.0
11,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,072,Botswana,710,South Africa,HS,Harmonized System,030551,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",A,Annual,A,Annual,PCT,Percent,2000,PREF,Preferential scheme,South Africa Customs Union duty rate,0.0
12,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,072,Botswana,748,Eswatini,HS,Harmonized System,030551,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",A,Annual,A,Annual,PCT,Percent,2000,PREF,Preferential scheme,South Africa Customs Union duty rate,0.0
13,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,072,Botswana,426,Lesotho,HS,Harmonized System,040410,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",A,Annual,A,Annual,PCT,Percent,2000,PREF,Preferential scheme,South Africa Customs Union duty rate,0.0
14,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,072,Botswana,516,Namibia,HS,Harmonized System,040410,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",A,Annual,A,Annual,PCT,Percent,2000,PREF,Preferential scheme,South Africa Customs Union duty rate,0.0
15,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,072,Botswana,710,South Africa,HS,Harmonized System,040410,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",A,Annual,A,Annual,PCT,Percent,2000,PREF,Preferential scheme,South Africa Customs Union duty rate,0.0
16,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,072,Botswana,748,Eswatini,HS,Harmonized System,040410,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",A,Annual,A,Annual,PCT,Percent,2000,PREF,Preferential scheme,South Africa Customs Union duty rate,0.0
17,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,072,Botswana,426,Lesotho,HS,Harmonized System,040490,Other,A,Annual,A,Annual,PCT,Percent,2000,PREF,Preferential scheme,South Africa Customs Union duty rate,0.0
18,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,072,Botswana,516,Namibia,HS,Harmonized System,040490,Other,A,Annual,A,Annual,PCT,Percent,2000,PREF,Preferential scheme,South Africa Customs Union duty rate,0.0
