,IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
0,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,204,Benin,HS,Harmonized System,010129,Other,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.5
1,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,270,The Gambia,HS,Harmonized System,010129,Other,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.5
2,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,288,Ghana,HS,Harmonized System,010129,Other,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.5
3,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,324,Guinea,HS,Harmonized System,010129,Other,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.5
4,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,384,Cte d'Ivoire,HS,Harmonized System,010129,Other,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.5
5,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,430,Liberia,HS,Harmonized System,010129,Other,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.5
6,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,466,Mali,HS,Harmonized System,010129,Other,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.5
7,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,562,Niger,HS,Harmonized System,010129,Other,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.5
8,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,566,Nigeria,HS,Harmonized System,010129,Other,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.5
9,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,624,Guinea-Bissau,HS,Harmonized System,010129,Other,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.5
10,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,686,Senegal,HS,Harmonized System,010129,Other,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.5
11,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,694,Sierra Leone,HS,Harmonized System,010129,Other,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.5
12,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,768,Togo,HS,Harmonized System,010129,Other,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.5
13,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,854,Burkina Faso,HS,Harmonized System,010129,Other,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.5
14,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,204,Benin,HS,Harmonized System,010130,Asses,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.3
15,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,270,The Gambia,HS,Harmonized System,010130,Asses,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.3
16,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,288,Ghana,HS,Harmonized System,010130,Asses,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.3
17,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,324,Guinea,HS,Harmonized System,010130,Asses,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.3
18,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,384,Cte d'Ivoire,HS,Harmonized System,010130,Asses,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.3
19,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,430,Liberia,HS,Harmonized System,010130,Asses,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.3
20,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,466,Mali,HS,Harmonized System,010130,Asses,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.3
21,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,562,Niger,HS,Harmonized System,010130,Asses,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.3
22,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,566,Nigeria,HS,Harmonized System,010130,Asses,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.3
23,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,624,Guinea-Bissau,HS,Harmonized System,010130,Asses,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.3
24,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,686,Senegal,HS,Harmonized System,010130,Asses,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.3
25,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,694,Sierra Leone,HS,Harmonized System,010130,Asses,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.3
26,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,768,Togo,HS,Harmonized System,010130,Asses,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.3
27,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,854,Burkina Faso,HS,Harmonized System,010130,Asses,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.3
28,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,132,Cabo Verde,204,Benin,HS,Harmonized System,010190,Other,A,Annual,A,Annual,PCT,Percent,2020,PREF,Preferential scheme,Economic Community of West African States (ECOWAS) duty rates,0.5
