,IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
0,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,218,Ecuador,068,"Bolivia, Plurinational State of",HS,Harmonized System,030311,Sockeye salmon (red salmon) (Oncorhynchus nerka),A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Andean Community common external tariff,0.0
1,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,218,Ecuador,170,Colombia,HS,Harmonized System,030311,Sockeye salmon (red salmon) (Oncorhynchus nerka),A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Andean Community common external tariff,0.0
2,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,218,Ecuador,604,Peru,HS,Harmonized System,030311,Sockeye salmon (red salmon) (Oncorhynchus nerka),A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Andean Community common external tariff,0.0
3,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,218,Ecuador,604,Peru,HS,Harmonized System,070320,Garlic,A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Andean Community common external tariff,0.0
4,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,218,Ecuador,068,"Bolivia, Plurinational State of",HS,Harmonized System,070390,Leeks and other alliaceous vegetables,A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Andean Community common external tariff,0.0
5,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,218,Ecuador,068,"Bolivia, Plurinational State of",HS,Harmonized System,151511,Crude oil,A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Andean Community common external tariff,0.0
6,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,218,Ecuador,170,Colombia,HS,Harmonized System,151511,Crude oil,A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Andean Community common external tariff,0.0
7,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,218,Ecuador,068,"Bolivia, Plurinational State of",HS,Harmonized System,210111,"Extracts, essences and concentrates",A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Andean Community common external tariff,0.0
8,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,218,Ecuador,170,Colombia,HS,Harmonized System,210111,"Extracts, essences and concentrates",A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Andean Community common external tariff,0.0
9,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,218,Ecuador,604,Peru,HS,Harmonized System,210111,"Extracts, essences and concentrates",A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Andean Community common external tariff,0.0
10,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,218,Ecuador,068,"Bolivia, Plurinational State of",HS,Harmonized System,210112,"Preparations with a basis of extracts, essences or concentrates or with a basis of coffee",A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Andean Community common external tariff,0.0
11,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,218,Ecuador,068,"Bolivia, Plurinational State of",HS,Harmonized System,010639,Other,A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Andean Community common external tariff,0.0
12,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,218,Ecuador,170,Colombia,HS,Harmonized System,010639,Other,A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Andean Community common external tariff,0.0
13,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,218,Ecuador,604,Peru,HS,Harmonized System,010639,Other,A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Andean Community common external tariff,0.0
14,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,218,Ecuador,068,"Bolivia, Plurinational State of",HS,Harmonized System,010690,Other,A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Andean Community common external tariff,0.0
15,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,218,Ecuador,170,Colombia,HS,Harmonized System,010690,Other,A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Andean Community common external tariff,0.0
