,IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
0,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,659,Saint Kitts and Nevis,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,CARICOM preferential duty,0.0
1,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,028,Antigua and Barbuda,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2007,PREF,Preferential scheme,CARICOM preferential duty,0.0
2,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,052,Barbados,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2007,PREF,Preferential scheme,CARICOM preferential duty,0.0
3,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,084,Belize,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2007,PREF,Preferential scheme,CARICOM preferential duty,0.0
4,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,212,Dominica,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2007,PREF,Preferential scheme,CARICOM preferential duty,0.0
5,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,328,Guyana,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2007,PREF,Preferential scheme,CARICOM preferential duty,0.0
6,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,332,Haiti,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2007,PREF,Preferential scheme,CARICOM preferential duty,0.0
7,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,388,Jamaica,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2007,PREF,Preferential scheme,CARICOM preferential duty,0.0
8,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,659,Saint Kitts and Nevis,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2007,PREF,Preferential scheme,CARICOM preferential duty,0.0
9,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,662,Saint Lucia,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2007,PREF,Preferential scheme,CARICOM preferential duty,0.0
10,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,670,Saint Vincent and the Grenadines,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2007,PREF,Preferential scheme,CARICOM preferential duty,0.0
11,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,740,Suriname,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2007,PREF,Preferential scheme,CARICOM preferential duty,0.0
12,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,780,Trinidad and Tobago,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2007,PREF,Preferential scheme,CARICOM preferential duty,0.0
13,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,028,Antigua and Barbuda,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2008,PREF,Preferential scheme,CARICOM preferential duty,0.0
14,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,052,Barbados,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2008,PREF,Preferential scheme,CARICOM preferential duty,0.0
15,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,084,Belize,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2008,PREF,Preferential scheme,CARICOM preferential duty,0.0
16,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,212,Dominica,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2008,PREF,Preferential scheme,CARICOM preferential duty,0.0
17,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,328,Guyana,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2008,PREF,Preferential scheme,CARICOM preferential duty,0.0
18,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,332,Haiti,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2008,PREF,Preferential scheme,CARICOM preferential duty,0.0
19,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,388,Jamaica,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2008,PREF,Preferential scheme,CARICOM preferential duty,0.0
20,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,659,Saint Kitts and Nevis,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2008,PREF,Preferential scheme,CARICOM preferential duty,0.0
21,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,662,Saint Lucia,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2008,PREF,Preferential scheme,CARICOM preferential duty,0.0
22,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,670,Saint Vincent and the Grenadines,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2008,PREF,Preferential scheme,CARICOM preferential duty,0.0
23,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,740,Suriname,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2008,PREF,Preferential scheme,CARICOM preferential duty,0.0
24,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,780,Trinidad and Tobago,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2008,PREF,Preferential scheme,CARICOM preferential duty,0.0
25,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,659,Saint Kitts and Nevis,HS,Harmonized System,010120,"Asses, mules and hinnies",A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,CARICOM preferential duty,0.0
26,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,028,Antigua and Barbuda,HS,Harmonized System,010120,"Asses, mules and hinnies",A,Annual,A,Annual,PCT,Percent,2007,PREF,Preferential scheme,CARICOM preferential duty,0.0
27,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,052,Barbados,HS,Harmonized System,010120,"Asses, mules and hinnies",A,Annual,A,Annual,PCT,Percent,2007,PREF,Preferential scheme,CARICOM preferential duty,0.0
28,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,084,Belize,HS,Harmonized System,010120,"Asses, mules and hinnies",A,Annual,A,Annual,PCT,Percent,2007,PREF,Preferential scheme,CARICOM preferential duty,0.0
29,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,212,Dominica,HS,Harmonized System,010120,"Asses, mules and hinnies",A,Annual,A,Annual,PCT,Percent,2007,PREF,Preferential scheme,CARICOM preferential duty,0.0
30,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,308,Grenada,328,Guyana,HS,Harmonized System,010120,"Asses, mules and hinnies",A,Annual,A,Annual,PCT,Percent,2007,PREF,Preferential scheme,CARICOM preferential duty,0.0
