,IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
0,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,004,Afghanistan,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Least Developed Country duty,0.0
1,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,024,Angola,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Least Developed Country duty,0.0
2,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,032,Argentina,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Generalized System of Preferences duty,11.8
3,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,040,Austria,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,European Union preferential duty,0.0
4,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,050,Bangladesh,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Least Developed Country duty,0.0
5,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,052,Barbados,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Generalized System of Preferences duty,11.8
6,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,056,Belgium,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,European Union preferential duty,0.0
7,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,068,"Bolivia, Plurinational State of",HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Generalized System of Preferences duty,11.8
8,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,072,Botswana,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Generalized System of Preferences duty,11.8
9,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,076,Brazil,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Generalized System of Preferences duty,11.8
10,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,084,Belize,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Generalized System of Preferences duty,11.8
11,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,090,Solomon Islands,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Least Developed Country duty,0.0
12,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,100,Bulgaria,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Bulgaria (Member State of the Central European Free Trade Agreement - CEFTA),0.0
13,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,104,Myanmar,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Least Developed Country duty,0.0
14,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,108,Burundi,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Least Developed Country duty,0.0
15,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,116,Cambodia,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Least Developed Country duty,0.0
16,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,120,Cameroon,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Generalized System of Preferences duty,11.8
17,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,132,Cabo Verde,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Least Developed Country duty,0.0
18,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,140,Central African Republic,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Least Developed Country duty,0.0
19,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,144,Sri Lanka,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Generalized System of Preferences duty,11.8
20,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,148,Chad,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Least Developed Country duty,0.0
21,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,152,Chile,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Generalized System of Preferences duty,11.8
22,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,170,Colombia,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Generalized System of Preferences duty,11.8
23,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,178,Congo,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Generalized System of Preferences duty,11.8
24,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,180,Democratic Republic of the Congo,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Least Developed Country duty,0.0
25,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,188,Costa Rica,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Generalized System of Preferences duty,11.8
26,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,191,Croatia,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Croatia (Free Trade Agreement),0.0
27,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,192,Cuba,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Generalized System of Preferences duty,11.8
28,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,203,Czech Republic,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Czech Republic (Member State of the Central European Free Trade Agreement - CEFTA),0.0
29,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,204,Benin,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Least Developed Country duty,0.0
30,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,208,Denmark,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,European Union preferential duty,0.0
31,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,214,Dominican Republic,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Generalized System of Preferences duty,11.8
32,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,218,Ecuador,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Generalized System of Preferences duty,11.8
33,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,233,Estonia,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Estonia (Free Trade Agreement),0.0
34,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,242,Fiji,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Generalized System of Preferences duty,11.8
35,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,246,Finland,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,European Union preferential duty,0.0
36,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,250,France,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,European Union preferential duty,0.0
37,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,266,Gabon,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Generalized System of Preferences duty,11.8
38,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,270,The Gambia,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Least Developed Country duty,0.0
39,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,276,Germany,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,European Union preferential duty,0.0
40,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,348,Hungary,288,Ghana,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,Generalized System of Preferences duty,11.8
