,IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
0,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,388,Jamaica,214,Dominican Republic,HS,Harmonized System,010190,Other,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Preferential tariff for Dominican Republic,0.0
1,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,388,Jamaica,214,Dominican Republic,HS,Harmonized System,010290,Other,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Preferential tariff for Dominican Republic,0.0
2,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,388,Jamaica,214,Dominican Republic,HS,Harmonized System,010391,Weighing less than 50 kg,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Preferential tariff for Dominican Republic,0.0
3,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,388,Jamaica,214,Dominican Republic,HS,Harmonized System,010392,Weighing 50 kg or more,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Preferential tariff for Dominican Republic,0.0
4,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,388,Jamaica,214,Dominican Republic,HS,Harmonized System,010410,Sheep,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Preferential tariff for Dominican Republic,0.0
5,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,388,Jamaica,214,Dominican Republic,HS,Harmonized System,010420,Goats,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Preferential tariff for Dominican Republic,0.0
6,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,388,Jamaica,214,Dominican Republic,HS,Harmonized System,010511,Fowls of the species Gallus domesticus,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Preferential tariff for Dominican Republic,0.0
7,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,388,Jamaica,214,Dominican Republic,HS,Harmonized System,010512,Turkeys,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Preferential tariff for Dominican Republic,0.0
8,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,388,Jamaica,214,Dominican Republic,HS,Harmonized System,010519,Other,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Preferential tariff for Dominican Republic,0.0
9,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,388,Jamaica,214,Dominican Republic,HS,Harmonized System,010592,"Fowls of the species Gallus domesticus, weighing not more than 2,000 g",A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Preferential tariff for Dominican Republic,0.0
