,IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
0,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,116,Cambodia,360,Indonesia,HS,Harmonized System,040899,Other,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,ASEAN Free Trade Area (AFTA) duty rates,20.0
1,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,116,Cambodia,418,Lao People's Democratic Republic,HS,Harmonized System,040899,Other,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,ASEAN Free Trade Area (AFTA) duty rates,20.0
2,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,116,Cambodia,458,Malaysia,HS,Harmonized System,040899,Other,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,ASEAN Free Trade Area (AFTA) duty rates,20.0
3,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,116,Cambodia,608,Philippines,HS,Harmonized System,040899,Other,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,ASEAN Free Trade Area (AFTA) duty rates,20.0
4,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,116,Cambodia,702,Singapore,HS,Harmonized System,040899,Other,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,ASEAN Free Trade Area (AFTA) duty rates,20.0
5,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,116,Cambodia,704,Viet Nam,HS,Harmonized System,040899,Other,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,ASEAN Free Trade Area (AFTA) duty rates,20.0
6,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,116,Cambodia,764,Thailand,HS,Harmonized System,040899,Other,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,ASEAN Free Trade Area (AFTA) duty rates,20.0
7,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,116,Cambodia,096,Brunei Darussalam,HS,Harmonized System,050100,"Human hair, unworked, whether or not washed or scoured; waste of human hair",A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,ASEAN Free Trade Area (AFTA) duty rates,10.0
8,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,116,Cambodia,104,Myanmar,HS,Harmonized System,050100,"Human hair, unworked, whether or not washed or scoured; waste of human hair",A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,ASEAN Free Trade Area (AFTA) duty rates,10.0
9,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,116,Cambodia,360,Indonesia,HS,Harmonized System,050100,"Human hair, unworked, whether or not washed or scoured; waste of human hair",A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,ASEAN Free Trade Area (AFTA) duty rates,10.0
10,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,116,Cambodia,418,Lao People's Democratic Republic,HS,Harmonized System,050100,"Human hair, unworked, whether or not washed or scoured; waste of human hair",A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,ASEAN Free Trade Area (AFTA) duty rates,10.0
11,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,116,Cambodia,458,Malaysia,HS,Harmonized System,050100,"Human hair, unworked, whether or not washed or scoured; waste of human hair",A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,ASEAN Free Trade Area (AFTA) duty rates,10.0
12,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,116,Cambodia,608,Philippines,HS,Harmonized System,050100,"Human hair, unworked, whether or not washed or scoured; waste of human hair",A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,ASEAN Free Trade Area (AFTA) duty rates,10.0
13,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,116,Cambodia,702,Singapore,HS,Harmonized System,050100,"Human hair, unworked, whether or not washed or scoured; waste of human hair",A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,ASEAN Free Trade Area (AFTA) duty rates,10.0
14,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,116,Cambodia,360,Indonesia,HS,Harmonized System,050210,"Pigs', hogs' or boars' bristles and hair and waste thereof",A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,ASEAN Free Trade Area (AFTA) duty rates,10.0
15,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,116,Cambodia,418,Lao People's Democratic Republic,HS,Harmonized System,050210,"Pigs', hogs' or boars' bristles and hair and waste thereof",A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,ASEAN Free Trade Area (AFTA) duty rates,10.0
16,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,116,Cambodia,458,Malaysia,HS,Harmonized System,050210,"Pigs', hogs' or boars' bristles and hair and waste thereof",A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,ASEAN Free Trade Area (AFTA) duty rates,10.0
17,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,116,Cambodia,608,Philippines,HS,Harmonized System,050210,"Pigs', hogs' or boars' bristles and hair and waste thereof",A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,ASEAN Free Trade Area (AFTA) duty rates,10.0
18,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,116,Cambodia,702,Singapore,HS,Harmonized System,050210,"Pigs', hogs' or boars' bristles and hair and waste thereof",A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,ASEAN Free Trade Area (AFTA) duty rates,10.0
19,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,116,Cambodia,704,Viet Nam,HS,Harmonized System,050210,"Pigs', hogs' or boars' bristles and hair and waste thereof",A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,ASEAN Free Trade Area (AFTA) duty rates,10.0
20,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,116,Cambodia,764,Thailand,HS,Harmonized System,050210,"Pigs', hogs' or boars' bristles and hair and waste thereof",A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,ASEAN Free Trade Area (AFTA) duty rates,10.0
21,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,116,Cambodia,096,Brunei Darussalam,HS,Harmonized System,050290,Other,A,Annual,A,Annual,PCT,Percent,2002,PREF,Preferential scheme,ASEAN Free Trade Area (AFTA) duty rates,10.0
