,IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
0,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,418,Lao People's Democratic Republic,410,"Korea, Republic of",HS,Harmonized System,010641,Bees,A,Annual,A,Annual,PCT,Percent,2014,PREF,Preferential scheme,"Free-trade agreement duty rates for Korea, Republic of",4.0
1,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,418,Lao People's Democratic Republic,458,Malaysia,HS,Harmonized System,010641,Bees,A,Annual,A,Annual,PCT,Percent,2014,PREF,Preferential scheme,Free-trade agreement duty rates for ASEAN countries,5.0
2,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,418,Lao People's Democratic Republic,608,Philippines,HS,Harmonized System,010641,Bees,A,Annual,A,Annual,PCT,Percent,2014,PREF,Preferential scheme,Free-trade agreement duty rates for ASEAN countries,5.0
3,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,418,Lao People's Democratic Republic,702,Singapore,HS,Harmonized System,010641,Bees,A,Annual,A,Annual,PCT,Percent,2014,PREF,Preferential scheme,Free-trade agreement duty rates for ASEAN countries,5.0
4,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,418,Lao People's Democratic Republic,704,Viet Nam,HS,Harmonized System,010641,Bees,A,Annual,A,Annual,PCT,Percent,2014,PREF,Preferential scheme,Free-trade agreement duty rates for ASEAN countries,5.0
5,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,418,Lao People's Democratic Republic,764,Thailand,HS,Harmonized System,010641,Bees,A,Annual,A,Annual,PCT,Percent,2014,PREF,Preferential scheme,Free-trade agreement duty rates for ASEAN countries,5.0
6,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,418,Lao People's Democratic Republic,096,Brunei Darussalam,HS,Harmonized System,010649,Other,A,Annual,A,Annual,PCT,Percent,2014,PREF,Preferential scheme,Free-trade agreement duty rates for ASEAN countries,5.0
7,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,418,Lao People's Democratic Republic,104,Myanmar,HS,Harmonized System,010649,Other,A,Annual,A,Annual,PCT,Percent,2014,PREF,Preferential scheme,Free-trade agreement duty rates for ASEAN countries,5.0
8,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,418,Lao People's Democratic Republic,116,Cambodia,HS,Harmonized System,010649,Other,A,Annual,A,Annual,PCT,Percent,2014,PREF,Preferential scheme,Free-trade agreement duty rates for ASEAN countries,5.0
9,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,418,Lao People's Democratic Republic,156,China,HS,Harmonized System,010649,Other,A,Annual,A,Annual,PCT,Percent,2014,PREF,Preferential scheme,Free-trade agreement duty rates for China,0.0
