,IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
0,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,144,Sri Lanka,050,Bangladesh,HS,Harmonized System,050610,Ossein and bones treated with acid,A,Annual,A,Annual,PCT,Percent,1997,PREF,Preferential scheme,Preferential duty rates for the Bangkok Preferential Agreement partners,17.5
1,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,144,Sri Lanka,356,India,HS,Harmonized System,050610,Ossein and bones treated with acid,A,Annual,A,Annual,PCT,Percent,1997,PREF,Preferential scheme,Preferential duty rates for the Bangkok Preferential Agreement partners,17.5
2,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,144,Sri Lanka,410,"Korea, Republic of",HS,Harmonized System,050610,Ossein and bones treated with acid,A,Annual,A,Annual,PCT,Percent,1997,PREF,Preferential scheme,Preferential duty rates for the Bangkok Preferential Agreement partners,17.5
3,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,144,Sri Lanka,418,Lao People's Democratic Republic,HS,Harmonized System,050610,Ossein and bones treated with acid,A,Annual,A,Annual,PCT,Percent,1997,PREF,Preferential scheme,Preferential duty rates for the Bangkok Preferential Agreement partners,17.5
4,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,144,Sri Lanka,586,Pakistan,HS,Harmonized System,050610,Ossein and bones treated with acid,A,Annual,A,Annual,PCT,Percent,1997,PREF,Preferential scheme,Preferential duty rates for the Bangkok Preferential Agreement partners,17.5
5,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,144,Sri Lanka,598,Papua New Guinea,HS,Harmonized System,050610,Ossein and bones treated with acid,A,Annual,A,Annual,PCT,Percent,1997,PREF,Preferential scheme,Preferential duty rates for the Bangkok Preferential Agreement partners,17.5
6,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,144,Sri Lanka,050,Bangladesh,HS,Harmonized System,050690,Other,A,Annual,A,Annual,PCT,Percent,1997,PREF,Preferential scheme,Preferential duty rates for the Bangkok Preferential Agreement partners,17.5
7,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,144,Sri Lanka,356,India,HS,Harmonized System,050690,Other,A,Annual,A,Annual,PCT,Percent,1997,PREF,Preferential scheme,Preferential duty rates for the Bangkok Preferential Agreement partners,17.5
8,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,144,Sri Lanka,410,"Korea, Republic of",HS,Harmonized System,050690,Other,A,Annual,A,Annual,PCT,Percent,1997,PREF,Preferential scheme,Preferential duty rates for the Bangkok Preferential Agreement partners,17.5
9,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,144,Sri Lanka,418,Lao People's Democratic Republic,HS,Harmonized System,050690,Other,A,Annual,A,Annual,PCT,Percent,1997,PREF,Preferential scheme,Preferential duty rates for the Bangkok Preferential Agreement partners,17.5
