,IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
0,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,752,Sweden,HS,Harmonized System,030263,Coalfish (Pollachius virens),A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Unin Europea,0.0
1,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,826,United Kingdom,HS,Harmonized System,030263,Coalfish (Pollachius virens),A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Unin Europea,0.0
2,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,840,United States of America,HS,Harmonized System,030263,Coalfish (Pollachius virens),A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Estados Unidos,0.0
3,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,858,Uruguay,HS,Harmonized System,030263,Coalfish (Pollachius virens),A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Uruguay,0.0
4,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,862,"Venezuela, Bolivarian Republic of",HS,Harmonized System,030263,Coalfish (Pollachius virens),A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Venezuela,5.7
5,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,040,Austria,HS,Harmonized System,030264,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Unin Europea,0.0
6,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,056,Belgium,HS,Harmonized System,030264,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Unin Europea,0.0
7,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,068,"Bolivia, Plurinational State of",HS,Harmonized System,030264,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Bolivia,6.0
8,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,124,Canada,HS,Harmonized System,030264,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Canad,0.0
9,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,152,Chile,HS,Harmonized System,030264,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Chile,0.0
10,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,170,Colombia,HS,Harmonized System,030264,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Colombia,5.7
11,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,188,Costa Rica,HS,Harmonized System,030264,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Costa Rica,0.0
12,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,208,Denmark,HS,Harmonized System,030264,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Unin Europea,0.0
13,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,222,El Salvador,HS,Harmonized System,030264,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Salvador,0.0
14,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,246,Finland,HS,Harmonized System,030264,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Unin Europea,0.0
15,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,250,France,HS,Harmonized System,030264,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Unin Europea,0.0
16,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,276,Germany,HS,Harmonized System,030264,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Unin Europea,0.0
17,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,300,Greece,HS,Harmonized System,030264,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Unin Europea,0.0
18,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,320,Guatemala,HS,Harmonized System,030264,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Guatemala,0.0
19,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,340,Honduras,HS,Harmonized System,030264,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Honduras,0.0
20,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,372,Ireland,HS,Harmonized System,030264,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Unin Europea,0.0
21,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,380,Italy,HS,Harmonized System,030264,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Unin Europea,0.0
22,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,442,Luxembourg,HS,Harmonized System,030264,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Unin Europea,0.0
23,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,208,Denmark,HS,Harmonized System,071332,Small red (Adzuki) beans (Phaseolus or Vigna angularis),A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Unin Europea,0.0
24,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,222,El Salvador,HS,Harmonized System,071332,Small red (Adzuki) beans (Phaseolus or Vigna angularis),A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Salvador,8.8
25,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,246,Finland,HS,Harmonized System,071332,Small red (Adzuki) beans (Phaseolus or Vigna angularis),A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Unin Europea,0.0
26,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,250,France,HS,Harmonized System,071332,Small red (Adzuki) beans (Phaseolus or Vigna angularis),A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Unin Europea,0.0
27,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,276,Germany,HS,Harmonized System,071332,Small red (Adzuki) beans (Phaseolus or Vigna angularis),A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Unin Europea,0.0
28,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,300,Greece,HS,Harmonized System,071332,Small red (Adzuki) beans (Phaseolus or Vigna angularis),A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Unin Europea,0.0
29,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,484,Mexico,320,Guatemala,HS,Harmonized System,071332,Small red (Adzuki) beans (Phaseolus or Vigna angularis),A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,TLC Guatemala,8.8
