,IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
0,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,496,Mongolia,392,Japan,HS,Harmonized System,390810,"Polyamide6, 11, 12, 6,6, 6,9, 6,10 or 6,12",A,Annual,A,Annual,PCT,Percent,2019,PREF,Preferential scheme,Free-trade agreement duty rates for Japan,3.2
1,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,496,Mongolia,392,Japan,HS,Harmonized System,390890,Other,A,Annual,A,Annual,PCT,Percent,2019,PREF,Preferential scheme,Free-trade agreement duty rates for Japan,3.2
2,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,496,Mongolia,392,Japan,HS,Harmonized System,390910,Urea resins; thiourea resins,A,Annual,A,Annual,PCT,Percent,2019,PREF,Preferential scheme,Free-trade agreement duty rates for Japan,3.2
3,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,496,Mongolia,392,Japan,HS,Harmonized System,390920,Melamine resins,A,Annual,A,Annual,PCT,Percent,2019,PREF,Preferential scheme,Free-trade agreement duty rates for Japan,3.2
4,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,496,Mongolia,392,Japan,HS,Harmonized System,390931,"Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)",A,Annual,A,Annual,PCT,Percent,2019,PREF,Preferential scheme,Free-trade agreement duty rates for Japan,3.2
5,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,496,Mongolia,392,Japan,HS,Harmonized System,390939,Other,A,Annual,A,Annual,PCT,Percent,2019,PREF,Preferential scheme,Free-trade agreement duty rates for Japan,3.2
6,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,496,Mongolia,392,Japan,HS,Harmonized System,390940,Phenolic resins,A,Annual,A,Annual,PCT,Percent,2019,PREF,Preferential scheme,Free-trade agreement duty rates for Japan,3.2
7,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,496,Mongolia,392,Japan,HS,Harmonized System,390950,Polyurethanes,A,Annual,A,Annual,PCT,Percent,2019,PREF,Preferential scheme,Free-trade agreement duty rates for Japan,3.2
8,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,496,Mongolia,392,Japan,HS,Harmonized System,391000,Silicones in primary forms,A,Annual,A,Annual,PCT,Percent,2019,PREF,Preferential scheme,Free-trade agreement duty rates for Japan,3.2
9,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,496,Mongolia,392,Japan,HS,Harmonized System,391110,"Petroleum resins, coumarone, indene or coumaroneindene resins and polyterpenes",A,Annual,A,Annual,PCT,Percent,2019,PREF,Preferential scheme,Free-trade agreement duty rates for Japan,3.2
