,IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
0,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,458,Malaysia,704,Viet Nam,HS,Harmonized System,350300,"Gelatin (including gelatin in rectangular (including square) sheets, whether or not surfaceWorked or coloured) and gelatin derivatives; isinglass; other glues of animal origin, excluding casein glues ",A,Annual,A,Annual,PCT,Percent,2009,PREF,Preferential scheme,ASEAN - Common Effective Preferential Tariff (CEPT),3.8
1,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,458,Malaysia,764,Thailand,HS,Harmonized System,350300,"Gelatin (including gelatin in rectangular (including square) sheets, whether or not surfaceWorked or coloured) and gelatin derivatives; isinglass; other glues of animal origin, excluding casein glues ",A,Annual,A,Annual,PCT,Percent,2009,PREF,Preferential scheme,ASEAN - Common Effective Preferential Tariff (CEPT),3.8
2,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,458,Malaysia,096,Brunei Darussalam,HS,Harmonized System,350520,Glues,A,Annual,A,Annual,PCT,Percent,2009,PREF,Preferential scheme,ASEAN - Common Effective Preferential Tariff (CEPT),5.0
3,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,458,Malaysia,104,Myanmar,HS,Harmonized System,350520,Glues,A,Annual,A,Annual,PCT,Percent,2009,PREF,Preferential scheme,ASEAN - Common Effective Preferential Tariff (CEPT),5.0
4,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,458,Malaysia,116,Cambodia,HS,Harmonized System,350520,Glues,A,Annual,A,Annual,PCT,Percent,2009,PREF,Preferential scheme,ASEAN - Common Effective Preferential Tariff (CEPT),5.0
5,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,458,Malaysia,156,China,HS,Harmonized System,350520,Glues,A,Annual,A,Annual,PCT,Percent,2009,PREF,Preferential scheme,Free-trade agreement duty rate for China under ASEAN,5.0
6,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,458,Malaysia,360,Indonesia,HS,Harmonized System,350520,Glues,A,Annual,A,Annual,PCT,Percent,2009,PREF,Preferential scheme,ASEAN - Common Effective Preferential Tariff (CEPT),5.0
7,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,458,Malaysia,392,Japan,HS,Harmonized System,350520,Glues,A,Annual,A,Annual,PCT,Percent,2009,PREF,Preferential scheme,Free-trade agreement duty rate for Japan,21.4
8,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,458,Malaysia,410,"Korea, Republic of",HS,Harmonized System,350520,Glues,A,Annual,A,Annual,PCT,Percent,2009,PREF,Preferential scheme,Free-trade agreement duty rate for the Rep. of Korea under ASEAN,5.0
9,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,458,Malaysia,418,Lao People's Democratic Republic,HS,Harmonized System,350520,Glues,A,Annual,A,Annual,PCT,Percent,2009,PREF,Preferential scheme,ASEAN - Common Effective Preferential Tariff (CEPT),5.0
