,IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
0,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,524,Nepal,004,Afghanistan,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Free-trade agreement duty rates for South Asian Free Trade Area (SAFTA),9.5
1,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,524,Nepal,050,Bangladesh,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Free-trade agreement duty rates for South Asian Free Trade Area (SAFTA),9.5
2,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,524,Nepal,144,Sri Lanka,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Free-trade agreement duty rates for South Asian Free Trade Area (SAFTA),9.5
3,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,524,Nepal,356,India,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Free-trade agreement duty rates for South Asian Free Trade Area (SAFTA),9.5
4,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,524,Nepal,462,Maldives,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Free-trade agreement duty rates for South Asian Free Trade Area (SAFTA),9.5
5,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,524,Nepal,586,Pakistan,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Free-trade agreement duty rates for South Asian Free Trade Area (SAFTA),9.5
6,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,524,Nepal,004,Afghanistan,HS,Harmonized System,010190,Other,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Free-trade agreement duty rates for South Asian Free Trade Area (SAFTA),9.5
7,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,524,Nepal,050,Bangladesh,HS,Harmonized System,010190,Other,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Free-trade agreement duty rates for South Asian Free Trade Area (SAFTA),9.5
8,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,524,Nepal,144,Sri Lanka,HS,Harmonized System,010190,Other,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Free-trade agreement duty rates for South Asian Free Trade Area (SAFTA),9.5
9,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,524,Nepal,356,India,HS,Harmonized System,010190,Other,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Free-trade agreement duty rates for South Asian Free Trade Area (SAFTA),9.5
10,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,524,Nepal,462,Maldives,HS,Harmonized System,010190,Other,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Free-trade agreement duty rates for South Asian Free Trade Area (SAFTA),9.5
11,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,524,Nepal,586,Pakistan,HS,Harmonized System,010190,Other,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Free-trade agreement duty rates for South Asian Free Trade Area (SAFTA),9.5
12,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,524,Nepal,004,Afghanistan,HS,Harmonized System,010210,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Free-trade agreement duty rates for South Asian Free Trade Area (SAFTA),9.5
13,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,524,Nepal,050,Bangladesh,HS,Harmonized System,010210,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Free-trade agreement duty rates for South Asian Free Trade Area (SAFTA),9.5
14,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,524,Nepal,144,Sri Lanka,HS,Harmonized System,010210,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Free-trade agreement duty rates for South Asian Free Trade Area (SAFTA),9.5
15,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,524,Nepal,356,India,HS,Harmonized System,010210,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Free-trade agreement duty rates for South Asian Free Trade Area (SAFTA),9.5
16,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,524,Nepal,462,Maldives,HS,Harmonized System,010210,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Free-trade agreement duty rates for South Asian Free Trade Area (SAFTA),9.5
