,IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
0,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,586,Pakistan,050,Bangladesh,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2003,PREF,Preferential scheme,Preferential duty rates for Least Develoed Countries under the South Asian Preferential Trade Agreement (SAPTA),7.0
1,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,586,Pakistan,144,Sri Lanka,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Free Trade Agreement for Sri Lanka,0.0
2,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,586,Pakistan,156,China,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Free Trade Agreement for China,0.0
3,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,586,Pakistan,458,Malaysia,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Free Trade Agreement for Malaysia,0.0
4,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,586,Pakistan,462,Maldives,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2003,PREF,Preferential scheme,Preferential duty rates for Least Develoed Countries under the South Asian Preferential Trade Agreement (SAPTA),7.0
5,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,586,Pakistan,524,Nepal,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2003,PREF,Preferential scheme,Preferential duty rates for Least Develoed Countries under the South Asian Preferential Trade Agreement (SAPTA),7.0
6,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,586,Pakistan,144,Sri Lanka,HS,Harmonized System,010121,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2012,PREF,Preferential scheme,Free Trade Agreement for Sri Lanka,0.0
7,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,586,Pakistan,156,China,HS,Harmonized System,010121,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2012,PREF,Preferential scheme,Free Trade Agreement for China,0.0
8,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,586,Pakistan,458,Malaysia,HS,Harmonized System,010121,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2012,PREF,Preferential scheme,Free Trade Agreement for Malaysia,0.0
9,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,586,Pakistan,144,Sri Lanka,HS,Harmonized System,010129,Other,A,Annual,A,Annual,PCT,Percent,2012,PREF,Preferential scheme,Free Trade Agreement for Sri Lanka,0.0
10,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,586,Pakistan,144,Sri Lanka,HS,Harmonized System,010130,Asses,A,Annual,A,Annual,PCT,Percent,2012,PREF,Preferential scheme,Free Trade Agreement for Sri Lanka,0.0
11,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,586,Pakistan,156,China,HS,Harmonized System,010130,Asses,A,Annual,A,Annual,PCT,Percent,2012,PREF,Preferential scheme,Free Trade Agreement for China,0.0
12,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,586,Pakistan,458,Malaysia,HS,Harmonized System,010130,Asses,A,Annual,A,Annual,PCT,Percent,2012,PREF,Preferential scheme,Free Trade Agreement for Malaysia,0.0
13,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,586,Pakistan,050,Bangladesh,HS,Harmonized System,010190,Other,A,Annual,A,Annual,PCT,Percent,2003,PREF,Preferential scheme,Preferential duty rates for Least Develoed Countries under the South Asian Preferential Trade Agreement (SAPTA),7.0
14,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,586,Pakistan,144,Sri Lanka,HS,Harmonized System,010190,Other,A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Free Trade Agreement for Sri Lanka,0.0
15,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,586,Pakistan,144,Sri Lanka,HS,Harmonized System,010190,Other,A,Annual,A,Annual,PCT,Percent,2012,PREF,Preferential scheme,Free Trade Agreement for Sri Lanka,0.0
16,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,586,Pakistan,156,China,HS,Harmonized System,010190,Other,A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Free Trade Agreement for China,0.0
17,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,586,Pakistan,156,China,HS,Harmonized System,010190,Other,A,Annual,A,Annual,PCT,Percent,2012,PREF,Preferential scheme,Free Trade Agreement for China,0.0
