,IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
0,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,604,Peru,840,United States of America,HS,Harmonized System,010190,Other,A,Annual,A,Annual,PCT,Percent,2009,PREF,Preferential scheme,Free-trade agreement duty rates for USA,0.0
1,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,604,Peru,840,United States of America,HS,Harmonized System,010290,Other,A,Annual,A,Annual,PCT,Percent,2009,PREF,Preferential scheme,Free-trade agreement duty rates for USA,0.0
2,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,604,Peru,840,United States of America,HS,Harmonized System,010599,Other,A,Annual,A,Annual,PCT,Percent,2009,PREF,Preferential scheme,Free-trade agreement duty rates for USA,0.0
3,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,604,Peru,840,United States of America,HS,Harmonized System,010611,Primates,A,Annual,A,Annual,PCT,Percent,2009,PREF,Preferential scheme,Free-trade agreement duty rates for USA,0.0
4,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,604,Peru,840,United States of America,HS,Harmonized System,010612,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)",A,Annual,A,Annual,PCT,Percent,2009,PREF,Preferential scheme,Free-trade agreement duty rates for USA,0.0
5,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,604,Peru,840,United States of America,HS,Harmonized System,010619,Other,A,Annual,A,Annual,PCT,Percent,2009,PREF,Preferential scheme,Free-trade agreement duty rates for USA,0.0
6,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,604,Peru,840,United States of America,HS,Harmonized System,010620,Reptiles (including snakes and turtles),A,Annual,A,Annual,PCT,Percent,2009,PREF,Preferential scheme,Free-trade agreement duty rates for USA,0.0
7,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,604,Peru,840,United States of America,HS,Harmonized System,010631,Birds of prey,A,Annual,A,Annual,PCT,Percent,2009,PREF,Preferential scheme,Free-trade agreement duty rates for USA,0.0
8,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,604,Peru,840,United States of America,HS,Harmonized System,010632,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",A,Annual,A,Annual,PCT,Percent,2009,PREF,Preferential scheme,Free-trade agreement duty rates for USA,0.0
9,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,604,Peru,840,United States of America,HS,Harmonized System,010639,Other,A,Annual,A,Annual,PCT,Percent,2009,PREF,Preferential scheme,Free-trade agreement duty rates for USA,0.0
10,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,604,Peru,840,United States of America,HS,Harmonized System,010690,Other,A,Annual,A,Annual,PCT,Percent,2009,PREF,Preferential scheme,Free-trade agreement duty rates for USA,0.0
11,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,604,Peru,840,United States of America,HS,Harmonized System,020120,Other cuts with bone in,A,Annual,A,Annual,PCT,Percent,2009,PREF,Preferential scheme,Free-trade agreement duty rates for USA,8.5
12,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,604,Peru,840,United States of America,HS,Harmonized System,020130,Boneless,A,Annual,A,Annual,PCT,Percent,2009,PREF,Preferential scheme,Free-trade agreement duty rates for USA,8.5
13,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,604,Peru,840,United States of America,HS,Harmonized System,020220,Other cuts with bone in,A,Annual,A,Annual,PCT,Percent,2009,PREF,Preferential scheme,Free-trade agreement duty rates for USA,8.5
14,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,604,Peru,840,United States of America,HS,Harmonized System,020230,Boneless,A,Annual,A,Annual,PCT,Percent,2009,PREF,Preferential scheme,Free-trade agreement duty rates for USA,8.5
