,IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
0,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,643,Russian Federation,140,Central African Republic,HS,Harmonized System,020130,Boneless,A,Annual,A,Annual,PCT,Percent,2012,PREF,Preferential scheme,LDC duty rates,0.0
1,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,643,Russian Federation,148,Chad,HS,Harmonized System,020130,Boneless,A,Annual,A,Annual,PCT,Percent,2012,PREF,Preferential scheme,LDC duty rates,0.0
2,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,643,Russian Federation,180,Democratic Republic of the Congo,HS,Harmonized System,020130,Boneless,A,Annual,A,Annual,PCT,Percent,2012,PREF,Preferential scheme,LDC duty rates,0.0
3,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,643,Russian Federation,204,Benin,HS,Harmonized System,020130,Boneless,A,Annual,A,Annual,PCT,Percent,2012,PREF,Preferential scheme,LDC duty rates,0.0
4,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,643,Russian Federation,262,Djibouti,HS,Harmonized System,020130,Boneless,A,Annual,A,Annual,PCT,Percent,2012,PREF,Preferential scheme,LDC duty rates,0.0
5,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,643,Russian Federation,268,Georgia,HS,Harmonized System,020130,Boneless,A,Annual,A,Annual,PCT,Percent,2012,PREF,Preferential scheme,Preferential tariff for CIS countries,0.0
6,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,643,Russian Federation,270,The Gambia,HS,Harmonized System,020130,Boneless,A,Annual,A,Annual,PCT,Percent,2012,PREF,Preferential scheme,LDC duty rates,0.0
7,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,643,Russian Federation,324,Guinea,HS,Harmonized System,020130,Boneless,A,Annual,A,Annual,PCT,Percent,2012,PREF,Preferential scheme,LDC duty rates,0.0
8,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,643,Russian Federation,332,Haiti,HS,Harmonized System,020130,Boneless,A,Annual,A,Annual,PCT,Percent,2012,PREF,Preferential scheme,LDC duty rates,0.0
9,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,643,Russian Federation,398,Kazakhstan,HS,Harmonized System,020130,Boneless,A,Annual,A,Annual,PCT,Percent,2012,PREF,Preferential scheme,"Regional tariff preference Customs Union (Russia-Belarus-Kazakhstan), Preferential tariff for CIS countries",0.0
