,IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
0,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,646,Rwanda,108,Burundi,HS,Harmonized System,020810,Of rabbits or hares,A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,Preference for COMESA,3.0
1,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,646,Rwanda,262,Djibouti,HS,Harmonized System,020810,Of rabbits or hares,A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,Preference for COMESA,3.0
2,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,646,Rwanda,404,Kenya,HS,Harmonized System,020810,Of rabbits or hares,A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,Preference for COMESA,3.0
3,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,646,Rwanda,426,Lesotho,HS,Harmonized System,020810,Of rabbits or hares,A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,Preference for COMESA,3.0
4,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,646,Rwanda,450,Madagascar,HS,Harmonized System,020810,Of rabbits or hares,A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,Preference for COMESA,3.0
5,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,646,Rwanda,454,Malawi,HS,Harmonized System,020810,Of rabbits or hares,A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,Preference for COMESA,3.0
6,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,646,Rwanda,480,Mauritius,HS,Harmonized System,020810,Of rabbits or hares,A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,Preference for COMESA,3.0
7,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,646,Rwanda,508,Mozambique,HS,Harmonized System,020810,Of rabbits or hares,A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,Preference for COMESA,3.0
8,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,646,Rwanda,690,Seychelles,HS,Harmonized System,020810,Of rabbits or hares,A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,Preference for COMESA,3.0
9,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,646,Rwanda,716,Zimbabwe,HS,Harmonized System,020810,Of rabbits or hares,A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,Preference for COMESA,3.0
10,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,646,Rwanda,748,Eswatini,HS,Harmonized System,020810,Of rabbits or hares,A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,Preference for COMESA,3.0
11,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,646,Rwanda,800,Uganda,HS,Harmonized System,020810,Of rabbits or hares,A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,Preference for COMESA,3.0
12,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,646,Rwanda,818,Egypt,HS,Harmonized System,020810,Of rabbits or hares,A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,Preference for COMESA,3.0
13,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,646,Rwanda,834,Tanzania,HS,Harmonized System,020810,Of rabbits or hares,A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,Preference for COMESA,3.0
14,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,646,Rwanda,894,Zambia,HS,Harmonized System,020810,Of rabbits or hares,A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,Preference for COMESA,3.0
15,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,646,Rwanda,108,Burundi,HS,Harmonized System,020820,Frogs' legs,A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,Preference for COMESA,3.0
16,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,646,Rwanda,262,Djibouti,HS,Harmonized System,020820,Frogs' legs,A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,Preference for COMESA,3.0
17,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,646,Rwanda,404,Kenya,HS,Harmonized System,020820,Frogs' legs,A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,Preference for COMESA,3.0
18,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,646,Rwanda,426,Lesotho,HS,Harmonized System,020820,Frogs' legs,A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,Preference for COMESA,3.0
19,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,646,Rwanda,450,Madagascar,HS,Harmonized System,020820,Frogs' legs,A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,Preference for COMESA,3.0
20,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,646,Rwanda,454,Malawi,HS,Harmonized System,020820,Frogs' legs,A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,Preference for COMESA,3.0
21,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,646,Rwanda,480,Mauritius,HS,Harmonized System,020820,Frogs' legs,A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,Preference for COMESA,3.0
22,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,646,Rwanda,508,Mozambique,HS,Harmonized System,020820,Frogs' legs,A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,Preference for COMESA,3.0
23,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,646,Rwanda,690,Seychelles,HS,Harmonized System,020820,Frogs' legs,A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,Preference for COMESA,3.0
24,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,646,Rwanda,716,Zimbabwe,HS,Harmonized System,020820,Frogs' legs,A,Annual,A,Annual,PCT,Percent,2001,PREF,Preferential scheme,Preference for COMESA,3.0
