,IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
0,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,096,Brunei Darussalam,HS,Harmonized System,220300,Beer made from malt,A,Annual,A,Annual,PCT,Percent,2005,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
1,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,104,Myanmar,HS,Harmonized System,220300,Beer made from malt,A,Annual,A,Annual,PCT,Percent,2005,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
2,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,116,Cambodia,HS,Harmonized System,220300,Beer made from malt,A,Annual,A,Annual,PCT,Percent,2005,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
3,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,360,Indonesia,HS,Harmonized System,220300,Beer made from malt,A,Annual,A,Annual,PCT,Percent,2005,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
4,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,418,Lao People's Democratic Republic,HS,Harmonized System,220300,Beer made from malt,A,Annual,A,Annual,PCT,Percent,2005,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
5,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,458,Malaysia,HS,Harmonized System,220300,Beer made from malt,A,Annual,A,Annual,PCT,Percent,2005,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
6,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,608,Philippines,HS,Harmonized System,220300,Beer made from malt,A,Annual,A,Annual,PCT,Percent,2005,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
7,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,704,Viet Nam,HS,Harmonized System,220300,Beer made from malt,A,Annual,A,Annual,PCT,Percent,2005,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
8,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,764,Thailand,HS,Harmonized System,220300,Beer made from malt,A,Annual,A,Annual,PCT,Percent,2005,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
9,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,096,Brunei Darussalam,HS,Harmonized System,220890,Other,A,Annual,A,Annual,PCT,Percent,2005,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
10,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,104,Myanmar,HS,Harmonized System,220890,Other,A,Annual,A,Annual,PCT,Percent,2005,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
11,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,116,Cambodia,HS,Harmonized System,220890,Other,A,Annual,A,Annual,PCT,Percent,2005,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
12,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,096,Brunei Darussalam,HS,Harmonized System,220300,Beer made from malt,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
13,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,104,Myanmar,HS,Harmonized System,220300,Beer made from malt,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
14,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,116,Cambodia,HS,Harmonized System,220300,Beer made from malt,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
15,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,360,Indonesia,HS,Harmonized System,220300,Beer made from malt,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
16,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,418,Lao People's Democratic Republic,HS,Harmonized System,220300,Beer made from malt,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
17,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,458,Malaysia,HS,Harmonized System,220300,Beer made from malt,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
18,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,608,Philippines,HS,Harmonized System,220300,Beer made from malt,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
19,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,704,Viet Nam,HS,Harmonized System,220300,Beer made from malt,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
20,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,764,Thailand,HS,Harmonized System,220300,Beer made from malt,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
21,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,096,Brunei Darussalam,HS,Harmonized System,220890,Other,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
22,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,104,Myanmar,HS,Harmonized System,220890,Other,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
23,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,116,Cambodia,HS,Harmonized System,220890,Other,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
24,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,096,Brunei Darussalam,HS,Harmonized System,220300,Beer made from malt,A,Annual,A,Annual,PCT,Percent,2007,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
25,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,104,Myanmar,HS,Harmonized System,220300,Beer made from malt,A,Annual,A,Annual,PCT,Percent,2007,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
26,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,116,Cambodia,HS,Harmonized System,220300,Beer made from malt,A,Annual,A,Annual,PCT,Percent,2007,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
27,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,360,Indonesia,HS,Harmonized System,220300,Beer made from malt,A,Annual,A,Annual,PCT,Percent,2007,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
28,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,702,Singapore,418,Lao People's Democratic Republic,HS,Harmonized System,220300,Beer made from malt,A,Annual,A,Annual,PCT,Percent,2007,PREF,Preferential scheme,AFTA - Common Effective Preferential Tariff,0.0
