,IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
0,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,032,Argentina,HS,Harmonized System,090810,Nutmeg,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),0.0
1,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,076,Brazil,HS,Harmonized System,090810,Nutmeg,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),0.0
2,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,600,Paraguay,HS,Harmonized System,090810,Nutmeg,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),0.0
3,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,032,Argentina,HS,Harmonized System,251720,"Macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in subheading 2517.10",A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),0.0
4,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,076,Brazil,HS,Harmonized System,251720,"Macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in subheading 2517.10",A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),0.0
5,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,600,Paraguay,HS,Harmonized System,251720,"Macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in subheading 2517.10",A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),0.0
6,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,032,Argentina,HS,Harmonized System,251730,Tarred macadam,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),0.0
7,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,076,Brazil,HS,Harmonized System,251730,Tarred macadam,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),0.0
8,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,076,Brazil,HS,Harmonized System,291439,Other,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),0.0
9,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,600,Paraguay,HS,Harmonized System,291439,Other,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),0.0
10,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,032,Argentina,HS,Harmonized System,291440,Ketonealcohols and ketonealdehydes,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),0.0
11,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,076,Brazil,HS,Harmonized System,291440,Ketonealcohols and ketonealdehydes,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),0.0
12,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,600,Paraguay,HS,Harmonized System,360300,Safety fuses; detonating fuses; percussion or detonating caps; igniters; electric detonators,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),0.0
13,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,032,Argentina,HS,Harmonized System,360410,Fireworks,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),0.0
14,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,076,Brazil,HS,Harmonized System,360410,Fireworks,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),0.0
15,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,600,Paraguay,HS,Harmonized System,360410,Fireworks,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),0.0
16,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,032,Argentina,HS,Harmonized System,430170,"Of seal, whole, with or without head, tail or paws",A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),0.0
17,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,076,Brazil,HS,Harmonized System,430170,"Of seal, whole, with or without head, tail or paws",A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),0.0
18,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,600,Paraguay,HS,Harmonized System,430170,"Of seal, whole, with or without head, tail or paws",A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),0.0
19,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,032,Argentina,HS,Harmonized System,430180,"Other furskins, whole, with or without head, tail or paws",A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),0.0
20,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,076,Brazil,HS,Harmonized System,430180,"Other furskins, whole, with or without head, tail or paws",A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),0.0
21,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,600,Paraguay,HS,Harmonized System,430180,"Other furskins, whole, with or without head, tail or paws",A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),0.0
22,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,076,Brazil,HS,Harmonized System,521041,Plain weave,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),27.0
23,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,600,Paraguay,HS,Harmonized System,521041,Plain weave,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),27.0
24,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,032,Argentina,HS,Harmonized System,521042,"3thread or 4thread twill, including cross twill",A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),27.0
25,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,032,Argentina,HS,Harmonized System,090820,Mace,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),0.0
26,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,076,Brazil,HS,Harmonized System,090820,Mace,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),0.0
27,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,600,Paraguay,HS,Harmonized System,090820,Mace,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),0.0
28,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,032,Argentina,HS,Harmonized System,090830,Cardamoms,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),0.0
29,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,858,Uruguay,076,Brazil,HS,Harmonized System,090830,Cardamoms,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,Intra-Mercosur rates 1996 (if not free),0.0
