,IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
0,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,670,Saint Vincent and the Grenadines,028,Antigua and Barbuda,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Customs Union Caribbean Community and Common Market (CARICOM),0.0
1,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,670,Saint Vincent and the Grenadines,052,Barbados,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Customs Union Caribbean Community and Common Market (CARICOM),0.0
2,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,670,Saint Vincent and the Grenadines,084,Belize,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Customs Union Caribbean Community and Common Market (CARICOM),0.0
3,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,670,Saint Vincent and the Grenadines,212,Dominica,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Customs Union Caribbean Community and Common Market (CARICOM),0.0
4,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,670,Saint Vincent and the Grenadines,308,Grenada,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Customs Union Caribbean Community and Common Market (CARICOM),0.0
5,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,670,Saint Vincent and the Grenadines,328,Guyana,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Customs Union Caribbean Community and Common Market (CARICOM),0.0
6,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,670,Saint Vincent and the Grenadines,332,Haiti,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Customs Union Caribbean Community and Common Market (CARICOM),0.0
7,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,670,Saint Vincent and the Grenadines,388,Jamaica,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Customs Union Caribbean Community and Common Market (CARICOM),0.0
8,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,670,Saint Vincent and the Grenadines,659,Saint Kitts and Nevis,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Customs Union Caribbean Community and Common Market (CARICOM),0.0
9,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,670,Saint Vincent and the Grenadines,662,Saint Lucia,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Customs Union Caribbean Community and Common Market (CARICOM),0.0
