,US or Foreign,Code,"State, Territory, or Country",Utility,Design,Plant,Reissue,Total,year
55,FOREIGN,DZX,ALGERIA,        1,        0,        0,        0,        1,05
56,FOREIGN,ADX,ANDORRA,        2,        3,        0,        0,        5,05
57,FOREIGN,ARX,ARGENTINA,       66,        5,        1,        0,       72,05
58,FOREIGN,AMX,ARMENIA,        8,        0,        0,        0,        8,05
59,FOREIGN,AUX,AUSTRALIA,     1627,      247,       41,        2,     1917,05
60,FOREIGN,ATX,AUSTRIA,     1156,      104,        0,        2,     1262,05
61,FOREIGN,AZX,AZERBAIJAN,        1,        0,        0,        0,        1,05
62,FOREIGN,BSX,THE BAHAMAS,        2,       12,        0,        0,       14,05
63,FOREIGN,BHX,BAHRAIN,        1,        0,        0,        0,        1,05
64,FOREIGN,BDX,BANGLADESH,        2,        0,        0,        0,        2,05
65,FOREIGN,BBX,BARBADOS,        2,        3,        0,        0,        5,05
66,FOREIGN,BYX,BELARUS,        8,       14,        1,        0,       23,05
67,FOREIGN,BEX,BELGIUM,     1133,       78,       13,        1,     1225,05
68,FOREIGN,BMX,BERMUDA,        2,        1,        0,        0,        3,05
69,FOREIGN,BOX,BOLIVIA,        1,        0,        0,        0,        1,05
70,FOREIGN,BRX,BRAZIL,      323,       58,        0,        0,      381,05
71,FOREIGN,VGX,BRITISH VIRGIN ISLANDS,        3,        0,        0,        0,        3,05
72,FOREIGN,BNX,BRUNEI DARUSSALAM,        1,        0,        0,        0,        1,05
73,FOREIGN,BGX,BULGARIA,       31,        3,        0,        0,       34,05
74,FOREIGN,CMX,CAMEROON,        1,        0,        0,        0,        1,05
75,FOREIGN,CAX,CANADA,     6802,      673,        7,       10,     7492,05
76,FOREIGN,KYX,CAYMAN ISLANDS,       12,        1,        0,        0,       13,05
77,FOREIGN,CLX,CHILE,       75,        1,        3,        0,       79,05
78,FOREIGN,HKX,"CHINA, HONG KONG S.A.R.",      601,      189,        0,        3,      793,05
79,FOREIGN,MOX,"CHINA, MACAU S.A.R.",       16,        1,        0,        0,       17,05
80,FOREIGN,CNX,"CHINA, PEOPLE'S REPUBLIC OF",     8116,      881,        3,        4,     9004,05
81,FOREIGN,COX,COLOMBIA,       33,        5,        0,        0,       38,05
82,FOREIGN,CRX,COSTA RICA,        8,        4,       10,        0,       22,05
83,FOREIGN,HRX,CROATIA,       11,        3,        0,        0,       14,05
84,FOREIGN,CUX,CUBA,       11,        0,        0,        0,       11,05
85,FOREIGN,CYX,CYPRUS,        9,        1,        0,        0,       10,05
86,FOREIGN,CZX,CZECH REPUBLIC,      191,       13,        1,        1,      206,05
87,FOREIGN,DKX,DENMARK,     1012,      137,       39,        2,     1190,05
88,FOREIGN,DOX,DOMINICAN REPUBLIC,        1,        1,        0,        0,        2,05
89,FOREIGN,ECX,ECUADOR,        1,        0,        0,        0,        1,05
90,FOREIGN,EGX,EGYPT,       30,        0,        0,        0,       30,05
91,FOREIGN,SVX,EL SALVADOR,        1,        1,        0,        0,        2,05
92,FOREIGN,EEX,ESTONIA,       38,        5,        0,        0,       43,05
93,FOREIGN,FOX,FAROE ISLANDS,        1,        0,        0,        0,        1,05
94,FOREIGN,FIX,FINLAND,     1376,      100,        0,        9,     1485,05
95,FOREIGN,FRX,FRANCE,     6565,      420,       34,        7,     7026,05
96,FOREIGN,PFX,FRENCH POLYNESIA,        1,        0,        0,        0,        1,05
97,FOREIGN,GEX,GEORGIA (REPUBLIC OF),        2,        0,        0,        0,        2,05
98,FOREIGN,DEX,GERMANY,    16549,     1040,      141,       22,    17752,05
99,FOREIGN,GHX,GHANA,        1,        0,        0,        0,        1,05
100,FOREIGN,GIX,GIBRALTAR,        2,        0,        0,        0,        2,05
101,FOREIGN,GRX,GREECE,       69,        8,        0,        0,       77,05
102,FOREIGN,GTX,GUATEMALA,        3,        1,        0,        0,        4,05
103,FOREIGN,GGX,GUERNSEY,        1,        0,        0,        0,        1,05
104,FOREIGN,HUX,HUNGARY,      143,       11,        3,        1,      158,05
105,FOREIGN,ISX,ICELAND,       51,        8,        0,        0,       59,05
106,FOREIGN,INX,INDIA,     3355,       59,        0,        1,     3415,05
107,FOREIGN,IDX,INDONESIA,       20,        1,        0,        0,       21,05
108,FOREIGN,IRX,IRAN,       27,        4,        0,        0,       31,05
109,FOREIGN,IQX,IRAQ,        1,        0,        0,        0,        1,05
110,FOREIGN,IEX,IRELAND,      473,       37,        5,        0,      515,05
111,FOREIGN,IMX,ISLE OF MAN,        9,        7,        0,        0,       16,05
112,FOREIGN,ILX,ISRAEL,     3628,      149,       26,        1,     3804,05
113,FOREIGN,ITX,ITALY,     2645,      425,       15,        5,     3090,05
114,FOREIGN,JMX,JAMAICA,        9,        0,        0,        0,        9,05
115,FOREIGN,JPX,JAPAN,    52409,     1878,       52,       83,    54422,05
116,FOREIGN,JEX,JERSEY,       10,        0,        0,        0,       10,05
117,FOREIGN,JOX,JORDAN,       11,        0,        0,        0,       11,05
118,FOREIGN,KZX,KAZAKHSTAN,        5,        0,        0,        0,        5,05
119,FOREIGN,KEX,KENYA,        5,        0,        0,        0,        5,05
120,FOREIGN,KRX,"KOREA, SOUTH",    17924,     2238,        1,       38,    20201,05
121,FOREIGN,KWX,KUWAIT,       64,        0,        0,        0,       64,05
122,FOREIGN,LVX,LATVIA,        4,        1,        0,        0,        5,05
123,FOREIGN,LBX,LEBANON,       10,        6,        0,        0,       16,05
124,FOREIGN,LIX,LIECHTENSTEIN,       29,        7,        0,        0,       36,05
125,FOREIGN,LTX,LITHUANIA,       12,        1,        0,        0,       13,05
126,FOREIGN,LUX,LUXEMBOURG,       51,       11,        0,        0,       62,05
127,FOREIGN,MKX,MACEDONIA,        2,        0,        0,        0,        2,05
128,FOREIGN,MWX,MALAWI,        1,        0,        0,        0,        1,05
129,FOREIGN,MYX,MALAYSIA,      256,       11,        0,        0,      267,05
130,FOREIGN,MLX,MALI,        1,        0,        0,        0,        1,05
131,FOREIGN,MTX,MALTA,        4,        3,        0,        0,        7,05
132,FOREIGN,MXX,MEXICO,      172,       31,        0,        0,      203,05
133,FOREIGN,MCX,MONACO,       17,        1,        0,        0,       18,05
134,FOREIGN,MNX,MONGOLIA,        2,        0,        0,        0,        2,05
135,FOREIGN,MAX,MOROCCO,        3,        0,        0,        1,        4,05
136,FOREIGN,NPX,"NEPAL, FED. DEM. REPUBLIC OF",        1,        0,        0,        0,        1,05
137,FOREIGN,NLX,NETHERLANDS,     2399,      186,      200,        3,     2788,05
138,FOREIGN,NCX,NEW CALEDONIA,        1,        0,        0,        0,        1,05
139,FOREIGN,NZX,NEW ZEALAND,      268,       58,       26,        0,      352,05
140,FOREIGN,NIX,NICARAGUA,        1,        0,        0,        0,        1,05
141,FOREIGN,NOX,NORWAY,      625,       60,        1,        1,      687,05
142,FOREIGN,OMX,OMAN,        4,        1,        0,        0,        5,05
143,FOREIGN,PKX,PAKISTAN,       16,        0,        0,        0,       16,05
