uf,nome_mun,quant
AC,ACRELANDIA,1
AC,ASSIS BRASIL,1
AC,BRASILEIA,1
AC,BUJARI,1
AC,CRUZEIRO DO SUL,3
AC,JORDAO,1
AC,MANCIO LIMA,1
AC,MANOEL URBANO,1
AC,PLACIDO DE CASTRO,1
AC,RIO BRANCO,15
AC,RODRIGUES ALVES,1
AC,SANTA ROSA DO PURUS,1
AC,SENA MADUREIRA,2
AC,SENADOR GUIOMARD,1
AC,TARAUACA,1
AC,XAPURI,1
AL,AGUA BRANCA,1
AL,ANADIA,1
AL,ARAPIRACA,8
AL,ATALAIA,2
AL,BARRA DE SANTO ANTONIO,1
AL,BARRA DE SAO MIGUEL,1
AL,BATALHA,1
AL,BELEM,1
AL,BELO MONTE,1
AL,BRANQUINHA,1
AL,CACIMBINHAS,1
AL,CAJUEIRO,1
AL,CAMPESTRE,1
AL,CAMPO ALEGRE,2
AL,CAMPO GRANDE,1
AL,CANAPI,1
AL,CAPELA,1
AL,CHA PRETA,1
AL,COITE DO NOIA,1
AL,COLONIA LEOPOLDINA,1
AL,COQUEIRO SECO,1
AL,CORURIPE,2
AL,CRAIBAS,1
AL,DELMIRO GOUVEIA,2
AL,ESTRELA DE ALAGOAS,1
AL,FEIRA GRANDE,1
AL,FELIZ DESERTO,1
AL,FLEXEIRAS,1
AL,GIRAU DO PONCIANO,1
AL,IBATEGUARA,1
AL,IGACI,1
AL,IGREJA NOVA,1
AL,INHAPI,1
AL,JACARE DOS HOMENS,1
AL,JACUIPE,1
AL,JAPARATINGA,1
AL,JARAMATAIA,1
AL,JOAQUIM GOMES,1
AL,JUNQUEIRO,1
AL,LAGOA DA CANOA,1
AL,LIMOEIRO DE ANADIA,1
AL,MACEIO,54
AL,MAJOR ISIDORO,1
AL,MAR VERMELHO,1
AL,MARAGOGI,1
AL,MARAVILHA,1
AL,MARECHAL DEODORO,1
AL,MARIBONDO,1
AL,MATA GRANDE,1
AL,MATRIZ DE CAMARAGIBE,1
AL,MINADOR DO NEGRAO,1
AL,MONTEIROPOLIS,1
AL,MURICI,1
AL,OLHO D AGUA DAS FLORES,1
AL,OLHO D AGUA DO CASADO,1
AL,OLHO D AGUA GRANDE,1
AL,OLIVENCA,1
AL,OURO BRANCO,1
AL,PALESTINA,1
AL,PALMEIRA DOS INDIOS,2
AL,PAO DE ACUCAR,1
AL,PARICONHA,1
AL,PARIPUEIRA,1
AL,PASSO DE CAMARAGIBE,1
AL,PAULO JACINTO,1
AL,PENEDO,2
AL,PIACABUCU,1
AL,PILAR,2
AL,PINDOBA,1
AL,PIRANHAS,1
AL,POCO DAS TRINCHEIRAS,1
AL,PORTO CALVO,1
AL,PORTO DE PEDRAS,1
AL,PORTO REAL DO COLEGIO,1
AL,QUEBRANGULO,1
AL,RIO LARGO,1
AL,ROTEIRO,1
AL,SANTA LUZIA DO NORTE,1
AL,SANTANA DO IPANEMA,2
AL,SANTANA DO MUNDAU,1
AL,SAO BRAS,1
AL,SAO JOSE DA LAJE,1
AL,SAO JOSE DA TAPERA,1
AL,SAO LUIS DO QUITUNDE,1
AL,SAO MIGUEL DOS CAMPOS,2
AL,SAO MIGUEL DOS MILAGRES,1
AL,SAO SEBASTIAO,1
AL,SENADOR RUI PALMEIRA,1
AL,TANQUE D ARCA,1
AL,TAQUARANA,1
AL,TEOTONIO VILELA,2
AL,TRAIPU,1
AL,UNIAO DOS PALMARES,3
AL,VICOSA,1
AM,ALVARAES,1
AM,AMATURA,1
AM,ANAMA,1
AM,BARREIRINHA,1
AM,BENJAMIN CONSTANT,1
AM,BERURI,1
AM,BOCA DO ACRE,1
AM,CANUTAMA,1
AM,CAREIRO,1
AM,COARI,1
AM,CODAJAS,1
AM,EIRUNEPE,1
AM,HUMAITA,1
AM,IPIXUNA,1
AM,ITACOATIARA,2
AM,ITAMARATI,1
AM,JAPURA,1
AM,LABREA,1
AM,MANACAPURU,1
AM,MANAUS,57
AM,MANICORE,1
AM,NHAMUNDA,1
AM,NOVA OLINDA DO NORTE,1
AM,NOVO AIRAO,1
AM,PARINTINS,1
AM,PAUINI,1
AM,PRESIDENTE FIGUEIREDO,1
AM,SANTA ISABEL DO RIO NEGRO,1
AM,SANTO ANTONIO DO ICA,1
AM,SILVES,1
AM,TONANTINS,1
AP,AMAPA,1
AP,CUTIAS,1
AP,ITAUBAL,1
AP,LARANJAL DO JARI,1
AP,MACAPA,5
AP,MAZAGAO,1
AP,OIAPOQUE,1
BA,ABAIRA,1
BA,ABARE,1
BA,ACAJUTIBA,1
BA,ADUSTINA,1
BA,AGUA FRIA,1
BA,AIQUARA,1
BA,ALAGOINHAS,5
BA,ALCOBACA,1
BA,ALMADINA,1
BA,AMARGOSA,2
BA,AMELIA RODRIGUES,1
BA,AMERICA DOURADA,1
BA,ANAGE,1
BA,ANDARAI,1
BA,ANDORINHA,1
BA,ANGICAL,1
BA,ANGUERA,1
BA,ANTAS,1
BA,ANTONIO CARDOSO,1
BA,ANTONIO GONCALVES,1
BA,APORA,1
BA,APUAREMA,1
BA,ARACATU,1
BA,ARAMARI,1
BA,ARATUIPE,1
BA,AURELINO LEAL,1
BA,BAIANOPOLIS,1
BA,BAIXA GRANDE,1
BA,BANZAE,1
BA,BARRA,2
BA,BARRA DA ESTIVA,1
BA,BARRA DO CHOCA,2
BA,BARRA DO MENDES,1
BA,BARRA DO ROCHA,1
BA,BARREIRAS,7
BA,BARRO ALTO,1
BA,BARRO PRETO,1
BA,BARROCAS,1
BA,BELMONTE,1
BA,BELO CAMPO,1
BA,BIRITINGA,1
BA,BOA NOVA,1
BA,BOA VISTA DO TUPIM,1
BA,BOM JESUS DA LAPA,4
BA,BOM JESUS DA SERRA,1
BA,BONINAL,1
BA,BONITO,1
BA,BOQUIRA,1
BA,BOTUPORA,1
BA,BREJOES,1
BA,BREJOLANDIA,1
BA,BROTAS DE MACAUBAS,1
BA,BRUMADO,3
BA,BUERAREMA,1
BA,BURITIRAMA,1
BA,CAATIBA,1
BA,CABACEIRAS DO PARAGUACU,1
BA,CACHOEIRA,1
BA,CACULE,1
BA,CAEM,1
BA,CAETANOS,1
BA,CAETITE,3
BA,CAFARNAUM,1
BA,CAIRU,1
BA,CALDEIRAO GRANDE,1
BA,CAMACAN,2
BA,CAMACARI,10
BA,CAMAMU,2
BA,CAMPO ALEGRE DE LOURDES,1
BA,CAMPO FORMOSO,3
BA,CANAPOLIS,1
BA,CANARANA,1
BA,CANAVIEIRAS,2
BA,CANDEAL,1
BA,CANDEIAS,4
BA,CANDIBA,1
BA,CANDIDO SALES,1
BA,CANSANCAO,1
BA,CANUDOS,1
BA,CAPELA DO ALTO ALEGRE,1
BA,CAPIM GROSSO,1
BA,CARAIBAS,1
BA,CARAVELAS,1
BA,CARDEAL DA SILVA,1
BA,CARINHANHA,1
BA,CASA NOVA,1
BA,CASTRO ALVES,1
BA,CATOLANDIA,1
BA,CATU,3
BA,CATURAMA,1
BA,CENTRAL,1
BA,CHORROCHO,1
BA,CICERO DANTAS,1
BA,CIPO,1
BA,COARACI,1
BA,COCOS,1
