mes,uf,codigo_ibge,nome_mun,valor
202011,AC,1200013,ACRELANDIA,2070904.0
202011,AC,1200054,ASSIS BRASIL,1840623.0
202011,AC,1200104,BRASILEIA,4735289.0
202011,AC,1200138,BUJARI,1823386.0
202011,AC,1200179,CAPIXABA,1562837.0
202011,AC,1200203,CRUZEIRO DO SUL,10647921.0
202011,AC,1200252,EPITACIOLANDIA,3139496.0
202011,AC,1200302,FEIJO,3490976.0
202011,AC,1200328,JORDAO,645802.0
202011,AC,1200336,MANCIO LIMA,1756439.0
202011,AC,1200344,MANOEL URBANO,1099206.0
202011,AC,1200351,MARECHAL THAUMATURGO,1430345.0
202011,AC,1200385,PLACIDO DE CASTRO,2418952.0
202011,AC,1200393,PORTO WALTER,801063.0
202011,AC,1200401,RIO BRANCO,57461956.0
202011,AC,1200427,RODRIGUES ALVES,1314983.0
202011,AC,1200435,SANTA ROSA DO PURUS,355065.0
202011,AC,1200450,SENADOR GUIOMARD,3005543.0
202011,AC,1200500,SENA MADUREIRA,4707085.0
202011,AC,1200609,TARAUACA,3541721.0
202011,AC,1200708,XAPURI,2486052.0
202011,AC,1200807,PORTO ACRE,2530471.0
202011,AL,2700102,AGUA BRANCA,1933532.0
202011,AL,2700201,ANADIA,1754708.0
202011,AL,2700300,ARAPIRACA,36606443.0
202011,AL,2700409,ATALAIA,4846969.0
202011,AL,2700508,BARRA DE SANTO ANTONIO,2176176.0
202011,AL,2700607,BARRA DE SAO MIGUEL,1339507.0
202011,AL,2700706,BATALHA,1928855.0
202011,AL,2700805,BELEM,662977.0
202011,AL,2700904,BELO MONTE,652556.0
202011,AL,2701001,BOCA DA MATA,2952803.0
202011,AL,2701100,BRANQUINHA,1562560.0
202011,AL,2701209,CACIMBINHAS,1198165.0
202011,AL,2701308,CAJUEIRO,2266959.0
202011,AL,2701357,CAMPESTRE,781454.0
202011,AL,2701407,CAMPO ALEGRE,4103147.0
202011,AL,2701506,CAMPO GRANDE,961113.0
202011,AL,2701605,CANAPI,1733691.0
202011,AL,2701704,CAPELA,1667922.0
202011,AL,2701803,CARNEIROS,1026675.0
202011,AL,2701902,CHA PRETA,633907.0
202011,AL,2702009,COITE DO NOIA,1295307.0
202011,AL,2702108,COLONIA LEOPOLDINA,2203235.0
202011,AL,2702207,COQUEIRO SECO,722725.0
202011,AL,2702306,CORURIPE,7169705.0
202011,AL,2702355,CRAIBAS,2762433.0
202011,AL,2702405,DELMIRO GOUVEIA,7382390.0
202011,AL,2702504,DOIS RIACHOS,1303237.0
202011,AL,2702553,ESTRELA DE ALAGOAS,1776479.0
202011,AL,2702603,FEIRA GRANDE,2556756.0
202011,AL,2702702,FELIZ DESERTO,660162.0
202011,AL,2702801,FLEXEIRAS,1459479.0
202011,AL,2702900,GIRAU DO PONCIANO,3541955.0
202011,AL,2703007,IBATEGUARA,1768633.0
202011,AL,2703106,IGACI,2637857.0
202011,AL,2703205,IGREJA NOVA,2829221.0
202011,AL,2703304,INHAPI,1963462.0
202011,AL,2703403,JACARE DOS HOMENS,620715.0
202011,AL,2703502,JACUIPE,807569.0
202011,AL,2703601,JAPARATINGA,1169056.0
202011,AL,2703700,JARAMATAIA,580985.0
202011,AL,2703759,JEQUIA DA PRAIA,1000314.0
202011,AL,2703809,JOAQUIM GOMES,2910837.0
202011,AL,2703908,JUNDIA,484486.0
202011,AL,2704005,JUNQUEIRO,3004732.0
202011,AL,2704104,LAGOA DA CANOA,2073847.0
202011,AL,2704203,LIMOEIRO DE ANADIA,2636873.0
202011,AL,2704302,MACEIO,149682649.0
202011,AL,2704401,MAJOR ISIDORO,2161172.0
202011,AL,2704500,MARAGOGI,4783482.0
202011,AL,2704609,MARAVILHA,1243614.0
202011,AL,2704708,MARECHAL DEODORO,7861711.0
202011,AL,2704807,MARIBONDO,1686914.0
202011,AL,2704906,MAR VERMELHO,380592.0
202011,AL,2705002,MATA GRANDE,2208627.0
202011,AL,2705101,MATRIZ DE CAMARAGIBE,3101071.0
202011,AL,2705200,MESSIAS,2200978.0
202011,AL,2705309,MINADOR DO NEGRAO,618944.0
202011,AL,2705408,MONTEIROPOLIS,859841.0
202011,AL,2705507,MURICI,3502207.0
202011,AL,2705606,NOVO LINO,1253850.0
202011,AL,2705705,OLHO D'AGUA DAS FLORES,3030853.0
202011,AL,2705804,OLHO D'AGUA DO CASADO,1057468.0
202011,AL,2705903,OLHO D'AGUA GRANDE,455031.0
202011,AL,2706000,OLIVENCA,1205469.0
202011,AL,2706109,OURO BRANCO,1357494.0
202011,AL,2706208,PALESTINA,593482.0
202011,AL,2706307,PALMEIRA DOS INDIOS,9431084.0
202011,AL,2706406,PAO DE ACUCAR,3134582.0
202011,AL,2706422,PARICONHA,1129612.0
202011,AL,2706448,PARIPUEIRA,1998907.0
202011,AL,2706505,PASSO DE CAMARAGIBE,1711143.0
202011,AL,2706604,PAULO JACINTO,834883.0
202011,AL,2706703,PENEDO,8605123.0
202011,AL,2706802,PIACABUCU,2047119.0
202011,AL,2706901,PILAR,4897283.0
202011,AL,2707008,PINDOBA,279033.0
202011,AL,2707107,PIRANHAS,2873231.0
202011,AL,2707206,POCO DAS TRINCHEIRAS,1290880.0
202011,AL,2707305,PORTO CALVO,3731552.0
202011,AL,2707404,PORTO DE PEDRAS,1001648.0
202011,AL,2707503,PORTO REAL DO COLEGIO,2209663.0
202011,AL,2707602,QUEBRANGULO,1268068.0
202011,AL,2707701,RIO LARGO,14060837.0
202011,AL,2707800,ROTEIRO,799083.0
202011,AL,2707909,SANTA LUZIA DO NORTE,977865.0
202011,AL,2708006,SANTANA DO IPANEMA,5682250.0
202011,AL,2708105,SANTANA DO MUNDAU,1404251.0
202011,AL,2708204,SAO BRAS,833194.0
202011,AL,2708303,SAO JOSE DA LAJE,3076400.0
202011,AL,2708402,SAO JOSE DA TAPERA,3467404.0
202011,AL,2708501,SAO LUIS DO QUITUNDE,3833219.0
202011,AL,2708600,SAO MIGUEL DOS CAMPOS,7262223.0
202011,AL,2708709,SAO MIGUEL DOS MILAGRES,1231050.0
202011,AL,2708808,SAO SEBASTIAO,3618436.0
202011,AL,2708907,SATUBA,3051678.0
202011,AL,2708956,SENADOR RUI PALMEIRA,1351509.0
202011,AL,2709004,TANQUE D'ARCA,676952.0
202011,AL,2709103,TAQUARANA,2456909.0
202011,AL,2709152,TEOTONIO VILELA,4766530.0
202011,AL,2709202,TRAIPU,2113001.0
202011,AL,2709301,UNIAO DOS PALMARES,9874329.0
202011,AL,2709400,VICOSA,3138329.0
202011,AM,1300029,ALVARAES,1683679.0
202011,AM,1300060,AMATURA,1089970.0
202011,AM,1300086,ANAMA,1039508.0
202011,AM,1300102,ANORI,1525019.0
202011,AM,1300144,APUI,2181021.0
202011,AM,1300201,ATALAIA DO NORTE,1060308.0
202011,AM,1300300,AUTAZES,5146516.0
202011,AM,1300409,BARCELOS,2180795.0
202011,AM,1300508,BARREIRINHA,3165589.0
202011,AM,1300607,BENJAMIN CONSTANT,3474955.0
202011,AM,1300631,BERURI,2247089.0
202011,AM,1300680,BOA VISTA DO RAMOS,1846734.0
202011,AM,1300706,BOCA DO ACRE,4570866.0
202011,AM,1300805,BORBA,3258144.0
202011,AM,1300839,CAAPIRANGA,1298847.0
202011,AM,1300904,CANUTAMA,1126168.0
202011,AM,1301001,CARAUARI,3044302.0
202011,AM,1301100,CAREIRO,4543662.0
202011,AM,1301159,CAREIRO DA VARZEA,2110785.0
202011,AM,1301209,COARI,10924513.0
202011,AM,1301308,CODAJAS,2610249.0
202011,AM,1301407,EIRUNEPE,3241220.0
202011,AM,1301506,ENVIRA,1186355.0
202011,AM,1301605,FONTE BOA,2850226.0
202011,AM,1301654,GUAJARA,1212268.0
202011,AM,1301704,HUMAITA,6643959.0
202011,AM,1301803,IPIXUNA,1453934.0
202011,AM,1301852,IRANDUBA,9224655.0
202011,AM,1301902,ITACOATIARA,14622855.0
202011,AM,1301951,ITAMARATI,1109711.0
202011,AM,1302009,ITAPIRANGA,1219806.0
202011,AM,1302108,JAPURA,796452.0
202011,AM,1302207,JURUA,998623.0
202011,AM,1302306,JUTAI,2123826.0
202011,AM,1302405,LABREA,3454592.0
202011,AM,1302504,MANACAPURU,14622958.0
202011,AM,1302553,MANAQUIRI,1934694.0
202011,AM,1302603,MANAUS,386468401.0
202011,AM,1302702,MANICORE,5721569.0
202011,AM,1302801,MARAA,1132925.0
202011,AM,1302900,MAUES,6175765.0
202011,AM,1303007,NHAMUNDA,1850862.0
202011,AM,1303106,NOVA OLINDA DO NORTE,3331935.0
202011,AM,1303205,NOVO AIRAO,1988901.0
202011,AM,1303304,NOVO ARIPUANA,2049283.0
202011,AM,1303403,PARINTINS,14204351.0
202011,AM,1303502,PAUINI,1450398.0
202011,AM,1303536,PRESIDENTE FIGUEIREDO,5202580.0
202011,AM,1303569,RIO PRETO DA EVA,3794175.0
202011,AM,1303601,SANTA ISABEL DO RIO NEGRO,1175141.0
202011,AM,1303700,SANTO ANTONIO DO ICA,2296806.0
202011,AM,1303809,SAO GABRIEL DA CACHOEIRA,3921832.0
202011,AM,1303908,SAO PAULO DE OLIVENCA,2454687.0
