uf,codigo_ibge,nome_mun,valor
AC,1200013,ACRELANDIA,24559775.0
AC,1200054,ASSIS BRASIL,21470161.0
AC,1200104,BRASILEIA,52925405.0
AC,1200138,BUJARI,21164361.0
AC,1200179,CAPIXABA,19388937.0
AC,1200203,CRUZEIRO DO SUL,141058076.0
AC,1200252,EPITACIOLANDIA,33317770.0
AC,1200302,FEIJO,51652632.0
AC,1200328,JORDAO,11862289.0
AC,1200336,MANCIO LIMA,29778723.0
AC,1200344,MANOEL URBANO,17735439.0
AC,1200351,MARECHAL THAUMATURGO,24943270.0
AC,1200385,PLACIDO DE CASTRO,26264260.0
AC,1200393,PORTO WALTER,14026625.0
AC,1200401,RIO BRANCO,582243766.0
AC,1200427,RODRIGUES ALVES,22437662.0
AC,1200435,SANTA ROSA DO PURUS,8353926.0
AC,1200450,SENADOR GUIOMARD,42918605.0
AC,1200500,SENA MADUREIRA,72544075.0
AC,1200609,TARAUACA,65761668.0
AC,1200708,XAPURI,29475422.0
AC,1200807,PORTO ACRE,33424030.0
AL,2700102,AGUA BRANCA,29941615.0
AL,2700201,ANADIA,26210775.0
AL,2700300,ARAPIRACA,385820458.0
AL,2700409,ATALAIA,74228906.0
AL,2700508,BARRA DE SANTO ANTONIO,33910086.0
AL,2700607,BARRA DE SAO MIGUEL,15870471.0
AL,2700706,BATALHA,30238079.0
AL,2700805,BELEM,9223848.0
AL,2700904,BELO MONTE,11181210.0
AL,2701001,BOCA DA MATA,40888056.0
AL,2701100,BRANQUINHA,21093271.0
AL,2701209,CACIMBINHAS,18384609.0
AL,2701308,CAJUEIRO,33561401.0
AL,2701357,CAMPESTRE,12490211.0
AL,2701407,CAMPO ALEGRE,57771350.0
AL,2701506,CAMPO GRANDE,18285431.0
AL,2701605,CANAPI,33739638.0
AL,2701704,CAPELA,23792487.0
AL,2701803,CARNEIROS,16365510.0
AL,2701902,CHA PRETA,10986512.0
AL,2702009,COITE DO NOIA,17888957.0
AL,2702108,COLONIA LEOPOLDINA,34744613.0
AL,2702207,COQUEIRO SECO,9280557.0
AL,2702306,CORURIPE,82950490.0
AL,2702355,CRAIBAS,40890300.0
AL,2702405,DELMIRO GOUVEIA,88034145.0
AL,2702504,DOIS RIACHOS,18202732.0
AL,2702553,ESTRELA DE ALAGOAS,26461737.0
AL,2702603,FEIRA GRANDE,39863176.0
AL,2702702,FELIZ DESERTO,7915787.0
AL,2702801,FLEXEIRAS,21517637.0
AL,2702900,GIRAU DO PONCIANO,55967306.0
AL,2703007,IBATEGUARA,26045489.0
AL,2703106,IGACI,43221135.0
AL,2703205,IGREJA NOVA,38321932.0
AL,2703304,INHAPI,28743442.0
AL,2703403,JACARE DOS HOMENS,9698406.0
AL,2703502,JACUIPE,11180741.0
AL,2703601,JAPARATINGA,17165466.0
AL,2703700,JARAMATAIA,8980804.0
AL,2703759,JEQUIA DA PRAIA,17842877.0
AL,2703809,JOAQUIM GOMES,37592988.0
AL,2703908,JUNDIA,7508024.0
AL,2704005,JUNQUEIRO,41409636.0
AL,2704104,LAGOA DA CANOA,31775941.0
AL,2704203,LIMOEIRO DE ANADIA,40215669.0
AL,2704302,MACEIO,1476682867.0
AL,2704401,MAJOR ISIDORO,32531322.0
AL,2704500,MARAGOGI,60634488.0
AL,2704609,MARAVILHA,20105119.0
AL,2704708,MARECHAL DEODORO,96484149.0
AL,2704807,MARIBONDO,22216895.0
AL,2704906,MAR VERMELHO,6109936.0
AL,2705002,MATA GRANDE,33700302.0
AL,2705101,MATRIZ DE CAMARAGIBE,40808819.0
AL,2705200,MESSIAS,27263731.0
AL,2705309,MINADOR DO NEGRAO,8547343.0
AL,2705408,MONTEIROPOLIS,13736456.0
AL,2705507,MURICI,47706638.0
AL,2705606,NOVO LINO,18800655.0
AL,2705705,OLHO D'AGUA DAS FLORES,35870231.0
AL,2705804,OLHO D'AGUA DO CASADO,15831568.0
AL,2705903,OLHO D'AGUA GRANDE,9597719.0
AL,2706000,OLIVENCA,19262424.0
AL,2706109,OURO BRANCO,21764797.0
AL,2706208,PALESTINA,8539723.0
AL,2706307,PALMEIRA DOS INDIOS,121694553.0
AL,2706406,PAO DE ACUCAR,40525007.0
AL,2706422,PARICONHA,17311497.0
AL,2706448,PARIPUEIRA,25879873.0
AL,2706505,PASSO DE CAMARAGIBE,23114518.0
AL,2706604,PAULO JACINTO,12260738.0
AL,2706703,PENEDO,111225277.0
AL,2706802,PIACABUCU,33766148.0
AL,2706901,PILAR,64906134.0
AL,2707008,PINDOBA,3700948.0
AL,2707107,PIRANHAS,41095503.0
AL,2707206,POCO DAS TRINCHEIRAS,21876030.0
AL,2707305,PORTO CALVO,52633785.0
AL,2707404,PORTO DE PEDRAS,15074400.0
AL,2707503,PORTO REAL DO COLEGIO,36327712.0
AL,2707602,QUEBRANGULO,20594932.0
AL,2707701,RIO LARGO,159141220.0
AL,2707800,ROTEIRO,11746479.0
AL,2707909,SANTA LUZIA DO NORTE,12213180.0
AL,2708006,SANTANA DO IPANEMA,80911450.0
AL,2708105,SANTANA DO MUNDAU,19555232.0
AL,2708204,SAO BRAS,11587916.0
AL,2708303,SAO JOSE DA LAJE,39841310.0
AL,2708402,SAO JOSE DA TAPERA,55346216.0
AL,2708501,SAO LUIS DO QUITUNDE,55597167.0
AL,2708600,SAO MIGUEL DOS CAMPOS,92006977.0
AL,2708709,SAO MIGUEL DOS MILAGRES,15204037.0
AL,2708808,SAO SEBASTIAO,56786832.0
AL,2708907,SATUBA,31258353.0
AL,2708956,SENADOR RUI PALMEIRA,22031850.0
AL,2709004,TANQUE D'ARCA,9986038.0
AL,2709103,TAQUARANA,31495450.0
AL,2709152,TEOTONIO VILELA,63214639.0
AL,2709202,TRAIPU,34186330.0
AL,2709301,UNIAO DOS PALMARES,120411455.0
AL,2709400,VICOSA,44843919.0
AM,1300029,ALVARAES,25016102.0
AM,1300060,AMATURA,15998102.0
AM,1300086,ANAMA,17678414.0
AM,1300102,ANORI,25225201.0
AM,1300144,APUI,24453166.0
AM,1300201,ATALAIA DO NORTE,18428471.0
AM,1300300,AUTAZES,77361109.0
AM,1300409,BARCELOS,29028665.0
AM,1300508,BARREIRINHA,52598576.0
AM,1300607,BENJAMIN CONSTANT,54190711.0
AM,1300631,BERURI,38649544.0
AM,1300680,BOA VISTA DO RAMOS,27223077.0
AM,1300706,BOCA DO ACRE,59343668.0
AM,1300805,BORBA,52463715.0
AM,1300839,CAAPIRANGA,19531095.0
AM,1300904,CANUTAMA,21199881.0
AM,1301001,CARAUARI,53905955.0
AM,1301100,CAREIRO,61194820.0
AM,1301159,CAREIRO DA VARZEA,35696539.0
AM,1301209,COARI,132617923.0
AM,1301308,CODAJAS,37982454.0
AM,1301407,EIRUNEPE,54042472.0
AM,1301506,ENVIRA,24339785.0
AM,1301605,FONTE BOA,39903760.0
AM,1301654,GUAJARA,22889115.0
AM,1301704,HUMAITA,88263424.0
AM,1301803,IPIXUNA,28836795.0
AM,1301852,IRANDUBA,124471253.0
AM,1301902,ITACOATIARA,171650980.0
AM,1301951,ITAMARATI,16495412.0
AM,1302009,ITAPIRANGA,17303948.0
AM,1302108,JAPURA,10477532.0
AM,1302207,JURUA,15869664.0
AM,1302306,JUTAI,34008094.0
AM,1302405,LABREA,67288166.0
AM,1302504,MANACAPURU,202569697.0
AM,1302553,MANAQUIRI,29341812.0
AM,1302603,MANAUS,3718442954.0
AM,1302702,MANICORE,74176675.0
AM,1302801,MARAA,23531039.0
AM,1302900,MAUES,95357618.0
AM,1303007,NHAMUNDA,32406035.0
AM,1303106,NOVA OLINDA DO NORTE,46931414.0
AM,1303205,NOVO AIRAO,26797249.0
AM,1303304,NOVO ARIPUANA,31482347.0
AM,1303403,PARINTINS,190368234.0
AM,1303502,PAUINI,27373556.0
AM,1303536,PRESIDENTE FIGUEIREDO,60260158.0
AM,1303569,RIO PRETO DA EVA,45224024.0
AM,1303601,SANTA ISABEL DO RIO NEGRO,20241749.0
AM,1303700,SANTO ANTONIO DO ICA,37975869.0
AM,1303809,SAO GABRIEL DA CACHOEIRA,58719741.0
AM,1303908,SAO PAULO DE OLIVENCA,40136443.0
AM,1303957,SAO SEBASTIAO DO UATUMA,16240015.0
AM,1304005,SILVES,17012167.0
AM,1304062,TABATINGA,94807712.0
AM,1304104,TAPAUA,28444886.0
AM,1304203,TEFE,116162952.0
AM,1304237,TONANTINS,26370797.0
AM,1304260,UARINI,19909449.0
AM,1304302,URUCARA,27515642.0
AM,1304401,URUCURITUBA,27957706.0
AP,1600055,SERRA DO NAVIO,9169977.0
AP,1600105,AMAPA,42315245.0
AP,1600154,PEDRA BRANCA DO AMAPARI,21522014.0
AP,1600204,CALCOENE,20396270.0
AP,1600212,CUTIAS,9463784.0
AP,1600238,FERREIRA GOMES,13734296.0
AP,1600253,ITAUBAL,12445435.0
AP,1600279,LARANJAL DO JARI,82855298.0
AP,1600303,MACAPA,821074599.0
AP,1600402,MAZAGAO,42282639.0
AP,1600501,OIAPOQUE,56374385.0
AP,1600535,PORTO GRANDE,36193521.0
AP,1600550,PRACUUBA,7542225.0
AP,1600600,SANTANA,224829654.0
AP,1600709,TARTARUGALZINHO,21370804.0
AP,1600808,VITORIA DO JARI,25424343.0
BA,2900108,ABAIRA,14398998.0
BA,2900207,ABARE,34037788.0
BA,2900306,ACAJUTIBA,30194522.0
BA,2900355,ADUSTINA,28115673.0
BA,2900405,AGUA FRIA,27834484.0
BA,2900504,ERICO CARDOSO,14066310.0
BA,2900603,AIQUARA,7421161.0
BA,2900702,ALAGOINHAS,275036081.0
BA,2900801,ALCOBACA,43409067.0
BA,2900900,ALMADINA,10284526.0
BA,2901007,AMARGOSA,62812170.0
BA,2901106,AMELIA RODRIGUES,43737827.0
BA,2901155,AMERICA DOURADA,28287973.0
BA,2901205,ANAGE,40395472.0
BA,2901304,ANDARAI,24765033.0
BA,2901353,ANDORINHA,26516148.0
BA,2901403,ANGICAL,24374891.0
BA,2901502,ANGUERA,16596975.0
BA,2901601,ANTAS,21602612.0
BA,2901700,ANTONIO CARDOSO,21589391.0
BA,2901809,ANTONIO GONCALVES,18522810.0
