,uf,nome_mun,quant,codigo_ibge,valor
0,AC,ACRELANDIA,1.0,1200013,24559775.0
1,AC,ASSIS BRASIL,1.0,1200054,21470161.0
2,AC,BRASILEIA,1.0,1200104,52925405.0
3,AC,BUJARI,1.0,1200138,21164361.0
4,AC,CAPIXABA,0.0,1200179,19388937.0
5,AC,CRUZEIRO DO SUL,3.0,1200203,141058076.0
6,AC,EPITACIOLANDIA,0.0,1200252,33317770.0
7,AC,FEIJO,0.0,1200302,51652632.0
8,AC,JORDAO,1.0,1200328,11862289.0
9,AC,MANCIO LIMA,1.0,1200336,29778723.0
10,AC,MANOEL URBANO,1.0,1200344,17735439.0
11,AC,MARECHAL THAUMATURGO,0.0,1200351,24943270.0
12,AC,PLACIDO DE CASTRO,1.0,1200385,26264260.0
13,AC,PORTO WALTER,0.0,1200393,14026625.0
14,AC,RIO BRANCO,15.0,1200401,582243766.0
15,AC,RODRIGUES ALVES,1.0,1200427,22437662.0
16,AC,SANTA ROSA DO PURUS,1.0,1200435,8353926.0
17,AC,SENADOR GUIOMARD,1.0,1200450,42918605.0
18,AC,SENA MADUREIRA,2.0,1200500,72544075.0
19,AC,TARAUACA,1.0,1200609,65761668.0
20,AC,XAPURI,1.0,1200708,29475422.0
21,AC,PORTO ACRE,0.0,1200807,33424030.0
22,AL,AGUA BRANCA,1.0,2700102,29941615.0
23,AL,ANADIA,1.0,2700201,26210775.0
24,AL,ARAPIRACA,8.0,2700300,385820458.0
25,AL,ATALAIA,2.0,2700409,74228906.0
26,AL,BARRA DE SANTO ANTONIO,1.0,2700508,33910086.0
27,AL,BARRA DE SAO MIGUEL,1.0,2700607,15870471.0
28,AL,BATALHA,1.0,2700706,30238079.0
29,AL,BELEM,1.0,2700805,9223848.0
30,AL,BELO MONTE,1.0,2700904,11181210.0
31,AL,BOCA DA MATA,0.0,2701001,40888056.0
32,AL,BRANQUINHA,1.0,2701100,21093271.0
33,AL,CACIMBINHAS,1.0,2701209,18384609.0
34,AL,CAJUEIRO,1.0,2701308,33561401.0
35,AL,CAMPESTRE,1.0,2701357,12490211.0
36,AL,CAMPO ALEGRE,2.0,2701407,57771350.0
37,AL,CAMPO GRANDE,1.0,2701506,18285431.0
38,AL,CANAPI,1.0,2701605,33739638.0
39,AL,CAPELA,1.0,2701704,23792487.0
40,AL,CARNEIROS,0.0,2701803,16365510.0
41,AL,CHA PRETA,1.0,2701902,10986512.0
42,AL,COITE DO NOIA,1.0,2702009,17888957.0
43,AL,COLONIA LEOPOLDINA,1.0,2702108,34744613.0
44,AL,COQUEIRO SECO,1.0,2702207,9280557.0
45,AL,CORURIPE,2.0,2702306,82950490.0
46,AL,CRAIBAS,1.0,2702355,40890300.0
47,AL,DELMIRO GOUVEIA,2.0,2702405,88034145.0
48,AL,DOIS RIACHOS,0.0,2702504,18202732.0
49,AL,ESTRELA DE ALAGOAS,1.0,2702553,26461737.0
50,AL,FEIRA GRANDE,1.0,2702603,39863176.0
51,AL,FELIZ DESERTO,1.0,2702702,7915787.0
52,AL,FLEXEIRAS,1.0,2702801,21517637.0
53,AL,GIRAU DO PONCIANO,1.0,2702900,55967306.0
54,AL,IBATEGUARA,1.0,2703007,26045489.0
55,AL,IGACI,1.0,2703106,43221135.0
56,AL,IGREJA NOVA,1.0,2703205,38321932.0
57,AL,INHAPI,1.0,2703304,28743442.0
58,AL,JACARE DOS HOMENS,1.0,2703403,9698406.0
59,AL,JACUIPE,1.0,2703502,11180741.0
60,AL,JAPARATINGA,1.0,2703601,17165466.0
61,AL,JARAMATAIA,1.0,2703700,8980804.0
62,AL,JEQUIA DA PRAIA,0.0,2703759,17842877.0
63,AL,JOAQUIM GOMES,1.0,2703809,37592988.0
64,AL,JUNDIA,0.0,2703908,7508024.0
65,AL,JUNQUEIRO,1.0,2704005,41409636.0
66,AL,LAGOA DA CANOA,1.0,2704104,31775941.0
67,AL,LIMOEIRO DE ANADIA,1.0,2704203,40215669.0
68,AL,MACEIO,54.0,2704302,1476682867.0
69,AL,MAJOR ISIDORO,1.0,2704401,32531322.0
70,AL,MARAGOGI,1.0,2704500,60634488.0
71,AL,MARAVILHA,1.0,2704609,20105119.0
72,AL,MARECHAL DEODORO,1.0,2704708,96484149.0
73,AL,MARIBONDO,1.0,2704807,22216895.0
74,AL,MAR VERMELHO,1.0,2704906,6109936.0
75,AL,MATA GRANDE,1.0,2705002,33700302.0
76,AL,MATRIZ DE CAMARAGIBE,1.0,2705101,40808819.0
77,AL,MESSIAS,0.0,2705200,27263731.0
78,AL,MINADOR DO NEGRAO,1.0,2705309,8547343.0
79,AL,MONTEIROPOLIS,1.0,2705408,13736456.0
80,AL,MURICI,1.0,2705507,47706638.0
81,AL,NOVO LINO,0.0,2705606,18800655.0
82,AL,OLHO D'AGUA DAS FLORES,0.0,2705705,35870231.0
83,AL,OLHO D'AGUA DO CASADO,0.0,2705804,15831568.0
84,AL,OLHO D'AGUA GRANDE,0.0,2705903,9597719.0
85,AL,OLIVENCA,1.0,2706000,19262424.0
86,AL,OURO BRANCO,1.0,2706109,21764797.0
87,AL,PALESTINA,1.0,2706208,8539723.0
88,AL,PALMEIRA DOS INDIOS,2.0,2706307,121694553.0
89,AL,PAO DE ACUCAR,1.0,2706406,40525007.0
90,AL,PARICONHA,1.0,2706422,17311497.0
91,AL,PARIPUEIRA,1.0,2706448,25879873.0
92,AL,PASSO DE CAMARAGIBE,1.0,2706505,23114518.0
93,AL,PAULO JACINTO,1.0,2706604,12260738.0
94,AL,PENEDO,2.0,2706703,111225277.0
95,AL,PIACABUCU,1.0,2706802,33766148.0
96,AL,PILAR,2.0,2706901,64906134.0
97,AL,PINDOBA,1.0,2707008,3700948.0
98,AL,PIRANHAS,1.0,2707107,41095503.0
99,AL,POCO DAS TRINCHEIRAS,1.0,2707206,21876030.0
100,AL,PORTO CALVO,1.0,2707305,52633785.0
101,AL,PORTO DE PEDRAS,1.0,2707404,15074400.0
102,AL,PORTO REAL DO COLEGIO,1.0,2707503,36327712.0
103,AL,QUEBRANGULO,1.0,2707602,20594932.0
104,AL,RIO LARGO,1.0,2707701,159141220.0
105,AL,ROTEIRO,1.0,2707800,11746479.0
106,AL,SANTA LUZIA DO NORTE,1.0,2707909,12213180.0
107,AL,SANTANA DO IPANEMA,2.0,2708006,80911450.0
108,AL,SANTANA DO MUNDAU,1.0,2708105,19555232.0
109,AL,SAO BRAS,1.0,2708204,11587916.0
110,AL,SAO JOSE DA LAJE,1.0,2708303,39841310.0
111,AL,SAO JOSE DA TAPERA,1.0,2708402,55346216.0
112,AL,SAO LUIS DO QUITUNDE,1.0,2708501,55597167.0
113,AL,SAO MIGUEL DOS CAMPOS,2.0,2708600,92006977.0
114,AL,SAO MIGUEL DOS MILAGRES,1.0,2708709,15204037.0
115,AL,SAO SEBASTIAO,1.0,2708808,56786832.0
116,AL,SATUBA,0.0,2708907,31258353.0
117,AL,SENADOR RUI PALMEIRA,1.0,2708956,22031850.0
118,AL,TANQUE D'ARCA,0.0,2709004,9986038.0
119,AL,TAQUARANA,1.0,2709103,31495450.0
120,AL,TEOTONIO VILELA,2.0,2709152,63214639.0
121,AL,TRAIPU,1.0,2709202,34186330.0
122,AL,UNIAO DOS PALMARES,3.0,2709301,120411455.0
123,AL,VICOSA,1.0,2709400,44843919.0
124,AM,ALVARAES,1.0,1300029,25016102.0
125,AM,AMATURA,1.0,1300060,15998102.0
126,AM,ANAMA,1.0,1300086,17678414.0
127,AM,ANORI,0.0,1300102,25225201.0
128,AM,APUI,0.0,1300144,24453166.0
129,AM,ATALAIA DO NORTE,0.0,1300201,18428471.0
130,AM,AUTAZES,0.0,1300300,77361109.0
131,AM,BARCELOS,0.0,1300409,29028665.0
132,AM,BARREIRINHA,1.0,1300508,52598576.0
133,AM,BENJAMIN CONSTANT,1.0,1300607,54190711.0
134,AM,BERURI,1.0,1300631,38649544.0
135,AM,BOA VISTA DO RAMOS,0.0,1300680,27223077.0
136,AM,BOCA DO ACRE,1.0,1300706,59343668.0
137,AM,BORBA,0.0,1300805,52463715.0
138,AM,CAAPIRANGA,0.0,1300839,19531095.0
139,AM,CANUTAMA,1.0,1300904,21199881.0
140,AM,CARAUARI,0.0,1301001,53905955.0
141,AM,CAREIRO,1.0,1301100,61194820.0
142,AM,CAREIRO DA VARZEA,0.0,1301159,35696539.0
143,AM,COARI,1.0,1301209,132617923.0
144,AM,CODAJAS,1.0,1301308,37982454.0
145,AM,EIRUNEPE,1.0,1301407,54042472.0
146,AM,ENVIRA,0.0,1301506,24339785.0
147,AM,FONTE BOA,0.0,1301605,39903760.0
148,AM,GUAJARA,0.0,1301654,22889115.0
149,AM,HUMAITA,1.0,1301704,88263424.0
150,AM,IPIXUNA,1.0,1301803,28836795.0
