HS 2007 Product Code,HS 2007 Product Description,ISIC Revision 3 Product Code,ISIC Revision 3 Product Description
010110,Live horses/asses/mules/hinnies: pure-bred breeding animals,0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010190,Live horses/asses/mules/hinnies other than pure-bred breeding animals,0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010210,Live bovine animals: pure-bred breeding animals,0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010290,Live bovine animals other than pure-bred breeding animals,0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010310,Live swine: pure-bred breeding animals,0122,Other animal farming; production of animal products n.e.c.
010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",0122,Other animal farming; production of animal products n.e.c.
010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",0122,Other animal farming; production of animal products n.e.c.
010410,Live sheep,0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010420,Live goats,0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010511,"Live fowls of species Gallus domesticus, weighing not >185g",0122,Other animal farming; production of animal products n.e.c.
010512,"Live turkeys, weighing not >185g",0122,Other animal farming; production of animal products n.e.c.
010519,"Live ducks/geese/guinea fowls, weighing not >185g",0122,Other animal farming; production of animal products n.e.c.
010594,"Live fowls of species Gallus domesticus, weighing > 185g",0122,Other animal farming; production of animal products n.e.c.
010599,"Live ducks/geese/turkeys/guinea fowls, weighing >185g",0122,Other animal farming; production of animal products n.e.c.
010611,Live primates,0122,Other animal farming; production of animal products n.e.c.
010612,Live whales/dolphins & porpoises (order Cetacea)/manatees & dugongs (order Sirenia),0122,Other animal farming; production of animal products n.e.c.
010619,"Live mammals, n.e.s.",0122,Other animal farming; production of animal products n.e.c.
010620,"Live reptiles, incl. snakes & turtles",0122,Other animal farming; production of animal products n.e.c.
010631,Live birds of prey,0122,Other animal farming; production of animal products n.e.c.
010632,"Live birds (order Psittaciformes), incl. parrots/parakeets/macaws/cockatoos",0122,Other animal farming; production of animal products n.e.c.
010639,Live birds (excl. of 0106.31 & 0106.32),0122,Other animal farming; production of animal products n.e.c.
010690,"Live animals, n.e.s.",0122,Other animal farming; production of animal products n.e.c.
020110,"Carcasses/half-carcasses of bovine animals, fresh/chilled",1511,"Production, processing and preserving of meat and meat products"
020120,"Meat of bovine animals, fresh/chilled (excl. of 0201.10), bone-in",1511,"Production, processing and preserving of meat and meat products"
020130,"Meat of bovine animals, fresh/chilled, boneless",1511,"Production, processing and preserving of meat and meat products"
020210,"Carcasses/half-carcasses of bovine animals, frozen",1511,"Production, processing and preserving of meat and meat products"
020220,"Meat of bovine animals, frozen (excl. of 0202.10), bone-in",1511,"Production, processing and preserving of meat and meat products"
020230,"Meat of bovine animals, frozen, boneless",1511,"Production, processing and preserving of meat and meat products"
020311,"Carcasses/half-carcasses of swine, fresh/chilled",1511,"Production, processing and preserving of meat and meat products"
020312,"Hams, shoulders & cuts thereof , fresh/chilled, bone-in",1511,"Production, processing and preserving of meat and meat products"
020319,"Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof ), fresh/chilled",1511,"Production, processing and preserving of meat and meat products"
020321,"Carcasses/half-carcasses of swine, frozen",1511,"Production, processing and preserving of meat and meat products"
020322,"Hams, shoulders & cuts thereof , frozen, bone-in",1511,"Production, processing and preserving of meat and meat products"
020329,"Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof ), froxen",1511,"Production, processing and preserving of meat and meat products"
020410,"Carcasses/half-carcasses of lamb, fresh/chilled",1511,"Production, processing and preserving of meat and meat products"
020421,"Carcasses/half-carcasses of sheep (excl. lamb), fresh/chilled",1511,"Production, processing and preserving of meat and meat products"
020422,"Meat of sheep (excl. lamb & carcasses), fresh/chilled, bone-in",1511,"Production, processing and preserving of meat and meat products"
020423,"Meat of sheep (excl. lamb), fresh/chilled, boneless",1511,"Production, processing and preserving of meat and meat products"
020430,"Carcasses/half-carcasses of lamb, frozen",1511,"Production, processing and preserving of meat and meat products"
020441,"Carcasses/half-carcasses of sheep (excl. lamb), frozen",1511,"Production, processing and preserving of meat and meat products"
020442,"Meat of sheep (excl. lamb & carcasses), frozen, bone-in",1511,"Production, processing and preserving of meat and meat products"
020443,"Meat of sheep (excl. lamb), frozen, boneless",1511,"Production, processing and preserving of meat and meat products"
020450,"Meat of goats, fresh/chilled/frozen",1511,"Production, processing and preserving of meat and meat products"
020500,"Meat of horses/asses/mules/hinnies, fresh/chilled/frozen",1511,"Production, processing and preserving of meat and meat products"
020610,"Edible offal of bovine animals, fresh/chilled",1511,"Production, processing and preserving of meat and meat products"
020621,"Tongues of bovine animals, frozen",1511,"Production, processing and preserving of meat and meat products"
020622,"Livers of bovine animals, frozen",1511,"Production, processing and preserving of meat and meat products"
020629,"Edible offal of bovine animals (excl. tongues & livers), frozen",1511,"Production, processing and preserving of meat and meat products"
020630,"Edible offal of swine, fresh/chilled",1511,"Production, processing and preserving of meat and meat products"
020641,"Livers of swine, frozen",1511,"Production, processing and preserving of meat and meat products"
020649,"Edible offal of swine (excl. liver), frozen",1511,"Production, processing and preserving of meat and meat products"
020680,"Edible offal, n.e.s., fresh/chilled",1511,"Production, processing and preserving of meat and meat products"
020690,"Edible offal, n.e.s., frozen",1511,"Production, processing and preserving of meat and meat products"
020711,"Meat of fowls of species Gallus domesticus, not cut in pieces, fresh/chilled",1511,"Production, processing and preserving of meat and meat products"
020712,"Meat of fowls of species Gallus domesticus, not cut in pieces, frozen",1511,"Production, processing and preserving of meat and meat products"
020713,"Cuts & edible offal of species Gallus domesticus, fresh/chilled",1511,"Production, processing and preserving of meat and meat products"
020714,"Cuts & edible offal of species Gallus domesticus, frozen",1511,"Production, processing and preserving of meat and meat products"
020724,"Meat of turkeys, not cut in pieces, fresh/chilled",1511,"Production, processing and preserving of meat and meat products"
020725,"Meat of turkeys, not cut in pieces, frozen",1511,"Production, processing and preserving of meat and meat products"
020726,"Cuts & edible offal of turkey, fresh/chilled",1511,"Production, processing and preserving of meat and meat products"
020727,"Cuts & edible offal of turkey, frozen",1511,"Production, processing and preserving of meat and meat products"
020732,"Meat of ducks/geese/guinea fowls, not cut in pieces, fresh/chilled",1511,"Production, processing and preserving of meat and meat products"
020733,"Meat of ducks/geese/guinea fowls, not cut in pieces, frozen",1511,"Production, processing and preserving of meat and meat products"
020734,"Fatty livers of ducks/geese/guinea fowls, fresh/chilled",1511,"Production, processing and preserving of meat and meat products"
020735,"Meat & edible meat offal of ducks/geese/guinea fowls (excl. of 0207.32-0207.34), fresh/chilled",1511,"Production, processing and preserving of meat and meat products"
020736,"Meat & edible meat offal of ducks/geese/guinea fowls (excl. of 0207.32-0207.34), frozen",1511,"Production, processing and preserving of meat and meat products"
020810,"Meat & edible meat offal of rabbits/hares, fresh/chilled/frozen",1511,"Production, processing and preserving of meat and meat products"
020830,"Meat & edible meat offal of primates, fresh/chilled/frozen",1511,"Production, processing and preserving of meat and meat products"
020840,"Meat & edible offal of whales, dolphins & porpoises (order Cetacea); of manatees & dugongs (order Sirenia), fresh/chilled/frozen",1511,"Production, processing and preserving of meat and meat products"
020850,"Meat & edible offal of reptiles, incl. snakes & turtles, fresh/chilled/frozen",1511,"Production, processing and preserving of meat and meat products"
020890,"Meat&edible meat offal, n.e.s., fresh/chilled/frozen",1511,"Production, processing and preserving of meat and meat products"
020900,"Pig fat (free of lean meat) & poultry fat (not rendered/othw. extracted), fresh/chilled/frozen/salted/in brine/dried/smoked",1511,"Production, processing and preserving of meat and meat products"
021011,"Hams, shoulders & cuts thereof , of swine, salted/in brine/dried/smoked, bone-in",1511,"Production, processing and preserving of meat and meat products"
021012,"Bellies (streaky) & cuts thereof , of swine, salted/in brine/dried/smoked",1511,"Production, processing and preserving of meat and meat products"
021019,"Meat of swine (excl. hams/shoulders & cuts thereof & bellies (streaky) & cuts thereof ), salted/in brine/dried/smoked",1511,"Production, processing and preserving of meat and meat products"
021020,"Meat of bovine animals, salted/in brine/dried/smoked",1511,"Production, processing and preserving of meat and meat products"
021091,"Meat & edible meat offal of primates, salted/in brine/dried/smoked, incl. edible flours/meals",1511,"Production, processing and preserving of meat and meat products"
021092,"Meat & edible meat offal of whales/dolphins/porpoises (order Cetacea)/manatees & dugongs (order Sirenia), salted/in brine/dried/smoked, incl. edible flours/meals",1511,"Production, processing and preserving of meat and meat products"
021093,"Meat & edible meat offal of reptiles, incl. snakes & turtles, salted/in brine/dried/smoked, incl. edible flours/meals",1511,"Production, processing and preserving of meat and meat products"
021099,"Meat & edible meat offal, n.e.s., salted/in brine/dried/smoked, incl. edible flours/meals",1511,"Production, processing and preserving of meat and meat products"
030110,Live ornamental fish,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030191,"Live trout (Salmo trutta, Oncorhynchus mykiss/clarki/aguabonita/gilae/apache/chrysogaster)",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030192,Live eels (Anguilla spp.),0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030193,Live carp,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030194,Live bluefin tunas (Thunnus thynnus),0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030195,Live southern bluefin tunas (Thunnus maccoyii),0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030199,"Live fish(excl. of 0301.10-0301.95),n.e.s.",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030211,"Trout (Salmo trutta, Oncorhynchus mykiss/clarki/aguabonita/gilae/apache/chrysogaster), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030212,"Pacific salmon/Atlantic salmon/Danube salmon [see list of conventions for species incld.], fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030219,"Salmonidae (excl. of 0302.11 & 0302.12; excl. fillets/other fish meat of 03.04/livers & roes), fresh/chilled",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030221,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus/stenolepis), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030222,"Plaice (Pleuronectes platessa), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030223,"Sole (Solea spp.), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030229,"Flat fish (excl. of 0302.21-0302.23) [see list of conventions for species incld.], fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030231,"Albacore/longfinned tunas (Thunnus alalunga), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030232,"Yellowfin tunas (Thunnus albacares), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030233,"Skipjack/stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030234,"Bigeye tunas (Thunnus obesus), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030235,"Bluefin tunas (Thunnus thynnus), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030236,"Southern bluefin tunas (Thunnus maccoyii), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030239,"Tunas, skipjack & bonito (excl. of 0302.31-0302.36), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030240,"Herrings (Clupea harengus/pallasii), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030250,"Cod (Gadus morhua/ogac/macrocephalus), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030261,"Sardines (Sardina pilchardus, Sardinops spp.)/sardinella (Sardinella spp.)/brisling/sprats (Sprattus sprattus), fresh/chilled (excl. fillets/other fish meat of 03.04/livers/roes)",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030262,"Haddock (Melanogrammus aeglefinus), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030263,"Coalfish (Pollachius virens), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030264,"Mackerel (Scomber scombrus/australasicus/japonicus), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030265,"Dogfish & other sharks, fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030266,"Eels (Anguilla spp.), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030267,"Swordfish (Xiphias gladius), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030268,"Toothfish (Dissostichus spp.),fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030269,"Fish,n.e.s. in 03.02, fresh/chilled(excl. fillets/other fish meat of 03.04/livers & roes).",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030270,"Fish livers & roes, fresh/chilled",1512,Processing and preserving of fish and fish products
030311,"Sockeye salmon (red salmon) (Oncorhynchus nerka), frozen (excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
030319,"Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), frozen (excl. of 0303.11; excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
030321,"Trout (Salmo trutta, Oncorhynchus mykiss/clarki/aguabonita/gilae/apache/chrysogaster), frozen (excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
030322,"Atlantic salmon (Salmo salar) & Danube salmon (Hucho hucho), frozen (excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
030329,"Salmonidae (excl. of 0303.21 & 0303.22), frozen (excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
030331,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus/stenolepis), frozen (excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
030332,"Plaice (Pleuronectes platessa), frozen (excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
030333,"Sole (Solea spp.), frozen (excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
030339,"Flat fish (excl. of 0303.31-0303.33) [see list of conventions for species incld.], frozen (excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
030341,"Albacore/longfinned tunas (Thunnus alalunga), frozen (excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
030342,"Yellowfin tunas (Thunnus albacares), frozen (excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
030343,"Skipjack/stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), frozen (excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
030344,"Bigeye tunas (Thunnus obesus), frozen (excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
030345,"Bluefin tunas (Thunnus thynnus), frozen (excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
030346,"Southern bluefin tunas (Thunnus maccoyii), frozen (excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
030349,"Tunas (excl. of 0303.41-0303.46), frozen (excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
030351,"Herrings (Clupea harengus, Clupea pallasii), frozen (excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
030352,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), frozen (excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
030361,"Swordfish (Xiphias gladius), frozen (excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
030362,"Toothfish (Dissostichus spp.),frozen (excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
030371,"Sardines (Sardina pilchardus, Sardinops spp.)/sardinella (Sardinella spp.)/brisling/sprats (Sprattus sprattus), frozen (excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
030372,"Haddock (Melanogrammus aeglefinus), frozen (excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
030373,"Coalfish (Pollachius virens), frozen (excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
030374,"Mackerel (Scomber scombrus/australasicus/japonicus), frozen (excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
030375,"Dogfish & other sharks, frozen (excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
030376,"Eels (Anguilla spp.), frozen (excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
030377,"Sea bass (Dicentrarchus labrax/punctatus), frozen (excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
030378,"Hake (Merluccius spp., Urophycis spp.), frozen (excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
