HS - Combined  Product Code,HS - Combined  Product Description,ISIC Revision 3 Product Code,ISIC Revision 3 Product Description
010110,(2002-) Purebred breeding animals,0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010111,(-2001) Horses :-- Pure-bred breeding animals,0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010119,(-2001) Horses :-- Other,0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010120,"(-2001) Asses, mules and hinnies",0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010190,(2002-) Other,0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010210,Purebred breeding animals,0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010290,Other,0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010310,Purebred breeding animals,0122,Other animal farming; production of animal products n.e.c.
010391,Weighing less than 50 kg,0122,Other animal farming; production of animal products n.e.c.
010392,Weighing 50 kg or more,0122,Other animal farming; production of animal products n.e.c.
010410,Sheep,0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010420,Goats,0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010511,Fowls of the species Gallus domesticus,0122,Other animal farming; production of animal products n.e.c.
010512,(1996-) Turkeys,0122,Other animal farming; production of animal products n.e.c.
010519,Other,0122,Other animal farming; production of animal products n.e.c.
010591,(-1995) Live fowls of species Gallus domesticus (c,0122,Other animal farming; production of animal products n.e.c.
010592,"(1996-2006) Fowls of the species Gallus domesticus, weighing not more than 2,000 g",0122,Other animal farming; production of animal products n.e.c.
010593,"(1996-2006) Fowls of the species Gallus domesticus, weighing more than 2,000 g",0122,Other animal farming; production of animal products n.e.c.
010599,Other,0122,Other animal farming; production of animal products n.e.c.
010600,(-2001) Other live animals.,0122,Other animal farming; production of animal products n.e.c.
010611,(2002-) Primates,0122,Other animal farming; production of animal products n.e.c.
010612,"(2002-) Whales, dolphins and porpoises (mammals of the order       Cetacea); manatees and dugongs (mammals of the order  Sirenia)",0122,Other animal farming; production of animal products n.e.c.
010619,(2002-) Other,0122,Other animal farming; production of animal products n.e.c.
010620,(2002-) Reptiles (including snakes and turtles),0122,Other animal farming; production of animal products n.e.c.
010631,(2002-) Birds of prey,0122,Other animal farming; production of animal products n.e.c.
010632,"(2002-) Psittaciformes (including parrots, parakeets, macaws and cockatoos)",0122,Other animal farming; production of animal products n.e.c.
010639,(2002-) Other,0122,Other animal farming; production of animal products n.e.c.
010690,(2002-) Other,0122,Other animal farming; production of animal products n.e.c.
020110,Carcasses and halfcarcasses,1511,"Production, processing and preserving of meat and meat products"
020120,Other cuts with bone in,1511,"Production, processing and preserving of meat and meat products"
020130,Boneless,1511,"Production, processing and preserving of meat and meat products"
020210,Carcasses and halfcarcasses,1511,"Production, processing and preserving of meat and meat products"
020220,Other cuts with bone in,1511,"Production, processing and preserving of meat and meat products"
020230,Boneless,1511,"Production, processing and preserving of meat and meat products"
020311,Carcasses and halfcarcasses,1511,"Production, processing and preserving of meat and meat products"
020312,"Hams, shoulders and cuts thereof, with bone in",1511,"Production, processing and preserving of meat and meat products"
020319,Other,1511,"Production, processing and preserving of meat and meat products"
020321,Carcasses and halfcarcasses,1511,"Production, processing and preserving of meat and meat products"
020322,"Hams, shoulders and cuts thereof, with bone in",1511,"Production, processing and preserving of meat and meat products"
020329,Other,1511,"Production, processing and preserving of meat and meat products"
020410,"Carcasses and halfcarcasses of lamb, fresh or chilled",1511,"Production, processing and preserving of meat and meat products"
020421,Carcasses and halfcarcasses,1511,"Production, processing and preserving of meat and meat products"
020422,Other cuts with bone in,1511,"Production, processing and preserving of meat and meat products"
020423,Boneless,1511,"Production, processing and preserving of meat and meat products"
020430,"Carcasses and halfcarcasses of lamb, frozen",1511,"Production, processing and preserving of meat and meat products"
020441,Carcasses and halfcarcasses,1511,"Production, processing and preserving of meat and meat products"
020442,Other cuts with bone in,1511,"Production, processing and preserving of meat and meat products"
020443,Boneless,1511,"Production, processing and preserving of meat and meat products"
020450,Meat of goats,1511,"Production, processing and preserving of meat and meat products"
020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",1511,"Production, processing and preserving of meat and meat products"
020610,"Of bovine animals, fresh or chilled",1511,"Production, processing and preserving of meat and meat products"
020621,Tongues,1511,"Production, processing and preserving of meat and meat products"
020622,Livers,1511,"Production, processing and preserving of meat and meat products"
020629,Other,1511,"Production, processing and preserving of meat and meat products"
020630,"Of swine, fresh or chilled",1511,"Production, processing and preserving of meat and meat products"
020641,Livers,1511,"Production, processing and preserving of meat and meat products"
020649,Other,1511,"Production, processing and preserving of meat and meat products"
020680,"Other, fresh or chilled",1511,"Production, processing and preserving of meat and meat products"
020690,"Other, frozen",1511,"Production, processing and preserving of meat and meat products"
020710,(-1995) Fresh or chilled whole poultry,1511,"Production, processing and preserving of meat and meat products"
020711,"(1996-) Not cut in pieces, fresh or chilled",1511,"Production, processing and preserving of meat and meat products"
020712,"(1996-) Not cut in pieces, frozen",1511,"Production, processing and preserving of meat and meat products"
