"CO_NBM";"CO_NCM"
"2933510800";"29335100"
"2933590101";"29335919"
"2933590901";"29335919"
"2933591900";"29335919"
"2933592000";"29335929"
"2933592100";"29335934"
"2933593100";"29335939"
"2933710000";"29337100"
"2933900100";"29339019"
"2933901200";"29339041"
"2933901600";"29335999"
"2933902200";"29335935"
"2933903100";"29339094"
"2933903900";"29333999"
"2933904300";"29339044"
"4901999999";"49019900"
"4902900199";"49029000"
"4906000101";"49060000"
"4907000100";"49070020"
"4911100101";"49111010"
"4911109900";"49111090"
"4911990301";"49119900"
"5001000000";"50010000"
"5006009900";"50060000"
"5101110100";"51011110"
"5101119902";"51011110"
"5101199903";"51011900"
"5101210104";"51012100"
"5102100000";"51021000"
"5103300000";"51033000"
"2204290204";"22042900"
"2204290302";"22042900"
"2206000800";"22060090"
"2207100100";"22071000"
"2207200200";"22072020"
"2208109901";"21069010"
"2208109905";"21069010"
"2208300400";"22083020"
"2208900305";"22089000"
"2208900502";"22089000"
"2301200100";"23012010"
"2302109900";"23021000"
"2303200000";"23032000"
"2304000100";"23040090"
"2925200102";"29252011"
"2926900900";"29269093"
"2926901200";"29269099"
"2927000300";"29270029"
"2927000900";"29270010"
"2927001100";"29270010"
"2930200199";"29302029"
"2930200206";"29302019"
"2930300300";"29303012"
"2930900300";"29309039"
"2930900500";"29309079"
"2930900700";"29309079"
"2930901200";"29309061"
"2930902400";"29309039"
"2930903600";"29309039"
"2930903900";"29309099"
"2931000101";"29310011"
"2931000301";"29310029"
"4008210100";"40082100"
"4009300100";"40093000"
"4009300200";"40093000"
"4009500100";"40095010"
"4009500300";"40095090"
"4010100100";"40102100"
"4011300000";"40113000"
"4011999900";"40119990"
"4012100000";"40121000"
"4014900100";"40149090"
"4014900200";"40149090"
"4015190101";"40151900"
"4016920000";"40169200"
"4016939900";"40169300"
"4101210200";"41012110"
"4101220100";"41012210"
"4103200100";"41032000"
"4103209900";"41032000"
"0713310000";"07133190"
"0801300100";"08013100"
"0802400200";"08024000"
"0804500100";"08045000"
"0808200100";"08082010"
"0808200200";"08082020"
"0810200000";"08102000"
"0813200100";"08132010"
"0813500500";"08135000"
"0813500700";"08135000"
"0901400000";"09019000"
"0902309900";"09023000"
"0910400100";"09104000"
"1001900200";"10019090"
"1005100000";"10051000"
"1103190000";"11031900"
"1104199900";"11041900"
"1104229900";"11042200"
"1107200100";"11072010"
"1108110000";"11081100"
"1109000000";"11090000"
"2819100000";"28191000"
"2820900200";"28209020"
"2825100299";"28251020"
"2825309900";"28253090"
"2825400200";"28254090"
"2825600100";"28256010"
"2825900700";"28259090"
"2827360000";"28273600"
"2827390302";"28273999"
"2827390600";"28273970"
"2827390800";"28273992"
"2827600104";"28276019"
"2933904600";"29335913"
"2933904900";"29339061"
"2933905300";"29339059"
"2933906100";"29339069"
"2934209900";"29342090"
"2934300200";"29343090"
"2934300599";"29343090"
"2934900400";"29349011"
"2934900601";"29349091"
"2934900602";"29349099"
"2934900699";"29349099"
"2934901100";"29349025"
"2934901900";"29350023"
"2934903800";"29349039"
"2934904500";"29349049"
"2934904600";"29349049"
"2934904700";"29349049"
"2934905300";"29349059"
"2935000900";"29350019"
"2935009900";"29350099"
"2936100000";"29361000"
"2936210300";"29362113"
"4104100499";"41041090"
"4104310202";"41043119"
"4104319900";"41043190"
"4104399900";"41043990"
"4105120000";"41051210"
"4105190200";"41051900"
"4105200100";"41052090"
"4105209900";"41052090"
"4109000200";"41090020"
"4110000000";"41100000"
"4111000000";"41110000"
"4201000200";"42010090"
"4202110000";"42021100"
"4202220299";"42022220"
"2829900199";"28299050"
"2831900101";"28319010"
"2832100200";"28321010"
"2832300100";"28323020"
"2833220200";"28332200"
"2833230000";"28332300"
"2833290302";"28332990"
"2834109900";"28341090"
"2835230000";"28352300"
"2835250000";"28352500"
"2835290100";"28352920"
"2835390100";"28353910"
"2936270100";"29362710"
"2936290101";"29362911"
"2936290401";"29362951"
"2937220103";"29372210"
"2937220201";"29372290"
"2937290204";"29372210"
"2937290299";"29372210"
"2937290702";"29372239"
"2937290900";"29372920"
"2937299900";"29372990"
"2937920400";"29379299"
"2937920502";"29379249"
"2937920799";"29379229"
"2937920901";"29379911"
"2937921500";"29379299"
"2937929900";"29379299"
"2937990201";"29379930"
"2937990203";"29349099"
"2937990399";"29379990"
"2937990600";"29379920"
