CO_UF,SG_UF,NO_UF,NO_REGIAO
99,ZN,Zona Não Declarada,REGIAO NAO DECLARADA
11,RO,Rondônia,REGIAO NORTE
12,AC,Acre,REGIAO NORTE
13,AM,Amazonas,REGIAO NORTE
14,RR,Roraima,REGIAO NORTE
15,PA,Pará,REGIAO NORTE
16,AP,Amapá,REGIAO NORTE
17,TO,Tocantins,REGIAO NORTE
21,MA,Maranhão,REGIAO NORDESTE
22,PI,Piauí,REGIAO NORDESTE
23,CE,Ceará,REGIAO NORDESTE
24,RN,Rio Grande do Norte,REGIAO NORDESTE
25,PB,Paraíba,REGIAO NORDESTE
26,PE,Pernambuco,REGIAO NORDESTE
27,AL,Alagoas,REGIAO NORDESTE
31,SE,Sergipe,REGIAO NORDESTE
32,BA,Bahia,REGIAO NORDESTE
33,MG,Minas Gerais,REGIAO SUDESTE
34,ES,Espírito Santo,REGIAO SUDESTE
36,RJ,Rio de Janeiro,REGIAO SUDESTE
41,SP,São Paulo,REGIAO SUDESTE
42,PR,Paraná,REGIAO SUL
44,SC,Santa Catarina,REGIAO SUL
45,RS,Rio Grande do Sul,REGIAO SUL
52,MT,Mato Grosso,REGIAO CENTRO OESTE
53,GO,Goiás,REGIAO CENTRO OESTE
54,DF,Distrito Federal,REGIAO CENTRO OESTE
55,MS,Mato Grosso do Sul,REGIAO CENTRO OESTE
93,EX,Exterior,REGIAO NAO DECLARADA
94,CB,Consumo de Bordo,CONSUMO DE BORDO
96,MN,Mercadoria Nacionalizada,MERCADORIA NACIONALIZADA
97,RE,Reexportação,REEXPORTACAO
98,ED,Estados Diversos - Café,REGIAO NAO DECLARADA
95,ND,Não Declarada,REGIAO NAO DECLARADA
