"ISIC31code","partialISIC31","ISIC4code","partialISIC4","Detail"
"0111",1,"0111",0,""
"0111",1,"0112",0,""
"0111",1,"0113",1,"Growing of sugar beet, roots and tubers"
"0111",1,"0114",0,""
"0111",1,"0115",0,""
"0111",1,"0116",0,""
"0111",1,"0119",1,"Growing of forage crops and forage plant seeds, including grain sorghum"
"0111",1,"0126",1,"Growing of oleaginous fruits, except coconuts or olives"
"0111",1,"0128",1,"Growing of: hops; plants used chiefly in pharmacy or for insecticidal, fungicidal or similar purposes"
"0111",1,"0129",1,"Growing of rubber trees; growing of vegetable materials primarily used for plaiting"
"0111",1,"0163",1,"Preliminary processing of tobacco leaves"
"0112",1,"0113",1,"Production of vegetable seeds, mushrooms and truffles; leafy or stem vegetables, fruit bearing vegetables, root, bulb or tuberous vegetables"
"0112",1,"0119",1,"Growing of flowers, production of flower buds, flower seeds"
"0112",1,"0125",1,"Growing of fruit seeds"
"0112",1,"0128",1,"Growing of aromatic crops, e.g. chilies and peppers (capsicum spp.)"
"0112",1,"0129",1,"Growing of trees for gathering of maple sap"
"0112",1,"0130",1,"Growing of plants for planting or for ornamental purposes, including turf for transplanting; mushroom spawn"
"0112",1,"0230",1,"Gathering of mushrooms or truffles"
"0113",1,"0121",0,""
"0113",1,"0122",0,""
"0113",1,"0123",0,""
"0113",1,"0124",0,""
"0113",1,"0125",1,"Growing of edible nuts, berries, other tree and bush fruits (e.g. locust beans)"
"0113",1,"0126",1,"Growing of olives and coconuts"
"0113",1,"0127",0,""
"0113",1,"0128",1,"Growing of spice crops (e.g. pepper (piper spp.), anise, cinnamon, cloves, ginger, nutmeg)"
"0113",1,"0230",1,"Gathering of berries or nuts"
"0113",1,"1102",1,"Production of wine from self-grown grapes"
"0121",1,"0141",0,""
"0121",1,"0142",0,""
"0121",1,"0144",0,""
"0122",1,"0143",0,""
"0122",1,"0145",0,""
"0122",1,"0146",0,""
"0122",1,"0149",0,""
"0122",1,"0321",1,"Raising of saltwater reptiles and frogs in basins"
"0122",1,"0322",1,"Raising of freshwater reptiles and frogs in basins"
"0130",0,"0150",0,""
"0140",1,"0161",0,""
"0140",1,"0162",1,"Support activities for animal production"
"0140",1,"0163",1,"Post harvest crop activities (except preliminary processing of tobacco)"
"0140",1,"0164",0,""
"0140",1,"8130",1,"Landscape care and maintenance (except simply watering gardens, parks, streets etc.)"
"0150",1,"0170",0,""
"0150",1,"9499",1,"Service activities to promote hunting and trapping"
"0200",1,"0129",1,"Growing of Christmas trees"
"0200",1,"0130",1,"Operation of tree nurseries, except forest tree nurseries"
"0200",1,"0210",0,""
"0200",1,"0220",0,""
"0200",1,"0230",1,"Gathering of non-wood forest products"
"0200",1,"0240",0,""
"0501",1,"0311",0,""
"0501",1,"0312",0,""
"0502",1,"0321",1,"Marine aquaculture"
"0502",1,"0322",1,"Freshwater aquaculture"
"1010",1,"0510",0,""
"1010",1,"0990",1,"Support services for hard coal mining"
"1010",1,"1920",1,"Manufacture of hard-coal briquettes"
"1020",1,"0520",0,""
"1020",1,"0990",1,"Support services for lignite mining"
"1020",1,"1920",1,"Manufacture of lignite briquettes"
"1030",1,"0892",0,""
"1030",1,"0990",1,"Support services for peat mining"
"1110",1,"0610",0,""
"1110",1,"0620",0,""
"1110",1,"0910",1,"Liquefaction and regasification of natural gas (at the mine site)"
"1120",0,"0910",1,""
