"ISIC4code","CPC2code","CPC2part"
"0111","01111","0"
"0111","01112","0"
"0111","01121","0"
"0111","01122","0"
"0111","01141","0"
"0111","01142","0"
"0111","01151","0"
"0111","01152","0"
"0111","01161","0"
"0111","01162","0"
"0111","01171","0"
"0111","01172","0"
"0111","01181","0"
"0111","01182","0"
"0111","01190","0"
"0111","01241","0"
"0111","01242","0"
"0111","01249","0"
"0111","01411","0"
"0111","01412","0"
"0111","01421","0"
"0111","01422","0"
"0111","01431","0"
"0111","01432","0"
"0111","01441","0"
"0111","01442","0"
"0111","01443","0"
"0111","01444","0"
"0111","01445","0"
"0111","01446","0"
"0111","01449","0"
"0111","01701","0"
"0111","01702","0"
"0111","01703","0"
"0111","01704","0"
"0111","01705","0"
"0111","01709","0"
"0111","01913","0"
"0112","01131","0"
"0112","01132","0"
"0113","01211","0"
"0113","01212","0"
"0113","01213","0"
"0113","01214","0"
"0113","01215","0"
"0113","01216","0"
"0113","01219","0"
"0113","01221","0"
"0113","01229","0"
"0113","01232","0"
"0113","01233","0"
"0113","01234","0"
"0113","01235","0"
"0113","01239","0"
"0113","01251","0"
"0113","01252","0"
"0113","01253","0"
"0113","01254","0"
"0113","01259","0"
"0113","01260","0"
"0113","01270","1"
"0113","01290","0"
"0113","01510","0"
"0113","01591","0"
"0113","01592","0"
"0113","01593","0"
"0113","01599","0"
"0113","01801","0"
"0113","01803","0"
"0114","01802","0"
"0115","01970","0"
"0116","01921","0"
"0116","01922","0"
"0116","01929","0"
"0119","01911","0"
"0119","01912","0"
"0119","01919","0"
"0119","01940","0"
"0119","01962","0"
"0119","01963","0"
"0119","01990","1"
"0121","01330","0"
"0122","01311","0"
"0122","01312","0"
"0122","01313","0"
"0122","01314","0"
"0122","01315","0"
"0122","01316","0"
"0122","01317","0"
"0122","01318","0"
"0122","01319","0"
"0123","01321","0"
"0123","01322","0"
"0123","01323","0"
"0123","01324","0"
"0123","01329","0"
"0124","01351","0"
"0124","01352","0"
"0124","01353","0"
"0124","01354","0"
"0124","01355","0"
"0124","01356","0"
"0124","01359","0"
"0125","01341","0"
"0125","01342","0"
"0125","01343","0"
"0125","01344","0"
"0125","01349","1"
"0125","01360","0"
"0125","01371","0"
"0125","01372","0"
"0125","01373","0"
"0125","01374","0"
"0125","01375","0"
"0125","01376","0"
"0125","01377","0"
"0125","01379","0"
"0125","01391","0"
"0125","01399","0"
"0125","01809","1"
"0126","01450","0"
"0126","01460","0"
"0126","01491","0"
"0126","01499","0"
"0127","01610","0"
"0127","01620","0"
"0127","01630","0"
"0127","01640","0"
