Country Name,ISO3,Code
Afghanistan,AFG,4
Albania,ALB,8
Algeria,DZA,12
American Samoa,ASM,16
Andorra,AND,20
Angola,AGO,24
Anguila,AIA,660
Antigua and Barbuda,ATG,28
Argentina,ARG,32
Armenia,ARM,51
Aruba,ABW,533
Australia,AUS,36
Austria,AUT,40
Azerbaijan,AZE,31
"Bahamas, The",BHS,44
Bahrain,BHR,48
Bangladesh,BGD,50
Barbados,BRB,52
Belarus,BLR,112
Belgium,BEL,56
Belgium-Luxembourg,BLX,58
Belize,BLZ,84
Benin,BEN,204
Bermuda,BMU,60
Bhutan,BTN,64
Bolivia,BOL,68
Bosnia and Herzegovina,BIH,70
Botswana,BWA,72
Br. Antr. Terr,BAT,80
Brazil,BRA,76
British Indian Ocean Ter.,IOT,86
British Virgin Islands,VGB,92
Brunei,BRN,96
Bulgaria,BGR,100
Burkina Faso,BFA,854
Burundi,BDI,108
Cambodia,KHM,116
Cameroon,CMR,120
Canada,CAN,124
Cape Verde,CPV,132
Cayman Islands,CYM,136
Central African Republic,CAF,140
Chad,TCD,148
Chile,CHL,152
China,CHN,156
Christmas Island,CXR,162
Cocos (Keeling) Islands,CCK,166
Colombia,COL,170
Comoros,COM,174
"Congo, Dem. Rep.",ZAR,180
"Congo, Rep.",COG,178
Cook Islands,COK,184
Costa Rica,CRI,188
Cote d'Ivoire,CIV,384
Croatia,HRV,191
Cuba,CUB,192
Cyprus,CYP,196
Czech Republic,CZE,203
Czechoslovakia,CSK,200
Denmark,DNK,208
Djibouti,DJI,262
Dominica,DMA,212
Dominican Republic,DOM,214
East Timor,TMP,626
Ecuador,ECU,218
"Egypt, Arab Rep.",EGY,818
El Salvador,SLV,222
Equatorial Guinea,GNQ,226
Eritrea,ERI,232
Estonia,EST,233
Ethiopia (excludes Eritrea),ETH,231
Ethiopia (includes Eritrea),ETF,230
European Union,EUN,918
Faeroe Islands,FRO,234
Falkland Island,FLK,238
Fiji,FJI,242
Finland,FIN,246
Fm Panama Cz,PCZ,592
Fm Rhod Nyas,ZW1,717
Fm Tanganyik,TAN,835
Fm Vietnam Dr,VDR,868
Fm Vietnam Rp,SVR,866
Fm Zanz-Pemb,ZPM,836
Fr. So. Ant. Tr,ATF,260
France,FRA,250
Free Zones,FRE,838
French Guiana,GUF,254
French Polynesia,PYF,258
Gabon,GAB,266
"Gambia, The",GMB,270
Gaza Strip,GAZ,274
Georgia,GEO,268
German Democratic Republic,DDR,278
Germany,DEU,276
Ghana,GHA,288
Gibraltar,GIB,292
Greece,GRC,300
Greenland,GRL,304
Grenada,GRD,308
Guadeloupe,GLP,312
Guam,GUM,316
Guatemala,GTM,320
Guinea,GIN,324
Guinea-Bissau,GNB,624
Guyana,GUY,328
Haiti,HTI,332
Holy See,VAT,336
Honduras,HND,340
"Hong Kong, China",HKG,344
Hungary,HUN,348
Iceland,ISL,352
India,IND,356
Indonesia,IDN,360
"Iran, Islamic Rep.",IRN,364
Iraq,IRQ,368
Ireland,IRL,372
Israel,ISR,376
Italy,ITA,380
Jamaica,JAM,388
Japan,JPN,392
Jhonston Island,JTN,396
Jordan,JOR,400
Kazakhstan,KAZ,398
Kenya,KEN,404
Kiribati,KIR,296
"Korea, Dem. Rep.",PRK,408
"Korea, Rep.",KOR,410
Kuwait,KWT,414
Kyrgyz Republic,KGZ,417
Lao PDR,LAO,418
Latvia,LVA,428
Lebanon,LBN,422
Lesotho,LSO,426
Liberia,LBR,430
Libya,LBY,434
Liechtenstein,LIE,438
Lithuania,LTU,440
Luxembourg,LUX,442
Macao,MAC,446
"Macedonia, FYR",MKD,807
Madagascar,MDG,450
Malawi,MWI,454
Malaysia,MYS,458
Maldives,MDV,462
Mali,MLI,466
Malta,MLT,470
Marshall Islands,MHL,584
Martinique,MTQ,474
Mauritania,MRT,478
Mauritius,MUS,480
Mexico,MEX,484
"Micronesia, Fed. Sts.",FSM,583
Midway Islands,MID,488
Moldova,MDA,498
Monaco,MCO,492
Mongolia,MNG,496
Montserrat,MSR,500
Morocco,MAR,504
Mozambique,MOZ,508
Myanmar,MMR,104
Namibia,NAM,516
Nauru,NRU,520
Nepal,NPL,524
Netherlands,NLD,528
Netherlands Antilles,ANT,530
Neutral Zone,NZE,536
