RTA Name,Start_Year,End_Implementation_Year_G,Expanded_Signatories
EFTA - Central America - Accession of Guatemala,,,188;320;591
EFTA - India,,,356
The Cross-Straits Economic Cooperation Framework Agreement (ECFA),2010.0,2011.0,156;158
ASEAN Trade in Services Agreement (ATISA),2021.0,2036.0,096;104;116;360;418;458;608;702;704;764
"EFTA - Moldova, Republic of",2024.0,2025.0,498;352;438;578;756
Pacific Agreement on Closer Economic Relations Plus (PACER Plus) ,2020.0,2054.0,036;090;184;296;520;548;554;570;776;798;882
Southern African Development Community (SADC),2000.0,2015.0,024;072;174;180;426;450;454;480;508;516;690;710;716;748;834;894
Agadir Agreement,2007.0,2007.0,400;504;788;818
Andean Community (CAN),1988.0,2008.0,068;170;218;604;862
Argentina - Mexico ,1987.0,2014.0,032;484
Armenia - Kazakhstan,2001.0,2003.0,051;398
"Armenia - Moldova, Republic of",1995.0,1995.0,051;498
Armenia - Turkmenistan,1996.0,1996.0,051;795
Armenia - Ukraine,1996.0,1996.0,051;804
ASEAN - Australia - New Zealand,2010.0,2025.0,036;554;116
ASEAN - China,2005.0,2020.0,156;116
"ASEAN - Hong Kong, China",2019.0,2036.0,344;116
ASEAN - India,2010.0,2024.0,356;116
ASEAN - Japan,2008.0,2026.0,392;116
"ASEAN - Korea, Republic of",2010.0,2024.0,410;116
ASEAN Free Trade Area (AFTA),2010.0,2025.0,096;104;116;360;418;458;608;702;704;764
Asia Pacific Trade Agreement (APTA),1976.0,2018.0,050;144;156;356;410;418
Asia Pacific Trade Agreement (APTA) - Accession of China,2002.0,2002.0,050;144;156;356;410;418
Australia - Chile,2009.0,2015.0,036;152
Australia - China,2015.0,2029.0,036;156
Australia - New Zealand Closer Economic Relations Trade Agreement (ANZCERTA),1983.0,1995.0,036;554
Australia - Papua New Guinea (PATCRA),1977.0,1977.0,036;598
Brazil - Mexico ,2003.0,2003.0,076;484
Brunei Darussalam - Japan,2008.0,2023.0,096;392
Canada - Chile,1997.0,2014.0,124;152
Canada - Colombia,2011.0,2032.0,124;170
Canada - Costa Rica,2002.0,2016.0,124;188
Canada - Honduras,2014.0,2028.0,124;340
Canada - Israel,1997.0,2023.0,124;376
Canada - Jordan,2012.0,2016.0,124;400
"Canada - Korea, Republic of",2015.0,2032.0,124;410
Canada - Panama,2013.0,2031.0,124;591
Canada - Peru,2009.0,2025.0,124;604
Canada - Ukraine,2024.0,2024.0,124;804
Caribbean Community and Common Market (CARICOM),2073.0,2074.0,028;044;052;084;212;308;328;332;388;500;659;662;670;740;780
Central American Common Market (CACM),2061.0,2062.0,188;222;320;340;558;591
Central American Common Market (CACM) - Accession of Panama,2013.0,2028.0,188;222;320;340;558;591
Central European Free Trade Agreement (CEFTA) 2006,2007.0,2015.0,008;070;498;807;688;499
Chile - China,2006.0,2021.0,152;156
Chile - Colombia,2009.0,2012.0,152;170
Chile - Costa Rica (Chile - Central America),2002.0,2014.0,152;188
Chile - El Salvador (Chile - Central America),2002.0,2017.0,152;222
Chile - Guatemala (Chile - Central America),2010.0,2029.0,152;320
Chile - Honduras (Chile - Central America),2008.0,2017.0,152;340
Chile - India,2007.0,2007.0,152;356
Chile - Indonesia,2019.0,2031.0,152;360
Chile - Japan,2007.0,2022.0,152;392
Chile - Malaysia,2012.0,2016.0,152;458
Chile - Mexico,1999.0,2006.0,152;484
Chile - Nicaragua (Chile - Central America),2012.0,2026.0,152;558
Chile - Thailand,2015.0,2023.0,152;764
Chile - Viet Nam,2014.0,2029.0,152;704
China - Cambodia,2022.0,2041.0,116;156
China - Costa Rica ,2011.0,2025.0,156;188
China - Ecuador,2024.0,2043.0,156;218
China - Georgia ,2018.0,2022.0,156;268
"China - Hong Kong, China",2003.0,2020.0,156;344
"China - Korea, Republic of",2015.0,2034.0,156;410
"China - Macao, China",2003.0,2020.0,156;446
China - Mauritius,2021.0,2028.0,156;480
China - New Zealand,2008.0,2019.0,156;554
China - Nicaragua,2024.0,2038.0,156;558
China - Serbia,2024.0,2038.0,156;688
China - Singapore,2009.0,2010.0,156;702
Colombia - Israel,2020.0,2038.0,170;376
Colombia - Mexico,1995.0,2020.0,170;484
"Colombia - Northern Triangle (El Salvador, Guatemala, Honduras)",2009.0,2029.0,170;222;320;340
Common Market for Eastern and Southern Africa (COMESA),1994.0,2000.0,024;108;174;180;231;232;404;426;454;480;646;690;716;729;748;800;818;834;894
