Entity,Code,Year,Continent,Date,Total confirmed deaths due to COVID-19 per million people,"Daily new confirmed deaths due to COVID-19 per million people (rolling 7-day average, right-aligned)"
Abkhazia,OWID_ABK,2015,Asia,,,
Afghanistan,AFG,2015,Asia,,,
Afghanistan,AFG,,,2020-03-22,0.026,
Afghanistan,AFG,,,2020-03-23,0.026,
Afghanistan,AFG,,,2020-03-24,0.026,0.00867
Afghanistan,AFG,,,2020-03-25,0.051,0.013
Afghanistan,AFG,,,2020-03-26,0.077,0.0156
Afghanistan,AFG,,,2020-03-27,0.077,0.013
Afghanistan,AFG,,,2020-03-28,0.103,0.01486
Afghanistan,AFG,,,2020-03-29,0.103,0.01114
Afghanistan,AFG,,,2020-03-30,0.103,0.01114
Afghanistan,AFG,,,2020-03-31,0.103,0.01114
Afghanistan,AFG,,,2020-04-01,0.103,0.00743
Afghanistan,AFG,,,2020-04-02,0.103,0.00371
Afghanistan,AFG,,,2020-04-03,0.206,0.01843
Afghanistan,AFG,,,2020-04-04,0.257,0.022
Afghanistan,AFG,,,2020-04-05,0.308,0.02929
Afghanistan,AFG,,,2020-04-06,0.385,0.04029
Afghanistan,AFG,,,2020-04-07,0.411,0.044
Afghanistan,AFG,,,2020-04-08,0.411,0.044
Afghanistan,AFG,,,2020-04-09,0.437,0.04771
Afghanistan,AFG,,,2020-04-10,0.462,0.03671
Afghanistan,AFG,,,2020-04-11,0.462,0.02943
Afghanistan,AFG,,,2020-04-12,0.488,0.02586
Afghanistan,AFG,,,2020-04-13,0.565,0.02586
Afghanistan,AFG,,,2020-04-14,0.591,0.02586
Afghanistan,AFG,,,2020-04-15,0.745,0.04786
Afghanistan,AFG,,,2020-04-16,0.771,0.04786
Afghanistan,AFG,,,2020-04-17,0.771,0.04414
Afghanistan,AFG,,,2020-04-18,0.771,0.04414
Afghanistan,AFG,,,2020-04-19,0.848,0.05143
Afghanistan,AFG,,,2020-04-20,0.925,0.05143
Afghanistan,AFG,,,2020-04-21,0.925,0.04771
Afghanistan,AFG,,,2020-04-22,1.028,0.04043
Afghanistan,AFG,,,2020-04-23,1.028,0.03671
Afghanistan,AFG,,,2020-04-24,1.105,0.04771
Afghanistan,AFG,,,2020-04-25,1.207,0.06243
Afghanistan,AFG,,,2020-04-26,1.336,0.06971
Afghanistan,AFG,,,2020-04-27,1.49,0.08071
Afghanistan,AFG,,,2020-04-28,1.516,0.08443
Afghanistan,AFG,,,2020-04-29,1.567,0.077
Afghanistan,AFG,,,2020-04-30,1.644,0.088
Afghanistan,AFG,,,2020-05-01,1.747,0.09171
Afghanistan,AFG,,,2020-05-02,1.85,0.09171
Afghanistan,AFG,,,2020-05-03,2.183,0.12114
Afghanistan,AFG,,,2020-05-04,2.312,0.11743
Afghanistan,AFG,,,2020-05-05,2.44,0.132
Afghanistan,AFG,,,2020-05-06,2.672,0.15771
Afghanistan,AFG,,,2020-05-07,2.723,0.154
Afghanistan,AFG,,,2020-05-08,2.8,0.15029
Afghanistan,AFG,,,2020-05-09,2.954,0.15757
Afghanistan,AFG,,,2020-05-10,3.083,0.12814
Afghanistan,AFG,,,2020-05-11,3.134,0.11714
Afghanistan,AFG,,,2020-05-12,3.262,0.11714
Afghanistan,AFG,,,2020-05-13,3.391,0.10243
Afghanistan,AFG,,,2020-05-14,3.494,0.10986
Afghanistan,AFG,,,2020-05-15,3.93,0.16129
Afghanistan,AFG,,,2020-05-16,4.316,0.19429
Afghanistan,AFG,,,2020-05-17,4.367,0.18329
Afghanistan,AFG,,,2020-05-18,4.444,0.187
Afghanistan,AFG,,,2020-05-19,4.573,0.187
Afghanistan,AFG,,,2020-05-20,4.829,0.20543
Afghanistan,AFG,,,2020-05-21,4.984,0.21271
Afghanistan,AFG,,,2020-05-22,5.292,0.19429
Afghanistan,AFG,,,2020-05-23,5.574,0.17971
Afghanistan,AFG,,,2020-05-24,5.626,0.17971
Afghanistan,AFG,,,2020-05-25,5.651,0.17243
Afghanistan,AFG,,,2020-05-26,5.677,0.15786
Afghanistan,AFG,,,2020-05-27,5.857,0.14686
Afghanistan,AFG,,,2020-05-28,6.062,0.15429
Afghanistan,AFG,,,2020-05-29,6.345,0.15071
Afghanistan,AFG,,,2020-05-30,6.422,0.12129
Afghanistan,AFG,,,2020-05-31,6.628,0.14343
Afghanistan,AFG,,,2020-06-01,6.833,0.16914
Afghanistan,AFG,,,2020-06-02,7.039,0.19486
Afghanistan,AFG,,,2020-06-03,7.655,0.25729
Afghanistan,AFG,,,2020-06-04,7.809,0.24986
Afghanistan,AFG,,,2020-06-05,8.04,0.24243
Afghanistan,AFG,,,2020-06-06,8.503,0.29743
Afghanistan,AFG,,,2020-06-07,9.273,0.37814
Afghanistan,AFG,,,2020-06-08,9.582,0.39271
Afghanistan,AFG,,,2020-06-09,9.967,0.41829
Afghanistan,AFG,,,2020-06-10,10.506,0.40714
Afghanistan,AFG,,,2020-06-11,11.046,0.46214
Afghanistan,AFG,,,2020-06-12,11.56,0.50257
Afghanistan,AFG,,,2020-06-13,11.688,0.45486
Afghanistan,AFG,,,2020-06-14,12.202,0.41814
Afghanistan,AFG,,,2020-06-15,12.382,0.39986
Afghanistan,AFG,,,2020-06-16,12.716,0.39257
Afghanistan,AFG,,,2020-06-17,13.05,0.36329
Afghanistan,AFG,,,2020-06-18,14.129,0.44043
Afghanistan,AFG,,,2020-06-19,14.18,0.37429
Afghanistan,AFG,,,2020-06-20,14.719,0.433
Afghanistan,AFG,,,2020-06-21,15.028,0.40357
Afghanistan,AFG,,,2020-06-22,15.336,0.42186
Afghanistan,AFG,,,2020-06-23,15.85,0.44757
Afghanistan,AFG,,,2020-06-24,16.389,0.47686
Afghanistan,AFG,,,2020-06-25,17.314,0.45486
Afghanistan,AFG,,,2020-06-26,17.519,0.477
Afghanistan,AFG,,,2020-06-27,18.393,0.52471
Afghanistan,AFG,,,2020-06-28,18.701,0.52471
Afghanistan,AFG,,,2020-06-29,19.009,0.52471
Afghanistan,AFG,,,2020-06-30,19.318,0.49529
Afghanistan,AFG,,,2020-07-01,20.037,0.521
Afghanistan,AFG,,,2020-07-02,20.782,0.49529
Afghanistan,AFG,,,2020-07-03,21.09,0.50986
Afghanistan,AFG,,,2020-07-04,21.27,0.41086
Afghanistan,AFG,,,2020-07-05,22.246,0.50629
Afghanistan,AFG,,,2020-07-06,23.119,0.587
Afghanistan,AFG,,,2020-07-07,23.685,0.62371
Afghanistan,AFG,,,2020-07-08,24.121,0.58343
Afghanistan,AFG,,,2020-07-09,24.635,0.55043
Afghanistan,AFG,,,2020-07-10,24.995,0.55786
Afghanistan,AFG,,,2020-07-11,25.585,0.61657
Afghanistan,AFG,,,2020-07-12,25.996,0.53586
Afghanistan,AFG,,,2020-07-13,26.716,0.51386
Afghanistan,AFG,,,2020-07-14,27.332,0.52129
Afghanistan,AFG,,,2020-07-15,28.154,0.57629
Afghanistan,AFG,,,2020-07-16,28.694,0.57986
Afghanistan,AFG,,,2020-07-17,29.516,0.64586
Afghanistan,AFG,,,2020-07-18,29.952,0.62386
Afghanistan,AFG,,,2020-07-19,30.389,0.62757
Afghanistan,AFG,,,2020-07-20,30.441,0.53214
Afghanistan,AFG,,,2020-07-21,30.518,0.455
Afghanistan,AFG,,,2020-07-22,30.62,0.35229
Afghanistan,AFG,,,2020-07-23,31.16,0.35229
Afghanistan,AFG,,,2020-07-24,31.519,0.28629
Afghanistan,AFG,,,2020-07-25,32.085,0.30457
Afghanistan,AFG,,,2020-07-26,32.393,0.28614
