year,code,country_wb,country_efw,sizeofgovernment,legalsystem,soundmoney,freetrade,regulation,index,gdppercapita,advanced
2000,111,United States,United States,7.0319653,9.2271643,9.7770786,8.7840986,8.4330654,8.6499996,39544.957,1
2001,111,United States,United States,7.0978384,8.6616917,9.7339106,8.6977224,7.991251,8.4399996,39583.609,1
2002,111,United States,United States,7.0535226,8.166666,9.8010273,8.4594955,8.5412025,8.3999996,39934.957,1
2003,111,United States,United States,7.28827,7.9405775,9.8155231,8.422555,8.3707066,8.359952,40603.852,1
2004,111,United States,United States,7.1477141,7.8837671,9.7272091,8.4796867,8.6259289,8.3699045,41629.711,1
2005,111,United States,United States,7.1328402,7.5120144,9.7581635,8.2817879,8.3736553,8.2108564,42516.395,1
2006,111,United States,United States,7.1267424,7.3323207,9.6550751,8.2987356,8.2531881,8.1307507,43228.109,1
2007,111,United States,United States,7.2388883,7.4191689,9.7356129,8.3341589,8.3161049,8.2108564,43635.586,1
2008,111,United States,United States,6.8846188,7.3808427,9.6862621,8.2156467,7.7801838,7.9905653,43069.582,1
2009,111,United States,United States,6.4889264,7.16085,9.6047516,7.9333043,7.4135003,7.7202077,41366.289,1
2010,111,United States,United States,6.4272871,7.1157455,9.6782389,7.9287291,7.6398482,7.7602606,42000.965,1
2011,111,United States,United States,6.8259497,6.9310832,9.3056297,7.9207168,7.7650409,7.7409883,42446.781,1
2012,111,United States,United States,6.95684,6.989675,9.3235426,7.9086537,7.9345517,7.810997,43063.355,1
2000,112,United Kingdom,United Kingdom,6.1337819,9.2942038,9.3113384,9.400651,8.3639517,8.5,33689.57,1
2001,112,United Kingdom,United Kingdom,5.863513,9.2307692,9.5208178,9.256361,8.0134497,8.3800001,34535.301,1
2002,112,United Kingdom,United Kingdom,6.083499,9.0333338,9.4849844,9.1340418,8.3176107,8.4099998,35245.613,1
2003,112,United Kingdom,United Kingdom,6.4545288,9.1508265,9.4149094,9.2151527,8.3790751,8.5213242,36442.496,1
2004,112,United Kingdom,United Kingdom,6.3247771,8.9013968,9.426507,8.87815,8.3611193,8.3794708,37313.355,1
2005,112,United Kingdom,United Kingdom,6.2872272,9.0678577,9.4491262,8.7467537,8.3478699,8.3794708,38121.563,1
2006,112,United Kingdom,United Kingdom,6.2610254,8.7575016,9.3952093,8.7125416,8.0662289,8.2474308,38873.207,1
2007,112,United Kingdom,United Kingdom,6.291482,8.3863239,9.4357052,8.6505594,7.9156628,8.1458607,40027.051,1
2008,112,United Kingdom,United Kingdom,6.0208988,8.5651627,9.4066916,8.5649052,7.8140116,8.084919,39376.938,1
2009,112,United Kingdom,United Kingdom,5.6782651,8.7542648,9.580472,8.7078981,7.1439395,7.9731932,37556.527,1
2010,112,United Kingdom,United Kingdom,5.1829181,8.744935,9.58428,8.7455397,7.4241147,7.9325652,37949.773,1
2011,112,United Kingdom,United Kingdom,5.2268834,8.739809,9.5569715,8.6462145,7.3418264,7.8926086,38032.398,1
2012,112,United Kingdom,United Kingdom,5.2770987,8.5850792,9.7561846,8.519434,7.517736,7.9230428,37849.57,1
2000,122,Austria,Austria,2.773016,9.3375463,9.6278372,9.1111097,6.9134808,7.5500002,35027.297,1
2001,122,Austria,Austria,2.8373852,8.9289961,9.5777473,8.9726496,6.5627799,7.3800001,35192.645,1
2002,122,Austria,Austria,2.7786725,8.5666666,9.6285467,8.7389259,7.3053265,7.4000001,35613.074,1
2003,122,Austria,Austria,5.1488008,8.7684345,9.6505737,8.8148289,7.4022279,7.9607577,35746.895,1
2004,122,Austria,Austria,5.1875849,8.6768217,9.6205616,8.7501106,7.0620193,7.8603697,36445.77,1
2005,122,Austria,Austria,5.2291384,9.0369625,9.5549002,8.0711241,7.304069,7.8403177,37067.324,1
2006,122,Austria,Austria,5.1845946,9.0809946,9.5352182,8.0859003,7.184041,7.8103552,38237.949,1
2007,122,Austria,Austria,5.1569476,9.0230608,9.5581884,8.0697823,7.1659827,7.7903795,39501.453,1
2008,122,Austria,Austria,5.0655146,8.7250843,9.543623,7.9569149,7.1151361,7.6805153,39895.109,1
2009,122,Austria,Austria,4.8451681,8.581337,9.577569,7.9563298,7.1323447,7.6205893,38255.93,1
2010,122,Austria,Austria,4.8981647,8.4175425,9.6420622,7.8318763,7.2238588,7.6106014,38926.543,1
2011,122,Austria,Austria,4.9858027,8.3389235,9.5857677,7.7678399,6.863627,7.5012784,39815.449,1
2012,122,Austria,Austria,4.9494209,8.3281746,9.5376778,7.7110257,6.8330517,7.4613781,39969.684,1
