country,year,top10,top5,top1,short,tshort,long,tlong,deflator,fiscal,savings,growth,rg1,rg2,rg3,rg4,rg5,ctxrate,kshare,rimp,delta
Australia,1980,25.39,15.31,4.79,10.66749954,#N/A,11.65166569,#N/A,9.799431111,#N/A,21.75227097,2.893708931,-2.0256405,-1.041474355,#N/A,#N/A,#N/A,#N/A,22.78130651,7.14382282,4.372756556
Australia,1981,25.31,15.15,4.61,13.25083256,7.155449581,13.98750019,7.553250103,10.11233136,#N/A,20.89571864,4.127126755,-0.988625554,-0.251957921,-10.37551534,-10.16070306,-4.548147333,46,22.99274802,7.116894956,4.264143854
Australia,1982,25.82,15.44,4.67,14.64249706,7.906948414,15.34582901,8.286747665,12.0801413,#N/A,18.77991326,0.062726386,2.499629375,3.202961322,-7.873115544,-7.668023948,-0.387323628,46,24.84855056,7.272948347,4.25198935
Australia,1983,25.32,15.16,4.68,12.22500038,6.601500206,14.11250019,7.620750103,8.696500821,#N/A,16.96111818,-0.473595339,4.002094899,5.889594708,-4.658095371,-4.107700427,0.526810824,46,26.95632577,7.994036452,4.263564199
Australia,1984,25.5,15.25,4.75,10.98499966,5.931899815,13.83333302,7.469999828,5.962291756,#N/A,20.1580567,6.346048124,-1.323340223,1.524993136,-9.10511398,-8.274539972,-6.093940438,46,27.43730545,8.234032199,4.194269702
Australia,1985,25.93,15.63,5.02,15.33666325,8.281798153,14.10416508,7.616249142,5.280455133,#N/A,18.35458685,5.456397265,4.599810848,3.36731268,-6.264681395,-6.624077861,-5.167578063,46,27.80384421,8.39801101,4.246106744
Australia,1986,26.61,16.17,5.39,15.38666534,7.847199326,13.55833149,6.91474906,6.111641327,#N/A,17.63172515,2.448094457,6.82692956,4.998595706,-4.557664128,-5.033213764,-2.377698593,49,29.04512286,8.697203311,4.365177825
Australia,1987,28.66,17.94,6.67,12.79833221,6.527149429,13.46666718,6.868000259,7.158710559,#N/A,20.19559545,4.892633007,0.746988649,1.41532361,-8.722497356,-8.548663433,-4.428184332,49,30.86578846,9.409618668,4.334456846
Australia,1988,30.28,19.84,8.41,15.4,9.394,12.95,7.8995,9.068584638,#N/A,25.38748976,4.2532623,2.078153063,-0.371846937,-7.591506937,-8.503151937,-2.752238047,39,30.7064116,9.332893018,4.192040488
Australia,1989,27.64,17.46,6.43,17.55,10.7055,12.9,7.869,7.498347614,#N/A,25.67976764,4.569199084,5.482453302,0.832453302,-5.537191698,-7.267456698,-1.40317022,39,39.47194219,11.96796961,4.134432599
Australia,1990,27.66,17.37,6.34,12.1,7.381,12.07,7.3627,5.033114328,#N/A,23.37958434,1.502580175,5.564305498,5.534305498,-2.033284502,-2.044447502,1.26705423,39,38.64827752,11.37437741,4.168735817
Australia,1991,28.22,17.7,6.41,7.6,4.636,9.39,5.7279,1.618238835,641.8707434,18.54074633,-1.112748093,7.094509258,8.884509258,2.322469258,2.988528258,3.825924745,39,39.28342462,11.36332819,4.218453541
Australia,1992,28.52,17.95,6.55,5.94,3.6234,8.94,5.4534,1.199298642,86.50418392,19.4587441,2.654564737,2.086136621,5.086136621,-1.643589379,-0.527289379,0.257536671,39,40.06973505,11.77865505,4.27287817
Australia,1993,29.4,18.66,6.96,4.84,3.2428,6.68,4.4756,1.227720035,5.363359325,20.99634347,3.899856571,-0.287576606,1.552423394,-2.954900606,-2.128924606,-0.064920772,33,40.69147706,12.13055071,4.292533174
Australia,1994,29.42,18.87,7.13,8.27,5.5409,10.04,6.7268,1.073970747,-20.48588895,21.62266984,4.901374399,2.294654854,4.064654854,-2.262942146,-1.468389146,-0.953323045,33,40.4061079,12.14259744,4.187488928
Australia,1995,29.13,18.76,7.23,7.44,4.7616,8.18,5.2352,3.093711961,-37.33067499,20.60227568,2.955487258,1.390800781,2.130800781,-3.001775219,-2.698671219,0.615518437,36,39.76649046,12.0606596,4.147816449
Australia,1996,29.16,18.77,7.24,5.98,3.8272,7.37,4.7168,1.718858368,-59.34170123,21.47249999,4.2982574,-0.037115768,1.352884232,-3.567707768,-2.998363768,-0.717828346,36,39.10855651,11.93932261,4.060737416
Australia,1997,30.41,19.73,7.81,5.05,3.232,6.05,3.872,1.331466026,-114.9678992,21.69590725,4.164024851,-0.445490877,0.554509123,-3.427010877,-3.017410877,-0.487195055,36,39.35512304,12.12786873,4.085006192
Australia,1998,30.11,19.63,7.84,4.81,3.0784,5.01,3.2064,0.625728179,49.87830193,21.69824113,4.866077478,-0.681805657,-0.481805657,-3.521629657,-3.439709657,-1.15454455,36,39.19845223,12.24467434,4.125058651
Australia,1999,31.48,20.95,8.84,5.57,3.5648,6.96,4.4544,1.074690362,410.8190194,20.64855041,4.243811493,0.251498145,1.641498145,-3.037029855,-2.467685855,-0.29505754,36,40.00267386,12.50029232,4.051433131
Australia,2000,31.28,20.98,9.03,6.13,4.0458,5.46,3.6036,4.322022508,40.46535487,21.52888757,3.08500968,-1.277032188,-1.947032188,-4.736804188,-5.028656188,1.058264687,34,40.0511384,12.40682841,4.045232385
Australia,2001,30.61,20.33,8.31,4.25,2.975,6.01,4.207,3.502398604,-89.91449693,21.35801281,2.577169551,-1.829568155,-0.069568155,-3.997068155,-3.134668155,2.229875031,30,40.71164727,12.6928682,4.077963158
Australia,2002,31.34,20.9,8.79,4.79,3.353,5.16,3.612,3.064757195,125.9070904,21.50631962,3.995217982,-2.269975177,-1.899975177,-4.712875177,-4.531575177,0.857930957,30,40.7628119,12.62098417,3.98153998
Australia,2003,32.04,21.49,9.18,5.52,3.864,5.6,3.92,3.181851857,243.6030062,21.37333847,3.021015331,-0.682867188,-0.602867188,-3.498067188,-3.458867188,2.101611696,30,41.24296904,12.7670351,3.814297542
