,CZ,agi,returns,bracket_min,bracket_max,year,state,agi_sum,returns_sum
0,100.0,277149.0,85604.0,1,24999,2006,VA,13816609.0,398150.0
1,100.0,1910722.0,111344.0,25000,49999,2006,VA,13816609.0,398150.0
2,100.0,3714968.0,103357.0,50000,74999,2006,VA,13816609.0,398150.0
3,100.0,3331709.0,54529.0,75000,99999,2006,VA,13816609.0,398150.0
4,100.0,2109085.0,24529.0,100000,199999,2006,VA,13816609.0,398150.0
5,100.0,2472976.0,18787.0,200000,10000000000000000,2006,VA,13816609.0,398150.0
6,200.0,94842.0,42342.0,1,24999,2006,TN,6491855.0,197950.0
7,200.0,1014923.0,59229.0,25000,49999,2006,TN,6491855.0,197950.0
8,200.0,1862918.0,52063.0,50000,74999,2006,TN,6491855.0,197950.0
9,200.0,1553399.0,25412.0,75000,99999,2006,TN,6491855.0,197950.0
10,200.0,963127.0,11250.0,100000,199999,2006,TN,6491855.0,197950.0
11,200.0,1002646.0,7654.0,200000,10000000000000000,2006,TN,6491855.0,197950.0
12,301.0,24874.0,8190.0,1,24999,2006,TN,993552.0,33844.0
13,301.0,183122.0,10706.0,25000,49999,2006,TN,993552.0,33844.0
14,301.0,314822.0,8758.0,50000,74999,2006,TN,993552.0,33844.0
15,301.0,245148.0,4007.0,75000,99999,2006,TN,993552.0,33844.0
16,301.0,117561.0,1365.0,100000,199999,2006,TN,993552.0,33844.0
17,301.0,108025.0,818.0,200000,10000000000000000,2006,TN,993552.0,33844.0
18,302.0,324029.0,104292.0,1,24999,2006,TN,22083855.0,540852.0
19,302.0,2306963.0,133959.0,25000,49999,2006,TN,22083855.0,540852.0
20,302.0,4861981.0,134610.0,50000,74999,2006,TN,22083855.0,540852.0
21,302.0,4856607.0,78986.0,75000,99999,2006,TN,22083855.0,540852.0
22,302.0,3834177.0,44474.0,100000,199999,2006,TN,22083855.0,540852.0
23,302.0,5900098.0,44531.0,200000,10000000000000000,2006,TN,22083855.0,540852.0
24,401.0,204700.0,62904.0,1,24999,2006,NC,13939567.0,344666.0
25,401.0,1515362.0,87168.0,25000,49999,2006,NC,13939567.0,344666.0
26,401.0,3212038.0,89284.0,50000,74999,2006,NC,13939567.0,344666.0
27,401.0,3099513.0,50285.0,75000,99999,2006,NC,13939567.0,344666.0
28,401.0,2505873.0,29086.0,100000,199999,2006,NC,13939567.0,344666.0
