uf,ano,pop,evento,total,total_vitima,regiao,total_rate,total_vitima_rate
AC,2017,829619.0,Furto de veículo,0.0,0.0,Norte,0.0,0.0
AC,2018,869265.0,Furto de veículo,0.0,0.0,Norte,0.0,0.0
AC,2019,881935.0,Furto de veículo,1938.0,0.0,Norte,219.7440854484741,0.0
AC,2020,894470.0,Furto de veículo,752.0,0.0,Norte,84.07213210057353,0.0
AC,2021,906876.0,Furto de veículo,599.0,0.0,Norte,66.05092647726921,0.0
AC,2022,898127.6666666666,Furto de veículo,522.0,0.0,Norte,58.12091302535683,0.0
AC,2023,889379.3333333334,Furto de veículo,672.0,0.0,Norte,75.55831070207013,0.0
AC,2024,880631.0,Furto de veículo,578.0,0.0,Norte,65.63475507902857,0.0
AC,2017,829619.0,Homicídio doloso,0.0,450.0,Norte,0.0,54.24176640120345
AC,2018,869265.0,Homicídio doloso,0.0,358.0,Norte,0.0,41.184218851558505
AC,2019,881935.0,Homicídio doloso,0.0,270.0,Norte,0.0,30.61450106867286
AC,2020,894470.0,Homicídio doloso,0.0,268.0,Norte,0.0,29.96187686562993
AC,2021,906876.0,Homicídio doloso,0.0,161.0,Norte,0.0,17.753254028114096
AC,2022,898127.6666666666,Homicídio doloso,0.0,197.0,Norte,0.0,21.93452081608294
AC,2023,889379.3333333334,Homicídio doloso,0.0,180.0,Norte,0.0,20.238833223768783
AC,2024,880631.0,Homicídio doloso,0.0,156.0,Norte,0.0,17.714570574962725
AC,2017,829619.0,Lesão corporal seguida de morte,0.0,1.0,Norte,0.0,0.12053725866934098
AC,2018,869265.0,Lesão corporal seguida de morte,0.0,0.0,Norte,0.0,0.0
AC,2019,881935.0,Lesão corporal seguida de morte,0.0,2.0,Norte,0.0,0.22677408199016935
AC,2020,894470.0,Lesão corporal seguida de morte,0.0,2.0,Norte,0.0,0.22359609601216363
AC,2021,906876.0,Lesão corporal seguida de morte,0.0,1.0,Norte,0.0,0.11026865855971489
AC,2022,898127.6666666666,Lesão corporal seguida de morte,0.0,6.0,Norte,0.0,0.6680564715558256
AC,2023,889379.3333333334,Lesão corporal seguida de morte,0.0,0.0,Norte,0.0,0.0
AC,2024,880631.0,Lesão corporal seguida de morte,0.0,3.0,Norte,0.0,0.34066481874928317
AC,2017,829619.0,Roubo a instituição financeira,0.0,0.0,Norte,0.0,0.0
AC,2018,869265.0,Roubo a instituição financeira,0.0,0.0,Norte,0.0,0.0
AC,2019,881935.0,Roubo a instituição financeira,0.0,0.0,Norte,0.0,0.0
AC,2020,894470.0,Roubo a instituição financeira,0.0,0.0,Norte,0.0,0.0
AC,2021,906876.0,Roubo a instituição financeira,0.0,0.0,Norte,0.0,0.0
AC,2022,898127.6666666666,Roubo a instituição financeira,0.0,0.0,Norte,0.0,0.0
AC,2023,889379.3333333334,Roubo a instituição financeira,0.0,0.0,Norte,0.0,0.0
AC,2024,880631.0,Roubo a instituição financeira,1.0,0.0,Norte,0.11355493958309439,0.0
AC,2017,829619.0,Roubo de carga,0.0,0.0,Norte,0.0,0.0
AC,2018,869265.0,Roubo de carga,0.0,0.0,Norte,0.0,0.0
AC,2019,881935.0,Roubo de carga,0.0,0.0,Norte,0.0,0.0
AC,2020,894470.0,Roubo de carga,0.0,0.0,Norte,0.0,0.0
AC,2021,906876.0,Roubo de carga,0.0,0.0,Norte,0.0,0.0
AC,2022,898127.6666666666,Roubo de carga,0.0,0.0,Norte,0.0,0.0
AC,2023,889379.3333333334,Roubo de carga,1.0,0.0,Norte,0.11243796235427102,0.0
AC,2024,880631.0,Roubo de carga,0.0,0.0,Norte,0.0,0.0
AC,2017,829619.0,Roubo de veículo,0.0,0.0,Norte,0.0,0.0
AC,2018,869265.0,Roubo de veículo,0.0,0.0,Norte,0.0,0.0
AC,2019,881935.0,Roubo de veículo,1947.0,0.0,Norte,220.76456881742988,0.0
AC,2020,894470.0,Roubo de veículo,1061.0,0.0,Norte,118.6177289344528,0.0
AC,2021,906876.0,Roubo de veículo,1001.0,0.0,Norte,110.3789272182746,0.0
