PMDB,PT,PSDB,PP,PR,PSD,PSB,DEM,PRB,PDT,PTB,SD,PTN,PCdoB,PSC,PPS,PHS,PV,PSOL,PROS,REDE,PTdoB,PEN,PSL,PMB,PRP,ano,municipio_codigo,cargo_codigo,partido_codigo,coligacao,latitude,longitude,pobres,idhm,rendapercapita,populacao,estado,municipio,cargo,tipo,partido,coligacao_nome,coligacao_partidos,codigo_ibge,candidaturas_mun
0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,19,11,,1,-10.7889,-65.329597,23.469999,.65700001,494.69,38203,RO,GUAJARÁ-MIRIM,PREFEITO,COLIGACAO,PDT,BRAVA GENTE,PDT / PTB / PSB / PTC / PSD,,3
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,19,11,,1,-10.7889,-65.329597,23.469999,.65700001,494.69,38203,RO,GUAJARÁ-MIRIM,PREFEITO,COLIGACAO,PRB,UMA GUAJARÁ PARA TODOS,PRB / PHS,,3
1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2016,19,11,,1,-10.7889,-65.329597,23.469999,.65700001,494.69,38203,RO,GUAJARÁ-MIRIM,PREFEITO,COLIGACAO,PMDB,TRABALHO E COMPROMISSO,PMDB / DEM / PP / PV / PSDC / PMN / PT / PSC / PSL / PCdoB / PSDB / PTN,,3
0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,2016,35,11,,1,-8.7607698,-63.899899,7.9499998,.736,929.19,419354,RO,PORTO VELHO,PREFEITO,COLIGACAO,PSD,PORTO VELHO MAIS FORTE,PSD / PDT / PSB / PCdoB / PTC / REDE / PPL / PV / PHS / SD,,9
0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,2016,35,11,,1,-8.7607698,-63.899899,7.9499998,.736,929.19,419354,RO,PORTO VELHO,PREFEITO,COLIGACAO,PTB,ABRACE PORTO VELHO,PTB / PP / PRP / PTN / PROS / PSC / PPS,,9
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,35,11,,1,-8.7607698,-63.899899,7.9499998,.736,929.19,419354,RO,PORTO VELHO,PREFEITO,COLIGACAO,PR,PARA ORGULHAR PORTO VELHO,PR / PSL,,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,35,11,50,0,-8.7607698,-63.899899,7.9499998,.736,929.19,419354,RO,PORTO VELHO,PREFEITO,PARTIDO ISOLADO,PSOL,#NULO#,PSOL,1100205,9
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,35,11,13,0,-8.7607698,-63.899899,7.9499998,.736,929.19,419354,RO,PORTO VELHO,PREFEITO,PARTIDO ISOLADO,PT,#NULO#,PT,1100205,9
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,35,11,,1,-8.7607698,-63.899899,7.9499998,.736,929.19,419354,RO,PORTO VELHO,PREFEITO,COLIGACAO,PSDB,JUNTOS POR UMA PORTO VELHO MELHOR,PSDB / PSDC,,9
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,35,11,13,0,-8.7607698,-63.899899,7.9499998,.736,929.19,419354,RO,PORTO VELHO,PREFEITO,PARTIDO ISOLADO,PT,#NULO#,PT,1100205,9
1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,35,11,,1,-8.7607698,-63.899899,7.9499998,.736,929.19,419354,RO,PORTO VELHO,PREFEITO,COLIGACAO,PMDB,POR AMOR A PORTO VELHO,PMDB / DEM / PRB / PRTB,,9
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,35,11,13,0,-8.7607698,-63.899899,7.9499998,.736,929.19,419354,RO,PORTO VELHO,PREFEITO,PARTIDO ISOLADO,PT,#NULO#,PT,1100205,9
1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,2016,51,11,,1,-10.8777,-61.932201,8.5600004,.71399999,743.34998,115322,RO,JI-PARANÁ,PREFEITO,COLIGACAO,PSB,O TRABALHO CONTINUA,PSB / PDT / PTB / PMDB / PSC / PT / PSDB / PSD / PV / PTN / PROS / PEN / PHS / PCdoB / PRP,,3
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2016,51,11,,1,-10.8777,-61.932201,8.5600004,.71399999,743.34998,115322,RO,JI-PARANÁ,PREFEITO,COLIGACAO,PR,MUDAR PARA CRESCER,PR / PSL / PPS / PMN / PP / PTdoB,,3
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,51,11,,1,-10.8777,-61.932201,8.5600004,.71399999,743.34998,115322,RO,JI-PARANÁ,PREFEITO,COLIGACAO,PRB,GOVERNO DA OPORTUNIDADE,PRB / PSDC,,3
0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2016,78,11,,1,-9.9057102,-63.032501,11.54,.70200002,689.95001,88730,RO,ARIQUEMES,PREFEITO,COLIGACAO,PDT,COMPROMISSO CONTINUA,PDT / PSDB / PRB / PTN / PTB / PT / PSC / PR / PRTB / PSB / PV / PSD / PCdoB / SD,,2
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,2016,78,11,,1,-9.9057102,-63.032501,11.54,.70200002,689.95001,88730,RO,ARIQUEMES,PREFEITO,COLIGACAO,PMDB,COLIGAÇÃO JEITO NOVO DE FAZER POLITICA,PMDB / DEM / PSL / PPS / PHS / PMN / PTC / PRP / PEN / PTdoB / PP / PROS / PSDC,,2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,94,11,,1,-11.4343,-61.4562,13.08,.71799999,738.06,76876,RO,CACOAL,PREFEITO,COLIGACAO,PT,CACOAL MELHOR PARA TODOS,PT / PRP,,6
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,94,11,,1,-11.4343,-61.4562,13.08,.71799999,738.06,76876,RO,CACOAL,PREFEITO,COLIGACAO,PDT,AÇÃO E DETERMINAÇÃO,PDT / PMN / PSB / PSL,,6
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,94,11,,1,-11.4343,-61.4562,13.08,.71799999,738.06,76876,RO,CACOAL,PREFEITO,COLIGACAO,DEM,ACREDITAMOS EM CACOAL,DEM / PSD / REDE,,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,94,11,50,0,-11.4343,-61.4562,13.08,.71799999,738.06,76876,RO,CACOAL,PREFEITO,PARTIDO ISOLADO,PSOL,#NULO#,PSOL,1100049,6
1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2016,94,11,,1,-11.4343,-61.4562,13.08,.71799999,738.06,76876,RO,CACOAL,PREFEITO,COLIGACAO,PMDB,CACOAL SOMOS TODOS NOS,PMDB / PSDC / PTN / PHS / PP / PTB / PV / SD / PSDB / PEN,,6
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2016,94,11,,1,-11.4343,-61.4562,13.08,.71799999,738.06,76876,RO,CACOAL,PREFEITO,COLIGACAO,PPS,UNIDOS PELO NOVO COM A FORÇA DO POVO,PPS / PRB / PR,,6
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016,116,11,,1,-11.672,-61.198002,9.3299999,.70999998,734.76001,33386,RO,PIMENTA BUENO,PREFEITO,COLIGACAO,PSB,PRA DEFENDER PIMENTA BUENO,PSB / PSDC / PRB / PSD / PV / PMDB,,3
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2016,116,11,,1,-11.672,-61.198002,9.3299999,.70999998,734.76001,33386,RO,PIMENTA BUENO,PREFEITO,COLIGACAO,PCdoB,A MELHOR PROPOSTA,PCdoB / PMN / PSDB,,3
0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,116,11,,1,-11.672,-61.198002,9.3299999,.70999998,734.76001,33386,RO,PIMENTA BUENO,PREFEITO,COLIGACAO,PP,UNIDOS POR PIMENTA BUENO,PP / PTB / PSC / DEM / PR,,3
1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,2016,132,11,,1,-12.7502,-60.1488,6.3699999,.73100001,768.97998,75450,RO,VILHENA,PREFEITO,COLIGACAO,PMDB,A VONTADE DO POVO,PMDB / PTB / PSD / DEM / PPS / PSDC / PHS / PSB / PCdoB / PTdoB / PEN / PTN / PMN,,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,132,11,50,0,-12.7502,-60.1488,6.3699999,.73100001,768.97998,75450,RO,VILHENA,PREFEITO,PARTIDO ISOLADO,PSOL,#NULO#,PSOL,1100304,4
0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2016,132,11,,1,-12.7502,-60.1488,6.3699999,.73100001,768.97998,75450,RO,VILHENA,PREFEITO,COLIGACAO,PRB,PRA FAZER DIFERENTE,PRB / PP / PDT / PT / PSC / PR / PTC / PV / PRP / PSDB / SD,,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,132,11,50,0,-12.7502,-60.1488,6.3699999,.73100001,768.97998,75450,RO,VILHENA,PREFEITO,PARTIDO ISOLADO,PSOL,#NULO#,PSOL,1100304,4
0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,2016,159,11,,1,-10.4318,-62.478802,13.78,.68900001,575.14001,51304,RO,JARU,PREFEITO,COLIGACAO,PRB,JARU PERTENCE A TODOS,PRB / PT / DEM / PPS / PHS / PEN / PCdoB / SD,,2
1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,2016,159,11,,1,-10.4318,-62.478802,13.78,.68900001,575.14001,51304,RO,JARU,PREFEITO,COLIGACAO,PSDB,UM NOVO JEITO DE ADMINISTRAR,PSDB / PP / PSL / PMDB / PTB / PTN / PDT / PMN / PRP / PSB / PSC / PV / PSDC,,2
1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,2016,175,11,,1,-10.7167,-62.2565,11.73,.68199998,576.51001,37159,RO,OURO PRETO DO OESTE,PREFEITO,COLIGACAO,PROS,OURO PRETO COM A FORÇA DO POVO,PROS / PMDB / PTB / PHS / PP / PR / PDT / PRP / PT / PSDB / PSC / PSD,,2
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,175,11,,1,-10.7167,-62.2565,11.73,.68199998,576.51001,37159,RO,OURO PRETO DO OESTE,PREFEITO,COLIGACAO,PSDC,RENOVAÇÃO: SEU VOTO FAZ A DIFERENÇA,PSDC / PSB / PRB,,2
1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016,191,11,,1,-11.169,-61.898602,19.389999,.66399997,520.20001,21459,RO,PRESIDENTE MÉDICI,PREFEITO,COLIGACAO,PSDB,UNIÃO E RESPEITO,PSDB / PMDB / PP / PTB / PSC / DEM / PV / PSD / SD / PPS,,2
