Date;Total;Recife;Salvador;Belo Horizonte;Rio de Janeiro;Sao Paulo;Porto Alegre
01/02/2002;9078659936;441660036;443233360;739773526;2199354409;4585028750;669609855
01/03/2002;9358563187;414988517;507583302;764104507;2238051439;4693007082;740828340
01/04/2002;9504114931;463984447;505007729;767707638;2366939074;4655523966;744952073
01/05/2002;9572062802;463423817;514585041;801471267;2357692958;4646187733;788701984
01/06/2002;9868204966;453482601;525931820;782095074;2489094385;4801571919;816029169
01/07/2002;10000229573;447173147;527089351;790408727;2574308494;4863946526;797303329
01/08/2002;10151210029;454699945;514489452;828979524;2523759201;5007183275;822098632
01/09/2002;10285672303;435233707;543827972;867418306;2523243042;5068542899;847406377
01/10/2002;10475704300;454044552;555553681;867280591;2566315973;5163810034;868699470
01/11/2002;10925501914;478884219;588047979;878140841;2609981788;5490875476;879571611
01/12/2002;13138203163;551043442;711425083;1084045837;3214079318;6649207707;928401776
01/01/2003;10788433216;490707535;589016419;877023371;2650493666;5330313943;850878282
01/02/2003;10747714482;505656104;567230488;918622430;2567737625;5323491469;864976366
01/03/2003;10924027763;488988585;568199789;913426934;2667868981;5435291320;850252153
01/04/2003;10888044397;517175501;567638277;913184209;2695188836;5352551857;842305715
01/05/2003;10864172549;509033419;592953787;929491823;2712060373;5243230613;877402533
01/06/2003;10881730302;487291870;585502210;919177771;2839879086;5171822943;878056422
01/07/2003;11047342309;490037131;614209357;914106649;2820237433;5297727376;911024364
01/08/2003;10986286022;488821254;609065077;932591511;2776587636;5265601276;913619270
01/09/2003;10884189321;463955676;580418472;958255579;2680366527;5282917297;918275769
01/10/2003;11154850273;495355407;594695034;945711528;2750751145;5446987505;921349652
01/11/2003;11650442055;461022187;660635773;959801071;2886777016;5693210291;988995717
01/12/2003;13801059498;536902700;748041090;1142768067;3637048993;6594667554;1141631095
01/01/2004;11208010695;453040796;623260806;958758686;2751448797;5505262194;916239417
01/02/2004;11175639199;465322623;610632672;984272835;2749294923;5454044489;912071654
01/03/2004;11295622854;471724974;621635232;998712322;2760867372;5519071625;923611329
01/04/2004;11520857591;501205772;591245904;1003395479;2792893916;5719951285;912165236
01/05/2004;11794623245;507828484;618231346;1019033968;2839748236;5819998466;989782749
01/06/2004;12027239871;539621741;636838533;1036227242;2924646349;5846709699;1043196309
01/07/2004;12016380437;549961169;626213531;1077189635;2972366163;5760409820;1030240121
01/08/2004;12185023738;575313619;629064004;1101436614;3040900201;5798059452;1040249850
01/09/2004;12115026142;539459742;628312307;1083646511;2983149349;5884614443;995843791
01/10/2004;12403350101;554142129;635940651;1106007076;3040725827;6035609111;1030925309
01/11/2004;13232328648;541672591;685102765;1078681094;3088373269;6781815378;1056683552
01/12/2004;15855752461;629343174;817305526;1351749437;3988998788;7801501514;1266854023
01/01/2005;12736939707;529179311;684154541;1086019529;3077790546;6295292256;1064503523
01/02/2005;12810387948;548550469;706387875;1100428090;3003866402;6406355302;1044799811
01/03/2005;12769041145;575514522;684546123;1110821936;3038684327;6301070377;1058403858
01/04/2005;12980299868;587887831;680749513;1150945207;2993082748;6465736549;1101898021
01/05/2005;13215954785;593392259;697092446;1171865849;3055027024;6600599487;1097977719
01/06/2005;13297853593;623783873;699962997;1146161004;3072322065;6651857408;1103766247
01/07/2005;13541097722;623581904;743875979;1166983882;3169829321;6714566687;1122259947
01/08/2005;13427140184;633053853;749177514;1195573391;3215664462;6507363421;1126307545
01/09/2005;13297988547;615314954;757673631;1210771278;3257563528;6319398720;1137266434
01/10/2005;13721126737;606806223;808233486;1196613437;3422639433;6550237024;1136597133
01/11/2005;15833214083;673996093;876796315;1283953940;3745941801;8001965667;1250560268
01/12/2005;17576250046;692953848;1006287393;1642546711;4442540217;8332893626;1459028251
01/01/2006;14208039823;600454077;818388520;1253048594;3393399556;6987628323;1155120754
01/02/2006;14010642012;593929385;795311737;1255685293;3271108460;6953252410;1141354727
01/03/2006;14196540044;648598754;764445243;1279386511;3292033564;7083203971;1128872004
01/04/2006;14352865621;671601472;772053379;1295794670;3356718418;7103149944;1153547739
01/05/2006;14562006433;671295996;779498500;1332209472;3382615010;7240240739;1156146714
01/06/2006;14852127016;638689831;796052111;1401214618;3446120991;7376387417;1193662046
01/07/2006;14937742821;622465001;866116812;1396185674;3579457733;7253963629;1219553969
